Date,YOY (%)
10/1/2023,-7.87%
9/1/2023,9.35%
8/1/2023,2.95%
7/1/2023,15.98%
6/1/2023,3.52%
5/1/2023,-11.25%
4/1/2023,1.56%
3/1/2023,-1.95%
2/1/2023,-2.57%
1/1/2023,-2.07%
12/1/2022,-0.56%
11/1/2022,-5.97%
10/1/2022,10.41%
9/1/2022,-10.80%
8/1/2022,-8.37%
7/1/2022,-4.03%
6/1/2022,-5.86%
5/1/2022,11.12%
4/1/2022,4.89%
3/1/2022,8.06%
2/1/2022,10.32%
1/1/2022,17.98%
12/1/2021,13.95%
11/1/2021,-19.56%
10/1/2021,12.19%
9/1/2021,9.92%
8/1/2021,-7.10%
7/1/2021,1.53%
6/1/2021,11.11%
5/1/2021,4.29%
4/1/2021,7.39%
3/1/2021,-3.70%
2/1/2021,18.06%
1/1/2021,7.52%
12/1/2020,6.57%
11/1/2020,25.70%
10/1/2020,-11.66%
9/1/2020,-6.50%
8/1/2020,5.15%
7/1/2020,2.02%
6/1/2020,9.57%
5/1/2020,54.97%
4/1/2020,-40.69%
3/1/2020,-54.74%
2/1/2020,-13.58%
1/1/2020,-15.48%
12/1/2019,10.88%
11/1/2019,1.76%
10/1/2019,0.18%
9/1/2019,-1.73%
8/1/2019,-5.82%
7/1/2019,0.03%
6/1/2019,8.82%
5/1/2019,-16.46%
4/1/2019,6.23%
3/1/2019,4.47%
2/1/2019,5.63%
1/1/2019,17.72%
12/1/2018,-11.20%
11/1/2018,-22.23%
10/1/2018,-10.68%
9/1/2018,5.23%
8/1/2018,2.58%
7/1/2018,-5.44%
6/1/2018,10.74%
5/1/2018,-2.13%
4/1/2018,5.66%
3/1/2018,5.46%
2/1/2018,-4.45%
1/1/2018,7.28%
12/1/2017,5.18%
11/1/2017,5.13%
10/1/2017,4.56%
9/1/2017,8.26%
8/1/2017,-6.18%
7/1/2017,8.52%
6/1/2017,-5.21%
5/1/2017,-2.85%
4/1/2017,-3.25%
3/1/2017,-7.31%
2/1/2017,1.27%
1/1/2017,-3.26%
12/1/2016,6.57%
11/1/2016,3.96%
10/1/2016,-3.78%
9/1/2016,6.56%
8/1/2016,5.60%
7/1/2016,-15.29%
6/1/2016,-2.78%
5/1/2016,5.31%
4/1/2016,16.03%
3/1/2016,8.55%
2/1/2016,-6.47%
1/1/2016,-12.13%
12/1/2015,-14.76%
11/1/2015,-13.09%
10/1/2015,2.19%
9/1/2015,-9.47%
8/1/2015,2.79%
7/1/2015,-21.46%
6/1/2015,-2.10%
5/1/2015,-0.53%
4/1/2015,21.31%
3/1/2015,-7.84%
2/1/2015,1.39%
1/1/2015,-10.54%
12/1/2014,-19.70%
11/1/2014,-17.82%
10/1/2014,-10.87%
9/1/2014,-4.14%
8/1/2014,-1.43%
7/1/2014,-6.35%
6/1/2014,3.37%
5/1/2014,3.70%
4/1/2014,-0.94%
3/1/2014,-0.56%
2/1/2014,5.74%
1/1/2014,-1.17%
12/1/2013,5.88%
11/1/2013,-4.23%
10/1/2013,-5.70%
9/1/2013,-4.17%
8/1/2013,3.05%
7/1/2013,9.22%
6/1/2013,4.74%
5/1/2013,-1.85%
4/1/2013,-4.21%
3/1/2013,5.14%
2/1/2013,-6.12%
1/1/2013,5.67%
12/1/2012,2.62%
11/1/2012,2.52%
10/1/2012,-6.86%
9/1/2012,-4.76%
8/1/2012,9.22%
7/1/2012,3.18%
6/1/2012,-2.17%
5/1/2012,-17.79%
4/1/2012,1.30%
3/1/2012,-4.23%
2/1/2012,8.30%
1/1/2012,-0.56%
12/1/2011,-1.72%
11/1/2011,7.80%
10/1/2011,17.39%
9/1/2011,-10.95%
8/1/2011,-7.61%
7/1/2011,-0.17%
6/1/2011,-7.60%
5/1/2011,-10.36%
4/1/2011,6.15%
3/1/2011,8.82%
2/1/2011,1.30%
1/1/2011,-0.37%
12/1/2010,8.00%
11/1/2010,2.62%
10/1/2010,0.92%
9/1/2010,9.44%
8/1/2010,-9.43%
7/1/2010,3.72%
6/1/2010,0.54%
5/1/2010,-18.45%
4/1/2010,1.84%
3/1/2010,4.66%
2/1/2010,8.70%
1/1/2010,-8.67%
12/1/2009,-0.03%
11/1/2009,-0.46%
10/1/2009,8.37%
9/1/2009,0.28%
8/1/2009,-1.93%
7/1/2009,-2.20%
6/1/2009,4.18%
5/1/2009,27.45%
4/1/2009,-2.49%
3/1/2009,7.58%
2/1/2009,-8.68%
1/1/2009,-18.91%
12/1/2008,-22.57%
11/1/2008,-20.87%
10/1/2008,-32.48%
9/1/2008,-12.93%
8/1/2008,-6.99%
7/1/2008,-11.78%
6/1/2008,9.55%
5/1/2008,12.37%
4/1/2008,12.27%
3/1/2008,0.82%
2/1/2008,10.92%
1/1/2008,-3.99%
12/1/2007,8.25%
11/1/2007,-5.22%
10/1/2007,16.75%
9/1/2007,12.04%
8/1/2007,-5.08%
7/1/2007,10.12%
6/1/2007,9.24%
5/1/2007,-5.23%
4/1/2007,-4.47%
3/1/2007,3.55%
2/1/2007,4.96%
1/1/2007,-6.54%
12/1/2006,-4.80%
11/1/2006,4.25%
10/1/2006,-9.23%
9/1/2006,-11.87%
8/1/2006,-7.32%
7/1/2006,-1.06%
6/1/2006,2.65%
5/1/2006,-2.89%
4/1/2006,5.73%
3/1/2006,5.30%
2/1/2006,-11.04%
1/1/2006,10.13%
12/1/2005,4.82%
11/1/2005,-5.63%
10/1/2005,-9.23%
9/1/2005,-4.98%
8/1/2005,12.02%
7/1/2005,5.51%
6/1/2005,6.30%
5/1/2005,1.47%
4/1/2005,-12.75%
3/1/2005,5.76%
2/1/2005,5.90%
1/1/2005,10.44%
12/1/2004,-12.67%
11/1/2004,-5.29%
10/1/2004,5.03%
9/1/2004,17.84%
8/1/2004,-2.83%
7/1/2004,17.75%
6/1/2004,-7.55%
5/1/2004,7.05%
4/1/2004,5.98%
3/1/2004,0.98%
2/1/2004,11.95%
1/1/2004,2.82%
12/1/2003,7.32%
11/1/2003,5.62%
10/1/2003,-0.48%
9/1/2003,-7.80%
8/1/2003,3.67%
7/1/2003,2.01%
6/1/2003,5.89%
5/1/2003,15.76%
4/1/2003,-13.45%
3/1/2003,-12.25%
2/1/2003,12.41%
1/1/2003,9.60%
12/1/2002,16.05%
11/1/2002,1.18%
10/1/2002,-10.78%
9/1/2002,4.56%
8/1/2002,9.51%
7/1/2002,0.62%
6/1/2002,5.01%
5/1/2002,-4.79%
4/1/2002,2.94%
3/1/2002,19.39%
2/1/2002,9.61%
1/1/2002,-4.18%
12/1/2001,-0.11%
11/1/2001,-9.20%
10/1/2001,-11.19%
9/1/2001,-14.69%
8/1/2001,5.59%
7/1/2001,1.91%
6/1/2001,-8.36%
5/1/2001,-2.80%
4/1/2001,7.11%
3/1/2001,-4.80%
2/1/2001,-3.63%
1/1/2001,11.18%
12/1/2000,-19.46%
11/1/2000,6.50%
10/1/2000,6.28%
9/1/2000,-4.19%
8/1/2000,22.21%
7/1/2000,-13.21%
6/1/2000,15.76%
5/1/2000,13.66%
4/1/2000,-1.63%
3/1/2000,-6.22%
2/1/2000,14.16%
1/1/2000,10.60%
12/1/1999,6.63%
11/1/1999,13.77%
10/1/1999,-11.18%
9/1/1999,11.08%
8/1/1999,7.22%
7/1/1999,5.55%
6/1/1999,14.00%
5/1/1999,-9.30%
4/1/1999,11.01%
3/1/1999,36.16%
2/1/1999,-4.80%
1/1/1999,5.39%
12/1/1998,3.39%
11/1/1998,-23.56%
10/1/1998,-11.74%
9/1/1998,19.18%
8/1/1998,-8.69%
7/1/1998,-2.15%
6/1/1998,-12.09%
5/1/1998,-5.67%
4/1/1998,-3.61%
3/1/1998,-1.50%
2/1/1998,-11.50%
1/1/1998,-3.62%
12/1/1997,-9.15%
11/1/1997,-9.96%
10/1/1997,-0.48%
9/1/1997,7.21%
8/1/1997,-3.56%
7/1/1997,1.00%
6/1/1997,-6.75%
5/1/1997,3.42%
4/1/1997,-1.51%
3/1/1997,0.23%
2/1/1997,-15.12%
1/1/1997,-4.70%
12/1/1996,11.41%
11/1/1996,2.30%
10/1/1996,-2.70%
9/1/1996,12.57%
8/1/1996,11.73%
7/1/1996,0.97%
6/1/1996,10.30%
5/1/1996,-2.58%
4/1/1996,8.46%
3/1/1996,14.83%
2/1/1996,13.01%
1/1/1996,-7.12%
12/1/1995,9.49%
11/1/1995,4.68%
10/1/1995,2.04%
9/1/1995,0.43%
8/1/1995,2.92%
7/1/1995,2.28%
6/1/1995,-7.17%
5/1/1995,-6.33%
4/1/1995,6.96%
3/1/1995,4.06%
2/1/1995,1.56%
1/1/1995,3.95%
12/1/1994,-1.83%
11/1/1994,-0.12%
10/1/1994,-1.66%
9/1/1994,3.79%
8/1/1994,-12.55%
7/1/1994,8.19%
6/1/1994,9.06%
5/1/1994,11.09%
4/1/1994,14.69%
3/1/1994,1.38%
2/1/1994,-5.43%
1/1/1994,5.36%
12/1/1993,-10.05%
11/1/1993,-10.17%
10/1/1993,-10.82%
9/1/1993,0.58%
8/1/1993,0.15%
7/1/1993,-6.39%
6/1/1993,-7.15%
5/1/1993,-3.38%
4/1/1993,-0.49%
3/1/1993,-0.77%
2/1/1993,1.30%
1/1/1993,2.96%
12/1/1992,-2.47%
11/1/1992,-3.98%
10/1/1992,-4.69%
9/1/1992,1.80%
8/1/1992,-1.46%
7/1/1992,1.47%
6/1/1992,-2.19%
5/1/1992,5.50%
4/1/1992,7.05%
3/1/1992,3.04%
2/1/1992,-1.80%
1/1/1992,-1.46%
12/1/1991,-11.04%
11/1/1991,-7.54%
10/1/1991,5.88%
9/1/1991,0.02%
8/1/1991,3.07%
7/1/1991,6.02%
6/1/1991,-3.23%
5/1/1991,1.23%
4/1/1991,8.24%
3/1/1991,4.33%
2/1/1991,-4.23%
1/1/1991,-21.73%
12/1/1990,0.77%
11/1/1990,-15.28%
10/1/1990,-7.57%
9/1/1990,48.04%
8/1/1990,34.41%
7/1/1990,16.15%
6/1/1990,-5.33%
5/1/1990,-8.61%
4/1/1990,-11.47%
3/1/1990,-6.78%
2/1/1990,-3.70%
1/1/1990,8.11%
12/1/1989,10.90%
11/1/1989,0.59%
10/1/1989,-0.10%
9/1/1989,8.75%
8/1/1989,4.42%
7/1/1989,-5.43%
6/1/1989,7.06%
5/1/1989,2.82%
4/1/1989,5.68%
3/1/1989,13.93%
2/1/1989,9.85%
1/1/1989,2.63%
12/1/1988,14.85%
11/1/1988,13.29%
10/1/1988,4.20%
9/1/1988,-11.39%
8/1/1988,-8.02%
7/1/1988,6.49%
6/1/1988,-13.85%
5/1/1988,-3.26%
4/1/1988,6.12%
3/1/1988,7.03%
2/1/1988,-5.20%
1/1/1988,2.48%
12/1/1987,-8.06%
11/1/1987,-6.91%
10/1/1987,2.52%
9/1/1987,0.29%
8/1/1987,-6.54%
7/1/1987,7.73%
6/1/1987,5.92%
5/1/1987,5.30%
4/1/1987,1.39%
3/1/1987,14.37%
2/1/1987,-11.01%
