Date,Value,YOY (%)
2023-09-01,0.94,-6.93
2023-08-01,0.92,-7.07
2023-07-01,0.90,-8.16
2023-06-01,0.92,-3.16
2023-05-01,0.92,-3.16
2023-04-01,0.91,-2.15
2023-03-01,0.93,2.20
2023-02-01,0.93,5.68
2023-01-01,0.93,5.68
2022-12-01,0.94,5.62
2022-11-01,0.98,11.36
2022-10-01,1.02,18.60
2022-09-01,1.01,18.82
2022-08-01,0.99,16.47
2022-07-01,0.98,15.29
2022-06-01,0.95,14.46
2022-05-01,0.95,15.85
2022-04-01,0.93,10.71
2022-03-01,0.91,8.33
2022-02-01,0.88,6.02
2022-01-01,0.88,7.32
2021-12-01,0.89,8.54
2021-11-01,0.88,3.53
2021-10-01,0.86,1.18
2021-09-01,0.85,0.00
2021-08-01,0.85,0.00
2021-07-01,0.85,-2.30
2021-06-01,0.83,-6.74
2021-05-01,0.82,-10.87
2021-04-01,0.84,-8.70
2021-03-01,0.84,-7.69
2021-02-01,0.83,-9.78
2021-01-01,0.82,-8.89
2020-12-01,0.82,-8.89
2020-11-01,0.85,-6.59
2020-10-01,0.85,-5.56
2020-09-01,0.85,-6.59
2020-08-01,0.85,-5.56
2020-07-01,0.87,-2.25
2020-06-01,0.89,0.00
2020-05-01,0.92,3.37
2020-04-01,0.92,3.37
2020-03-01,0.91,2.25
2020-02-01,0.92,4.55
2020-01-01,0.90,2.27
2019-12-01,0.90,2.27
2019-11-01,0.91,3.41
2019-10-01,0.90,3.45
2019-09-01,0.91,5.81
2019-08-01,0.90,3.45
2019-07-01,0.89,3.49
2019-06-01,0.89,3.49
2019-05-01,0.89,4.71
2019-04-01,0.89,8.54
2019-03-01,0.89,9.88
2019-02-01,0.88,8.64
2019-01-01,0.88,7.32
2018-12-01,0.88,3.53
2018-11-01,0.88,3.53
2018-10-01,0.87,2.35
2018-09-01,0.86,2.38
2018-08-01,0.87,2.35
2018-07-01,0.86,-1.15
2018-06-01,0.86,-3.37
2018-05-01,0.85,-6.59
2018-04-01,0.82,-11.83
2018-03-01,0.81,-13.83
2018-02-01,0.81,-13.83
2018-01-01,0.82,-12.77
2017-12-01,0.85,-10.53
2017-11-01,0.85,-8.60
2017-10-01,0.85,-6.59
2017-09-01,0.84,-5.62
2017-08-01,0.85,-4.49
2017-07-01,0.87,-4.40
2017-06-01,0.89,0.00
2017-05-01,0.91,3.41
2017-04-01,0.93,5.68
2017-03-01,0.94,4.44
2017-02-01,0.94,4.44
2017-01-01,0.94,2.17
2016-12-01,0.95,3.26
2016-11-01,0.93,0.00
2016-10-01,0.91,2.25
2016-09-01,0.89,0.00
2016-08-01,0.89,-1.11
2016-07-01,0.91,0.00
2016-06-01,0.89,0.00
2016-05-01,0.88,-2.22
2016-04-01,0.88,-4.35
2016-03-01,0.90,-2.17
2016-02-01,0.90,2.27
2016-01-01,0.92,6.98
2015-12-01,0.92,13.58
2015-11-01,0.93,16.25
2015-10-01,0.89,12.66
2015-09-01,0.89,14.10
2015-08-01,0.90,20.00
2015-07-01,0.91,22.97
2015-06-01,0.89,20.27
2015-05-01,0.90,23.29
2015-04-01,0.92,27.78
2015-03-01,0.92,27.78
2015-02-01,0.88,20.55
2015-01-01,0.86,17.81
2014-12-01,0.81,10.96
2014-11-01,0.80,8.11
2014-10-01,0.79,8.22
2014-09-01,0.78,4.00
2014-08-01,0.75,0.00
2014-07-01,0.74,-2.63
2014-06-01,0.74,-2.63
2014-05-01,0.73,-5.19
2014-04-01,0.72,-6.49
2014-03-01,0.72,-6.49
2014-02-01,0.73,-2.67
2014-01-01,0.73,-2.67
2013-12-01,0.73,-3.95
2013-11-01,0.74,-5.13
2013-10-01,0.73,-5.19
2013-09-01,0.75,-3.85
2013-08-01,0.75,-7.41
2013-07-01,0.76,-6.17
2013-06-01,0.76,-5.00
2013-05-01,0.77,-1.28
2013-04-01,0.77,1.32
2013-03-01,0.77,1.32
2013-02-01,0.75,-1.32
2013-01-01,0.75,-3.85
2012-12-01,0.76,0.00
2012-11-01,0.78,5.41
2012-10-01,0.77,5.48
2012-09-01,0.78,6.85
2012-08-01,0.81,15.71
2012-07-01,0.81,15.71
2012-06-01,0.80,15.94
2012-05-01,0.78,11.43
2012-04-01,0.76,10.14
2012-03-01,0.76,7.04
2012-02-01,0.76,4.11
2012-01-01,0.78,4.00
2011-12-01,0.76,0.00
2011-11-01,0.74,1.37
2011-10-01,0.73,1.39
2011-09-01,0.73,-3.95
2011-08-01,0.70,-10.26
2011-07-01,0.70,-10.26
2011-06-01,0.69,-15.85
2011-05-01,0.70,-12.50
2011-04-01,0.69,-8.00
2011-03-01,0.71,-4.05
2011-02-01,0.73,0.00
2011-01-01,0.75,7.14
2010-12-01,0.76,10.14
2010-11-01,0.73,8.96
2010-10-01,0.72,5.88
2010-09-01,0.76,10.14
2010-08-01,0.78,11.43
2010-07-01,0.78,9.86
2010-06-01,0.82,15.49
2010-05-01,0.80,9.59
2010-04-01,0.75,-1.32
2010-03-01,0.74,-3.90
2010-02-01,0.73,-6.41
2010-01-01,0.70,-7.89
2009-12-01,0.69,-6.76
2009-11-01,0.67,-15.19
2009-10-01,0.68,-9.33
2009-09-01,0.69,-1.43
2009-08-01,0.70,4.48
2009-07-01,0.71,10.94
2009-06-01,0.71,10.94
2009-05-01,0.73,14.06
2009-04-01,0.76,18.75
2009-03-01,0.77,20.31
2009-02-01,0.78,14.71
2009-01-01,0.76,11.76
2008-12-01,0.74,7.25
2008-11-01,0.79,16.18
2008-10-01,0.75,7.14
2008-09-01,0.70,-2.78
2008-08-01,0.67,-8.22
2008-07-01,0.64,-12.33
2008-06-01,0.64,-14.67
2008-05-01,0.64,-13.51
2008-04-01,0.64,-13.51
2008-03-01,0.64,-15.79
2008-02-01,0.68,-11.69
2008-01-01,0.68,-11.69
2007-12-01,0.69,-9.21
2007-11-01,0.68,-12.82
2007-10-01,0.70,-11.39
2007-09-01,0.72,-8.86
2007-08-01,0.73,-6.41
2007-07-01,0.73,-7.59
2007-06-01,0.75,-5.06
2007-05-01,0.74,-5.13
2007-04-01,0.74,-9.76
2007-03-01,0.76,-8.43
2007-02-01,0.77,-8.33
2007-01-01,0.77,-7.23
2006-12-01,0.76,-9.52
2006-11-01,0.78,-8.24
2006-10-01,0.79,-4.82
2006-09-01,0.79,-3.66
2006-08-01,0.78,-3.70
2006-07-01,0.79,-4.82
2006-06-01,0.79,-3.66
2006-05-01,0.78,-1.27
2006-04-01,0.82,6.49
2006-03-01,0.83,9.21
2006-02-01,0.84,9.09
2006-01-01,0.83,9.21
2005-12-01,0.84,12.00
2005-11-01,0.85,10.39
2005-10-01,0.83,3.75
2005-09-01,0.82,0.00
2005-08-01,0.81,-1.22
2005-07-01,0.83,1.22
2005-06-01,0.82,0.00
2005-05-01,0.79,-4.82
2005-04-01,0.77,-7.23
2005-03-01,0.76,-7.32
2005-02-01,0.77,-2.53
2005-01-01,0.76,-3.80
2004-12-01,0.75,-7.41
2004-11-01,0.77,-9.41
2004-10-01,0.80,-5.88
2004-09-01,0.82,-7.87
2004-08-01,0.82,-8.89
2004-07-01,0.82,-6.82
2004-06-01,0.82,-4.65
2004-05-01,0.83,-4.60
2004-04-01,0.83,-9.78
2004-03-01,0.82,-11.83
2004-02-01,0.79,-15.05
2004-01-01,0.79,-15.96
2003-12-01,0.81,-17.35
2003-11-01,0.85,-15.00
2003-10-01,0.85,-16.67
2003-09-01,0.89,-12.75
2003-08-01,0.90,-11.76
2003-07-01,0.88,-12.87
2003-06-01,0.86,-18.10
2003-05-01,0.87,-20.18
2003-04-01,0.92,-18.58
2003-03-01,0.93,-18.42
2003-02-01,0.93,-19.13
2003-01-01,0.94,-16.81
2002-12-01,0.98,-12.50
2002-11-01,1.00,-11.50
2002-10-01,1.02,-8.11
2002-09-01,1.02,-7.27
2002-08-01,1.02,-8.11
2002-07-01,1.01,-12.93
2002-06-01,1.05,-10.26
2002-05-01,1.09,-4.39
2002-04-01,1.13,0.89
2002-03-01,1.14,3.64
2002-02-01,1.15,5.50
2002-01-01,1.13,5.61
2001-12-01,1.12,0.90
2001-11-01,1.13,-3.42
2001-10-01,1.11,-5.13
2001-09-01,1.10,-4.35
2001-08-01,1.11,0.00
2001-07-01,1.16,8.41
2001-06-01,1.17,11.43
2001-05-01,1.14,3.64
2001-04-01,1.12,5.66
2001-03-01,1.10,5.77
2001-02-01,1.09,6.86
2001-01-01,1.07,8.08
2000-12-01,1.11,12.12
2000-11-01,1.17,20.62
2000-10-01,1.17,25.81
2000-09-01,1.15,21.05
2000-08-01,1.11,18.09
2000-07-01,1.07,11.46
2000-06-01,1.05,9.38
2000-05-01,1.10,17.02
2000-04-01,1.06,13.98
2000-03-01,1.04,13.04
2000-02-01,1.02,14.61
2000-01-01,0.99,15.12
1999-12-01,0.99,
1999-11-01,0.97,
1999-10-01,0.93,
1999-09-01,0.95,
1999-08-01,0.94,
1999-07-01,0.96,
1999-06-01,0.96,
1999-05-01,0.94,
1999-04-01,0.93,
1999-03-01,0.92,
1999-02-01,0.89,
1999-01-01,0.86,
