"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2000-02",100.5321,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2000-03",100.4111,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2000-04",100.3466,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2000-05",100.428,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2000-06",100.6973,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2000-07",100.9231,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2000-08",100.7651,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2000-09",99.983,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2000-10",99.02789,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2000-11",98.52253,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2000-12",98.91425,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2001-01",99.67814,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2001-02",100.0829,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2001-03",99.58415,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2001-04",98.57758,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2001-05",97.59512,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2001-06",97.00954,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2001-07",96.71483,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2001-08",96.56696,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2001-09",96.53399,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2001-10",96.69926,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2001-11",97.29433,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2001-12",98.53374,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2002-01",100.0199,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2002-02",101.2399,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2002-03",101.8155,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2002-04",102.0195,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2002-05",102.1999,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2002-06",102.576,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2002-07",103.0576,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2002-08",103.4487,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2002-09",103.5434,
