"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1972-08",101.57,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1972-09",101.67,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1972-10",101.72,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1972-11",103.5817,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1972-12",103.1751,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1973-01",102.7886,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1973-02",102.464,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1973-03",102.2451,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1973-04",102.0972,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1973-05",101.988,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1973-06",101.8978,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1973-07",101.7912,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1973-08",101.6228,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1973-09",101.3605,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1973-10",101.0697,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1973-11",100.8345,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.7085,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1974-01",100.6084,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1974-02",100.4121,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1974-03",100.0312,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.57882,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1974-05",99.21388,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1974-06",99.05648,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1974-07",99.01603,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1974-08",98.97319,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1974-09",98.84489,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1974-10",98.65174,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1974-11",98.43139,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1974-12",98.21686,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1975-01",98.04196,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1975-02",97.95792,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1975-03",98.01037,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1975-04",98.12538,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1975-05",98.2166,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1975-06",98.22964,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1975-07",98.2104,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1975-08",98.22754,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1975-09",98.32735,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1975-10",98.4521,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","1975-11",98.52225,
