Date,Value,YOY (%),index
2023-09-01,4.94,-5.73,^BVSP
2023-08-01,4.9,-4.67,^BVSP
2023-07-01,4.8,-10.61,^BVSP
2023-06-01,4.85,-3.96,^BVSP
2023-05-01,4.98,0.4,^BVSP
2023-04-01,5.02,5.68,^BVSP
2023-03-01,5.21,4.62,^BVSP
2023-02-01,5.18,-0.38,^BVSP
2023-01-01,5.19,-6.15,^BVSP
2022-12-01,5.25,-7.08,^BVSP
2022-11-01,5.27,-5.39,^BVSP
2022-10-01,5.25,-5.23,^BVSP
2022-09-01,5.24,-0.76,^BVSP
2022-08-01,5.14,-2.1,^BVSP
2022-07-01,5.37,4.07,^BVSP
2022-06-01,5.05,0.4,^BVSP
2022-05-01,4.96,-6.24,^BVSP
2022-04-01,4.75,-14.72,^BVSP
2022-03-01,4.98,-11.7,^BVSP
2022-02-01,5.2,-3.88,^BVSP
2022-01-01,5.53,2.98,^BVSP
2021-12-01,5.65,9.92,^BVSP
2021-11-01,5.57,2.2,^BVSP
2021-10-01,5.54,-1.6,^BVSP
2021-09-01,5.28,-2.22,^BVSP
2021-08-01,5.25,-4.02,^BVSP
2021-07-01,5.16,-2.09,^BVSP
2021-06-01,5.03,-3.08,^BVSP
2021-05-01,5.29,-6.21,^BVSP
2021-04-01,5.57,4.7,^BVSP
2021-03-01,5.64,15.34,^BVSP
2021-02-01,5.41,24.37,^BVSP
2021-01-01,5.37,29.4,^BVSP
2020-12-01,5.14,25.37,^BVSP
2020-11-01,5.45,31.01,^BVSP
2020-10-01,5.63,37.99,^BVSP
2020-09-01,5.4,31.07,^BVSP
2020-08-01,5.47,36.07,^BVSP
2020-07-01,5.27,39.42,^BVSP
2020-06-01,5.19,34.46,^BVSP
2020-05-01,5.64,41.35,^BVSP
2020-04-01,5.32,36.41,^BVSP
2020-03-01,4.89,27.34,^BVSP
2020-02-01,4.35,16.94,^BVSP
2020-01-01,4.15,10.96,^BVSP
2019-12-01,4.1,5.67,^BVSP
2019-11-01,4.16,9.76,^BVSP
2019-10-01,4.08,8.51,^BVSP
2019-09-01,4.12,0.24,^BVSP
