Date,Value,YOY (%),index
2023-09-01,0.94,-6.93,^FCHI
2023-08-01,0.92,-7.07,^FCHI
2023-07-01,0.9,-8.16,^FCHI
2023-06-01,0.92,-3.16,^FCHI
2023-05-01,0.92,-3.16,^FCHI
2023-04-01,0.91,-2.15,^FCHI
2023-03-01,0.93,2.2,^FCHI
2023-02-01,0.93,5.68,^FCHI
2023-01-01,0.93,5.68,^FCHI
2022-12-01,0.94,5.62,^FCHI
2022-11-01,0.98,11.36,^FCHI
2022-10-01,1.02,18.6,^FCHI
2022-09-01,1.01,18.82,^FCHI
2022-08-01,0.99,16.47,^FCHI
2022-07-01,0.98,15.29,^FCHI
2022-06-01,0.95,14.46,^FCHI
2022-05-01,0.95,15.85,^FCHI
2022-04-01,0.93,10.71,^FCHI
2022-03-01,0.91,8.33,^FCHI
2022-02-01,0.88,6.02,^FCHI
2022-01-01,0.88,7.32,^FCHI
2021-12-01,0.89,8.54,^FCHI
2021-11-01,0.88,3.53,^FCHI
2021-10-01,0.86,1.18,^FCHI
2021-09-01,0.85,0.0,^FCHI
2021-08-01,0.85,0.0,^FCHI
2021-07-01,0.85,-2.3,^FCHI
2021-06-01,0.83,-6.74,^FCHI
2021-05-01,0.82,-10.87,^FCHI
2021-04-01,0.84,-8.7,^FCHI
2021-03-01,0.84,-7.69,^FCHI
2021-02-01,0.83,-9.78,^FCHI
2021-01-01,0.82,-8.89,^FCHI
2020-12-01,0.82,-8.89,^FCHI
2020-11-01,0.85,-6.59,^FCHI
2020-10-01,0.85,-5.56,^FCHI
2020-09-01,0.85,-6.59,^FCHI
2020-08-01,0.85,-5.56,^FCHI
2020-07-01,0.87,-2.25,^FCHI
2020-06-01,0.89,0.0,^FCHI
2020-05-01,0.92,3.37,^FCHI
2020-04-01,0.92,3.37,^FCHI
2020-03-01,0.91,2.25,^FCHI
2020-02-01,0.92,4.55,^FCHI
2020-01-01,0.9,2.27,^FCHI
2019-12-01,0.9,2.27,^FCHI
2019-11-01,0.91,3.41,^FCHI
2019-10-01,0.9,3.45,^FCHI
2019-09-01,0.91,5.81,^FCHI
2019-08-01,0.9,3.45,^FCHI
2019-07-01,0.89,3.49,^FCHI
2019-06-01,0.89,3.49,^FCHI
2019-05-01,0.89,4.71,^FCHI
2019-04-01,0.89,8.54,^FCHI
