Date,Value,YOY (%),index
2023-09-01,147.85,3.19,^N225
2023-08-01,144.78,7.02,^N225
2023-07-01,140.94,3.09,^N225
2023-06-01,141.36,5.52,^N225
2023-05-01,137.05,6.36,^N225
2023-04-01,133.47,5.62,^N225
2023-03-01,133.66,12.72,^N225
2023-02-01,133.05,15.41,^N225
2023-01-01,130.45,13.6,^N225
2022-12-01,134.91,18.52,^N225
2022-11-01,142.45,24.99,^N225
2022-10-01,147.05,29.99,^N225
2022-09-01,143.28,30.07,^N225
2022-08-01,135.28,23.15,^N225
2022-07-01,136.71,24.05,^N225
2022-06-01,133.96,21.66,^N225
2022-05-01,128.85,18.09,^N225
2022-04-01,126.37,15.89,^N225
2022-03-01,118.58,9.09,^N225
2022-02-01,115.28,9.39,^N225
2022-01-01,114.83,10.64,^N225
2021-12-01,113.83,9.66,^N225
2021-11-01,113.97,9.16,^N225
2021-10-01,113.12,7.52,^N225
2021-09-01,110.16,4.33,^N225
2021-08-01,109.85,3.62,^N225
2021-07-01,110.21,3.31,^N225
2021-06-01,110.11,2.35,^N225
2021-05-01,109.11,1.78,^N225
2021-04-01,109.04,1.21,^N225
2021-03-01,108.7,0.96,^N225
2021-02-01,105.38,-4.23,^N225
2021-01-01,103.79,-5.02,^N225
2020-12-01,103.8,-4.86,^N225
2020-11-01,104.41,-4.09,^N225
2020-10-01,105.21,-2.71,^N225
2020-09-01,105.59,-1.81,^N225
2020-08-01,106.01,-0.17,^N225
2020-07-01,106.68,-1.49,^N225
2020-06-01,107.58,-0.45,^N225
2020-05-01,107.2,-2.52,^N225
2020-04-01,107.74,-3.49,^N225
2020-03-01,107.67,-3.12,^N225
2020-02-01,110.03,-0.37,^N225
2020-01-01,109.27,0.28,^N225
2019-12-01,109.1,-2.76,^N225
2019-11-01,108.86,-3.95,^N225
2019-10-01,108.14,-4.06,^N225
2019-09-01,107.54,-4.07,^N225
2019-08-01,106.19,-4.33,^N225
2019-07-01,108.29,-2.9,^N225
2019-06-01,108.07,-1.81,^N225
2019-05-01,109.97,0.26,^N225
