Date,Value,YOY (%)
2022-01-01,1920095560995.06,16.40
2021-01-01,1649622972159.35,11.75
2020-01-01,1476107292036.59,-21.20
2019-01-01,1873288159000.64,-2.28
2018-01-01,1916933708404.16,-7.10
2017-01-01,2063507864886.88,14.91
2016-01-01,1795700168991.49,-0.36
2015-01-01,1802214373741.32,-26.62
2014-01-01,2455993625159.37,-0.68
2013-01-01,2472806919901.67,0.31
2012-01-01,2465188674415.03,-5.77
2011-01-01,2616200980392.16,18.44
2010-01-01,2208871646202.82,32.50
2009-01-01,1667019783585.08,-1.70
2008-01-01,1695824565983.20,21.38
2007-01-01,1397084349956.35,26.13
2006-01-01,1107640289615.23,24.23
2005-01-01,891630177251.07,33.21
2004-01-01,669316654017.09,19.88
2003-01-01,558319920831.98,9.91
2002-01-01,507962487700.02,-9.19
2001-01-01,559372276081.97,-14.65
2000-01-01,655420645476.91,9.35
1999-01-01,599388579985.67,-30.60
1998-01-01,863723411632.92,-2.21
1997-01-01,883199625324.68,3.85
1996-01-01,850426432991.74,10.54
1995-01-01,769305386182.85,37.84
1994-01-01,558111997497.26,27.48
1993-01-01,437798577639.75,9.29
1992-01-01,400599250000.00,-33.55
1991-01-01,602860000000.00,30.50
1990-01-01,461951782000.00,8.54
1989-01-01,425595310000.00,28.81
1988-01-01,330397381998.49,12.35
1987-01-01,294084112392.66,9.68
1986-01-01,268137224729.72,20.27
1985-01-01,222942790435.30,6.66
1984-01-01,209023912696.84,2.81
1983-01-01,203304515490.80,-27.82
1982-01-01,281682304161.04,6.88
1981-01-01,263561088977.13,12.14
1980-01-01,235024598983.26,4.47
1979-01-01,224969488835.18,12.04
1978-01-01,200800891870.16,13.98
1977-01-01,176171284311.76,15.39
1976-01-01,152678020452.83,23.42
1975-01-01,123709376567.89,56.04
1974-01-01,105136007528.76,32.62
1973-01-01,79279057730.83,35.43
1972-01-01,58539008786.37,18.97
1971-01-01,49204456700.45,16.25
1970-01-01,42327600098.24,13.00
1969-01-01,37458898243.86,10.58
1968-01-01,33875881876.37,10.74
1967-01-01,30591834053.97,13.04
1966-01-01,27062716577.91,24.20
1965-01-01,21790035117.19,2.73
1964-01-01,21211892259.99,-7.86
1963-01-01,23021477292.21,15.53
1962-01-01,19926293839.02,30.78
1961-01-01,15236854859.47,0.47
1960-01-01,15165569912.52,
