Date,Value,YOY (%)
2022-01-01,3385089881935.39,7.45
2021-01-01,3150306834279.65,17.92
2020-01-01,2671595389575.70,-5.78
2019-01-01,2835606242052.48,4.91
2018-01-01,2702929639861.50,1.94
2017-01-01,2651472946375.05,15.54
2016-01-01,2294797980509.51,9.09
2015-01-01,2103587813812.20,3.16
2014-01-01,2039127446299.30,9.82
2013-01-01,1856722121394.42,1.59
2012-01-01,1827637859136.23,0.25
2011-01-01,1823049927772.05,8.80
2010-01-01,1675615335600.56,24.87
2009-01-01,1341886602798.69,11.93
2008-01-01,1198895582137.51,-1.47
2007-01-01,1216735441524.86,29.40
2006-01-01,940259888792.14,14.61
2005-01-01,820381595512.90,15.69
2004-01-01,709148514804.66,16.69
2003-01-01,607699285433.87,18.01
2002-01-01,514937948870.08,6.08
2001-01-01,485441014538.64,3.64
2000-01-01,468394937262.37,2.09
1999-01-01,458820417337.81,8.89
1998-01-01,421351477504.74,1.32
1997-01-01,415867753863.87,5.85
1996-01-01,392897054348.07,9.05
1995-01-01,360281952716.80,10.09
1994-01-01,327275583539.56,17.18
1993-01-01,279296022987.92,-3.09
1992-01-01,288208430383.96,6.70
1991-01-01,270105341879.23,-15.85
1990-01-01,320979026419.63,8.42
1989-01-01,296042354986.13,-0.18
1988-01-01,296588994812.06,6.29
1987-01-01,279033584092.16,12.07
1986-01-01,248985994044.20,7.09
1985-01-01,232511877842.04,9.59
1984-01-01,212158234164.06,-2.80
1983-01-01,218262273410.10,8.74
1982-01-01,200715145360.92,3.73
1981-01-01,193490610032.10,3.85
1980-01-01,186325345089.75,21.79
1979-01-01,152991653792.86,11.43
1978-01-01,137300295308.04,13.02
1977-01-01,121487322474.30,18.27
1976-01-01,102717164465.89,4.31
1975-01-01,98472796457.11,15.15
1974-01-01,99525899115.78,16.38
1973-01-01,85515269585.52,19.66
1972-01-01,71463193830.41,6.11
1971-01-01,67350988020.90,7.90
1970-01-01,62422483054.52,6.80
1969-01-01,58447995016.85,10.10
1968-01-01,53085455870.82,5.89
1967-01-01,50134942203.45,9.31
1966-01-01,45865462033.91,-22.99
1965-01-01,59554854574.79,5.44
1964-01-01,56480289940.83,16.64
1963-01-01,48421923458.74,14.85
1962-01-01,42161481858.70,7.47
1961-01-01,39232435784.09,5.95
1960-01-01,37029883875.46,
