Date,Value,YOY (%)
2022-01-01,4231141201863.17,-15.47
2021-01-01,5005536736792.29,-0.86
2020-01-01,5048789595589.43,-1.35
2019-01-01,5117993853016.51,1.53
2018-01-01,5040880939324.86,2.23
2017-01-01,4930837369151.42,-1.46
2016-01-01,5003677627544.24,12.57
2015-01-01,4444930651964.18,-9.23
2014-01-01,4896994405353.29,-6.05
2013-01-01,5212328181166.18,-16.90
2012-01-01,6272362996105.03,0.63
2011-01-01,6233147172341.35,8.23
2010-01-01,5759071769013.11,8.88
2009-01-01,5289493117993.89,3.58
2008-01-01,5106679115127.30,11.51
2007-01-01,4579750920354.81,-0.48
2006-01-01,4601663122649.92,-4.76
2005-01-01,4831467035389.80,-1.26
2004-01-01,4893116005656.56,8.27
2003-01-01,4519561645253.53,8.05
2002-01-01,4182846045873.61,-4.39
2001-01-01,4374711694090.87,-11.95
2000-01-01,4968359075956.59,7.17
1999-01-01,4635982224063.88,13.12
1998-01-01,4098362709531.24,-8.77
1997-01-01,4492448605638.94,-8.75
1996-01-01,4923391533851.63,-11.22
1995-01-01,5545563663889.70,10.94
1994-01-01,4998797547740.97,12.23
1993-01-01,4454143876947.21,13.95
1992-01-01,3908809463463.86,9.05
1991-01-01,3584420077100.84,14.42
1990-01-01,3132817652848.04,2.55
1989-01-01,3054914166263.18,-0.55
1988-01-01,3071683013178.91,21.28
1987-01-01,2532808573157.03,21.83
1986-01-01,2078953333673.55,48.61
1985-01-01,1398892744820.69,6.11
1984-01-01,1318381627003.76,6.04
1983-01-01,1243323592058.83,9.59
1982-01-01,1134518001884.56,-6.93
1981-01-01,1218988935129.81,10.28
1980-01-01,1105385973763.87,4.77
1979-01-01,1055012119526.33,4.08
1978-01-01,1013612173518.84,40.50
1977-01-01,721411786536.81,23.07
1976-01-01,586161858999.67,12.39
1975-01-01,521541905673.25,20.70
1974-01-01,479625998613.41,11.00
1973-01-01,432082670450.72,35.86
1972-01-01,318031297492.35,32.43
1971-01-01,240151807460.24,12.95
1970-01-01,212609187919.44,23.46
1969-01-01,172204199480.89,17.46
1968-01-01,146601072685.51,18.44
1967-01-01,123781880217.60,17.19
1966-01-01,105628070343.11,16.14
1965-01-01,90950278257.78,11.26
1964-01-01,81749006381.51,17.63
1963-01-01,69498131797.33,14.45
1962-01-01,60723018683.73,13.48
1961-01-01,53508617739.38,20.77
1960-01-01,44307342950.40,
