Date,Value,YOY (%)
2022-01-01,3070667732359.21,-1.66
2021-01-01,3122480345924.54,15.45
2020-01-01,2704609160088.15,-5.34
2019-01-01,2857057847953.02,-0.73
2018-01-01,2878152147315.82,7.26
2017-01-01,2683399006715.79,-0.37
2016-01-01,2693247611031.81,-8.17
2015-01-01,2932784751846.27,-4.33
2014-01-01,3065521109394.94,10.14
2013-01-01,2783251090198.95,2.93
2012-01-01,2704017284861.91,1.66
2011-01-01,2659882040934.51,7.19
2010-01-01,2481579504997.81,2.87
2009-01-01,2412389780339.62,-17.42
2008-01-01,2921431985294.12,-5.56
2007-01-01,3093407362945.18,14.32
2006-01-01,2706014719411.22,6.84
2005-01-01,2532796363636.36,5.01
2004-01-01,2412045038447.46,17.61
2003-01-01,2050919183673.47,15.21
2002-01-01,1780082434052.76,8.63
2001-01-01,1638656974233.48,-1.18
2000-01-01,1658193372673.63,-1.43
1999-01-01,1682174405436.01,1.85
1998-01-01,1651618085458.76,6.00
1997-01-01,1558202357563.85,10.09
1996-01-01,1415390015600.62,5.50
1995-01-01,1341614328546.63,17.63
1994-01-01,1140489745944.29,7.45
1993-01-01,1061388722255.55,-10.03
1992-01-01,1179659529659.53,3.23
1991-01-01,1142797178130.51,4.54
1990-01-01,1093169389204.55,17.94
1989-01-01,926884816753.93,1.84
1988-01-01,910122732123.80,22.14
1987-01-01,745162608269.33,23.89
1986-01-01,601452653180.89,22.92
1985-01-01,489285164271.05,6.02
1984-01-01,461487097632.35,-5.75
1983-01-01,489618008185.54,-4.94
1982-01-01,515048916841.37,-4.76
1981-01-01,540765675241.16,-4.28
1980-01-01,564947710899.37,28.69
1979-01-01,438994070309.19,30.70
1978-01-01,335883029721.96,27.68
1977-01-01,263066457352.17,13.09
1976-01-01,232614555256.07,-3.78
1975-01-01,241756637168.14,25.56
1974-01-01,206131369798.97,7.06
1973-01-01,192537971582.56,13.28
1972-01-01,169965034965.04,14.75
1971-01-01,148113896325.14,13.35
1970-01-01,130671946244.30,12.20
1969-01-01,116464702803.22,8.08
1968-01-01,107759910067.89,-4.74
1967-01-01,113116888210.79,4.19
1966-01-01,108572752102.05,6.63
1965-01-01,101824755078.99,7.86
1964-01-01,94407558351.16,9.06
1963-01-01,86561961812.32,6.54
1962-01-01,81247564156.82,4.51
1961-01-01,77741965703.35,6.16
1960-01-01,73233967692.10,
