Date,Value,YOY (%)
2022-01-01,25462700000000.00,9.21
2021-01-01,23315080560000.00,10.71
2020-01-01,21060473613000.00,-1.50
2019-01-01,21380976119000.00,4.13
2018-01-01,20533057312000.00,5.42
2017-01-01,19477336549000.00,3.91
2016-01-01,18745075687000.00,2.78
2015-01-01,18238300569000.00,4.06
2014-01-01,17527163695000.00,4.42
2013-01-01,16784849196000.00,3.63
2012-01-01,16197007349000.00,4.21
2011-01-01,15542581104000.00,3.67
2010-01-01,14992052727000.00,3.76
2009-01-01,14448933025000.00,-1.79
2008-01-01,14712844084000.00,1.81
2007-01-01,14451858656000.00,4.61
2006-01-01,13814611414000.00,5.97
2005-01-01,13036640230000.00,6.74
2004-01-01,12213729147000.00,6.59
2003-01-01,11458243878000.00,4.77
2002-01-01,10936419054000.00,3.35
2001-01-01,10581821399000.00,3.21
2000-01-01,10252345464000.00,6.46
1999-01-01,9630664202000.00,6.27
1998-01-01,9062818202000.00,5.66
1997-01-01,8577554457000.00,6.25
1996-01-01,8073122000000.00,5.67
1995-01-01,7639749000000.00,4.84
1994-01-01,7287236000000.00,6.25
1993-01-01,6858559000000.00,5.19
1992-01-01,6520327000000.00,5.88
1991-01-01,6158129000000.00,3.27
1990-01-01,5963144000000.00,5.70
1989-01-01,5641580000000.00,7.74
1988-01-01,5236438000000.00,7.85
1987-01-01,4855215000000.00,6.02
1986-01-01,4579631000000.00,5.55
1985-01-01,4338979000000.00,7.46
1984-01-01,4037613000000.00,11.11
1983-01-01,3634038000000.00,8.68
1982-01-01,3343789000000.00,4.26
1981-01-01,3207041000000.00,12.24
1980-01-01,2857307000000.00,8.75
1979-01-01,2627333000000.00,11.73
1978-01-01,2351599000000.00,12.96
1977-01-01,2081826000000.00,11.12
1976-01-01,1873412000000.00,11.19
1975-01-01,1684904000000.00,18.21
1974-01-01,1545243000000.00,8.41
1973-01-01,1425376000000.00,11.43
1972-01-01,1279110000000.00,9.81
1971-01-01,1164850000000.00,8.53
1970-01-01,1073303000000.00,5.24
1969-01-01,1019900000000.00,8.21
1968-01-01,942500000000.00,9.38
1967-01-01,861700000000.00,5.73
1966-01-01,815000000000.00,9.59
1965-01-01,743700000000.00,8.44
1964-01-01,685800000000.00,7.39
1963-01-01,638600000000.00,5.54
1962-01-01,605100000000.00,7.42
1961-01-01,563300000000.00,3.68
1960-01-01,543300000000.00,
