Date,USD
1978-01-31,207.8
1978-02-28,227.3
1978-03-31,245.7
1978-04-28,242.1
1978-05-31,239.2
1978-06-30,257.6
1978-07-31,279.1
1978-08-31,294.7
1978-09-29,300.8
1978-10-31,355.1
1978-11-30,391.7
1978-12-29,392
1979-01-31,455.1
1979-02-28,675.3
1979-03-30,665.3
1979-04-30,553.6
1979-05-31,517.4
1979-06-29,513.8
1979-07-31,600.7
1979-08-31,644.3
1979-09-28,627.2
1979-10-31,673.6
1979-11-30,661.2
1979-12-31,623.5
1980-01-31,594.9
1980-02-29,557.4
1980-03-31,499.8
1980-04-30,498.8
1980-05-30,495.8
1980-06-30,479.7
1980-07-31,460.8
1980-08-29,409.3
1980-09-30,410.2
1980-10-31,443.8
1980-11-28,437.8
1980-12-31,413.4
1981-01-30,410.1
1981-02-27,384.1
1981-03-31,374.1
1981-04-30,330.3
1981-05-29,350.3
1981-06-30,333.8
1981-07-31,315
1981-08-31,339
1981-09-30,364.2
1981-10-30,437.3
1981-11-30,422.2
1981-12-31,414.9
1982-01-29,444.3
1982-02-26,481.3
1982-03-31,491.2
1982-04-30,419.7
1982-05-31,432.9
1982-06-30,438
1982-07-30,412.8
1982-08-31,422.7
1982-09-30,416.2
1982-10-29,411.8
1982-11-30,393.6
1982-12-31,381.7
1983-01-31,388.3
1983-02-28,370.9
1983-03-31,385.9
1983-04-29,394.3
1983-05-31,381.4
1983-06-30,377.4
1983-07-29,377.7
1983-08-31,347.5
1983-09-30,347.7
1983-10-31,341.1
1983-11-30,340.2
1983-12-30,341.2
1984-01-31,320.2
1984-02-29,302.8
1984-03-30,299.1
1984-04-30,303.9
1984-05-31,325.3
1984-06-29,316.4
1984-07-31,316.5
1984-08-31,317.2
1984-09-28,329.8
1984-10-31,323.4
1984-11-30,325.8
1984-12-31,325.3
1985-01-31,321.9
1985-02-28,345.4
1985-03-29,338.9
1985-04-30,345.7
1985-05-31,340.4
1985-06-28,342.4
1985-07-31,342.7
1985-08-30,348.3
1985-09-30,376.6
1985-10-31,417.7
1985-11-29,423.5
1985-12-31,397.6
1986-01-31,390.9
1986-02-28,408.3
1986-03-31,401.1
1986-04-30,408.9
1986-05-30,438.4
1986-06-30,460.2
1986-07-31,449.6
1986-08-29,450.5
1986-09-30,461.2
1986-10-31,460.4
1986-11-28,465.4
1986-12-31,467.6
1987-01-30,486.2
1987-02-27,476.6
1987-03-31,442.1
1987-04-30,443.6
1987-05-29,451.6
1987-06-30,451.1
1987-07-31,451.3
1987-08-31,437.6
1987-09-30,431.3
1987-10-30,413.5
1987-11-30,406.8
1987-12-31,420.2
1988-01-29,419.1
1988-02-29,404
1988-03-31,387.5
1988-04-29,390.2
1988-05-31,384.4
1988-06-30,371.1
1988-07-29,367.6
1988-08-31,375
1988-09-30,365.1
1988-10-31,361.8
1988-11-30,366.9
1988-12-30,394.3
1989-01-31,409.4
1989-02-28,410.1
1989-03-31,416.8
1989-04-28,393.1
1989-05-31,374.2
1989-06-30,369.1
1989-07-31,352.3
1989-08-31,362.5
1989-09-29,394.7
1989-10-31,389.3
1989-11-30,380.7
1989-12-29,381.7
1990-01-31,377
1990-02-28,383.6
1990-03-30,363.8
1990-04-30,363.3
1990-05-31,358.4
1990-06-29,357
1990-07-31,366.7
1990-08-31,367.7
1990-09-28,356.3
1990-10-31,348.7
1990-11-30,358.7
1990-12-31,360.2
1991-01-31,361.7
1991-02-28,354.5
1991-03-29,353.9
1991-04-30,344.3
1991-05-31,338.6
1991-06-28,337.2
1991-07-31,340.8
1991-08-30,352.7
1991-09-30,343.1
1991-10-31,345.4
1991-11-29,344.4
1991-12-31,335
1992-01-31,334.8
1992-02-28,329
1992-03-31,329.3
1992-04-30,330.1
1992-05-29,342.2
1992-06-30,367.2
1992-07-31,371.9
1992-08-31,392.2
1992-09-30,378.8
1992-10-30,355.3
1992-11-30,364.2
1992-12-31,373.8
1993-01-29,383.3
1993-02-26,386.9
1993-03-31,381.9
1993-04-30,384.1
1993-05-31,377.3
1993-06-30,381.4
1993-07-30,385.6
1993-08-31,385.5
1993-09-30,380.4
1993-10-29,391.6
1993-11-30,389.8
1993-12-31,384.4
1994-01-31,379.3
1994-02-28,378.6
1994-03-31,376.6
1994-04-29,382.1
1994-05-31,391
1994-06-30,385.2
1994-07-29,387.6
1994-08-31,386.2
1994-09-30,383.7
1994-10-31,383.1
1994-11-30,383.1
1994-12-30,385.3
1995-01-31,387.4
1995-02-28,399.5
1995-03-31,404.8
1995-04-28,396.2
1995-05-31,392.9
1995-06-30,391.9
1995-07-31,385.3
1995-08-31,383.5
1995-09-29,387.3
1995-10-31,383.2
1995-11-30,381.1
1995-12-29,377.9
1996-01-31,369
1996-02-29,355.1
1996-03-29,346.6
1996-04-30,351.8
1996-05-31,344.5
1996-06-28,343.8
1996-07-31,340.8
1996-08-30,324.1
1996-09-30,324
1996-10-31,322.8
1996-11-29,324.9
1996-12-31,306
1997-01-31,288.7
1997-02-28,289.1
1997-03-31,297.5
1997-04-30,295.9
1997-05-30,308.3
1997-06-30,299.1
1997-07-31,292.3
1997-08-29,292.9
1997-09-30,284.1
1997-10-31,289
1997-11-28,295.9
1997-12-31,294.1
1998-01-30,291.7
1998-02-27,287.1
1998-03-31,287.3
1998-04-30,286
1998-05-29,282.6
1998-06-30,276.4
1998-07-31,261.3
1998-08-31,256.1
1998-09-30,256.7
1998-10-30,264.7
1998-11-30,310.7
1998-12-31,293.2
1999-01-29,287.1
1999-02-26,287.3
1999-03-31,286
1999-04-30,282.6
1999-05-31,276.4
1999-06-30,261.3
1999-07-30,256.1
1999-08-31,256.7
1999-09-30,264.7
1999-10-29,310.7
1999-11-30,293.2
1999-12-31,283.1
2000-01-31,284.3
2000-02-29,299.9
2000-03-31,286.4
2000-04-28,279.7
2000-05-31,275.2
2000-06-30,285.7
2000-07-31,281.6
2000-08-31,274.5
2000-09-29,273.7
2000-10-31,270
2000-11-30,266
2000-12-29,271.5
2001-01-31,265.5
2001-02-28,261.9
2001-03-30,263
2001-04-30,260.5
2001-05-31,272.4
2001-06-29,270.2
2001-07-31,267.5
2001-08-31,272.4
2001-09-28,283.4
2001-10-31,283.1
2001-11-30,276.2
2001-12-31,275.9
2002-01-31,281.5
2002-02-28,295.5
2002-03-29,294.1
2002-04-30,302.7
2002-05-31,314.5
2002-06-28,321.2
2002-07-31,313.3
2002-08-30,310.3
2002-09-30,319.1
2002-10-31,316.6
2002-11-29,319.1
2002-12-31,331.9
2003-01-31,356.9
2003-02-28,359
2003-03-31,340.6
2003-04-30,328.2
2003-05-30,355.7
2003-06-30,356.4
2003-07-31,351
2003-08-29,359.8
2003-09-30,379
2003-10-31,378.9
2003-11-28,389.9
2003-12-31,407
2004-01-30,413.8
2004-02-27,404.9
2004-03-31,406.7
2004-04-30,403.3
2004-05-31,383.8
2004-06-30,392.4
2004-07-30,398.1
2004-08-31,400.5
2004-09-30,405.3
2004-10-29,420.5
2004-11-30,439.4
2004-12-31,442.1
2005-01-31,424
2005-02-28,423.4
2005-03-31,434.3
2005-04-29,429.2
2005-05-31,421.9
2005-06-30,430.7
2005-07-29,424.5
2005-08-31,437.9
2005-09-30,456.1
2005-10-31,469.9
2005-11-30,476.7
2005-12-30,510.1
2006-01-31,549.9
2006-02-28,555
2006-03-31,557.1
2006-04-28,610.7
2006-05-31,675.4
2006-06-30,596.2
2006-07-31,633.7
2006-08-31,632.6
2006-09-29,598.2
2006-10-31,585.8
2006-11-30,627.8
2006-12-29,629.8
2007-01-31,631.2
2007-02-28,664.8
2007-03-30,654.9
2007-04-30,679.4
2007-05-31,666.9
2007-06-29,655.5
2007-07-31,665.3
2007-08-31,665.4
2007-09-28,712.7
2007-10-31,754.6
2007-11-30,806.3
2007-12-31,803.2
2008-01-31,889.6
2008-02-29,922.3
2008-03-31,968.4
2008-04-30,909.7
2008-05-30,888.7
2008-06-30,889.5
2008-07-31,939.8
2008-08-29,839
2008-09-30,829.9
2008-10-31,806.6
2008-11-28,760.9
2008-12-31,816.1
2009-01-30,858.7
2009-02-27,943.2
2009-03-31,924.3
2009-04-30,890.2
2009-05-29,928.6
2009-06-30,945.7
2009-07-31,934.2
2009-08-31,949.4
2009-09-30,996.6
2009-10-30,"1,043.20"
2009-11-30,"1,127.00"
2009-12-31,"1,134.70"
2010-01-29,"1,118.00"
2010-02-26,"1,095.40"
2010-03-31,"1,113.30"
2010-04-30,"1,148.70"
2010-05-31,"1,205.40"
2010-06-30,"1,232.90"
2010-07-30,"1,193.00"
2010-08-31,"1,215.80"
2010-09-30,"1,271.00"
2010-10-29,"1,342.00"
2010-11-30,"1,369.90"
2010-12-31,"1,390.60"
2011-01-31,"1,356.40"
2011-02-28,"1,372.70"
2011-03-31,"1,424.00"
2011-04-29,"1,473.80"
2011-05-31,"1,510.40"
