Date,Value,YOY (%)
2022-01-01,4072191736089.51,-4.41
2021-01-01,4259934911821.64,9.52
2020-01-01,3889668895299.56,0.04
2019-01-01,3888226035921.49,-2.17
2018-01-01,3974443355019.53,7.68
2017-01-01,3690849152517.65,6.44
2016-01-01,3467498002104.33,3.32
2015-01-01,3356235704119.75,-13.59
2014-01-01,3883920155292.26,4.05
2013-01-01,3732743446218.92,5.82
2012-01-01,3527344944139.83,-5.80
2011-01-01,3744408602683.94,10.25
2010-01-01,3396354075663.73,-0.04
2009-01-01,3397791053070.30,-8.91
2008-01-01,3730027830672.33,9.03
2007-01-01,3421229126745.14,14.34
2006-01-01,2992196713084.93,5.14
2005-01-01,2845802760850.64,1.30
2004-01-01,2809187981127.39,12.54
2003-01-01,2496128668171.56,20.67
2002-01-01,2068624129493.69,6.40
2001-01-01,1944107382550.34,0.05
2000-01-01,1943145384190.16,-11.44
1999-01-01,2194204133816.32,-2.00
1998-01-01,2238990774702.68,1.22
1997-01-01,2211989623279.95,-11.42
1996-01-01,2497244606186.64,-3.42
1995-01-01,2585792275146.72,17.27
1994-01-01,2205074123177.05,6.46
1993-01-01,2071323790370.28,-2.83
1992-01-01,2131571696931.75,14.05
1991-01-01,1868945197407.19,5.49
1990-01-01,1771671206875.68,26.64
1989-01-01,1398967436804.33,-0.16
1988-01-01,1401233225303.49,7.94
1987-01-01,1298176105549.51,24.08
1986-01-01,1046259374943.71,42.83
1985-01-01,732534887058.20,1.02
1984-01-01,725111123634.12,-5.91
1983-01-01,770684323247.80,-0.76
1982-01-01,776576439106.96,-2.99
1981-01-01,800472055387.28,-15.77
1980-01-01,950290856466.54,7.82
1979-01-01,881345176608.69,19.03
1978-01-01,740469983446.93,23.31
1977-01-01,600498238019.04,15.53
1976-01-01,519754453161.41,5.93
1975-01-01,490636517211.23,23.16
1974-01-01,445303484241.55,11.78
1973-01-01,398374021953.90,32.88
1972-01-01,299801542047.48,19.93
1971-01-01,249985055484.30,15.82
1970-01-01,215838448137.66,
