Date,Value,YOY (%),index
2023-08-01,4.61,-47.19,^BVSP
2023-07-01,3.99,-60.38,^BVSP
2023-06-01,3.16,-73.42,^BVSP
2023-05-01,3.94,-66.41,^BVSP
2023-04-01,4.18,-65.54,^BVSP
2023-03-01,4.65,-58.85,^BVSP
2023-02-01,5.6,-46.87,^BVSP
2023-01-01,5.77,-44.41,^BVSP
2022-12-01,5.79,-42.45,^BVSP
2022-11-01,5.9,-45.07,^BVSP
2022-10-01,6.47,-39.36,^BVSP
2022-09-01,7.17,-30.05,^BVSP
2022-08-01,8.73,-9.81,^BVSP
2022-07-01,10.07,12.01,^BVSP
2022-06-01,11.89,42.4,^BVSP
2022-05-01,11.73,45.53,^BVSP
2022-04-01,12.13,79.44,^BVSP
2022-03-01,11.3,85.25,^BVSP
2022-02-01,10.54,102.69,^BVSP
2022-01-01,10.38,127.63,^BVSP
2021-12-01,10.06,122.57,^BVSP
2021-11-01,10.74,149.19,^BVSP
2021-10-01,10.67,172.19,^BVSP
2021-09-01,10.25,226.43,^BVSP
2021-08-01,9.68,296.72,^BVSP
2021-07-01,8.99,289.18,^BVSP
2021-06-01,8.35,292.02,^BVSP
2021-05-01,8.06,328.72,^BVSP
2021-04-01,6.76,181.67,^BVSP
2021-03-01,6.1,84.85,^BVSP
2021-02-01,5.2,29.68,^BVSP
2021-01-01,4.56,8.83,^BVSP
2020-12-01,4.52,4.87,^BVSP
2020-11-01,4.31,31.8,^BVSP
2020-10-01,3.92,54.33,^BVSP
2020-09-01,3.14,8.65,^BVSP
2020-08-01,2.44,-28.86,^BVSP
2020-07-01,2.31,-28.26,^BVSP
2020-06-01,2.13,-36.8,^BVSP
2020-05-01,1.88,-59.66,^BVSP
2020-04-01,2.4,-51.42,^BVSP
2020-03-01,3.3,-27.95,^BVSP
2020-02-01,4.01,3.08,^BVSP
2020-01-01,4.19,10.85,^BVSP
2019-12-01,4.31,14.93,^BVSP
2019-11-01,3.27,-19.26,^BVSP
2019-10-01,2.54,-44.3,^BVSP
2019-09-01,2.89,-36.2,^BVSP
2019-08-01,3.43,-18.14,^BVSP
2019-07-01,3.22,-28.12,^BVSP
2019-06-01,3.37,-23.23,^BVSP
2019-05-01,4.66,62.94,^BVSP
2019-04-01,4.94,78.99,^BVSP
2019-03-01,4.58,70.9,^BVSP
2019-02-01,3.89,36.97,^BVSP
2019-01-01,3.78,32.17,^BVSP
2018-12-01,3.75,27.12,^BVSP
2018-11-01,4.05,44.64,^BVSP
2018-10-01,4.56,68.89,^BVSP
2018-09-01,4.53,78.35,^BVSP
2018-08-01,4.19,70.33,^BVSP
2018-07-01,4.48,65.31,^BVSP
2018-06-01,4.39,46.33,^BVSP
2018-05-01,2.86,-20.56,^BVSP
2018-04-01,2.76,-32.35,^BVSP
2018-03-01,2.68,-41.36,^BVSP
2018-02-01,2.84,-40.34,^BVSP
2018-01-01,2.86,-46.54,^BVSP
2017-12-01,2.95,-53.1,^BVSP
2017-11-01,2.8,-59.94,^BVSP
2017-10-01,2.7,-65.69,^BVSP
2017-09-01,2.54,-70.05,^BVSP
2017-08-01,2.46,-72.58,^BVSP
2017-07-01,2.71,-68.99,^BVSP
2017-06-01,3.0,-66.06,^BVSP
2017-05-01,3.6,-61.37,^BVSP
2017-04-01,4.08,-56.03,^BVSP
2017-03-01,4.57,-51.33,^BVSP
2017-02-01,4.76,-54.05,^BVSP
2017-01-01,5.35,-50.05,^BVSP
2016-12-01,6.29,-41.05,^BVSP
2016-11-01,6.99,-33.3,^BVSP
2016-10-01,7.87,-20.75,^BVSP
2016-09-01,8.48,-10.64,^BVSP
2016-08-01,8.97,-5.88,^BVSP
2016-07-01,8.74,-8.58,^BVSP
2016-06-01,8.84,-0.56,^BVSP
2016-05-01,9.32,10.04,^BVSP
2016-04-01,9.28,13.59,^BVSP
2016-03-01,9.39,15.5,^BVSP
2016-02-01,10.36,34.55,^BVSP
2016-01-01,10.71,50.0,^BVSP
2015-12-01,10.67,66.46,^BVSP
2015-11-01,10.48,59.76,^BVSP
2015-10-01,9.93,50.68,^BVSP
2015-09-01,9.49,40.59,^BVSP
2015-08-01,9.53,46.39,^BVSP
2015-07-01,9.56,47.08,^BVSP
2015-06-01,8.89,36.35,^BVSP
2015-05-01,8.47,32.97,^BVSP
2015-04-01,8.17,30.1,^BVSP
2015-03-01,8.13,32.2,^BVSP
2015-02-01,7.7,35.56,^BVSP
2015-01-01,7.14,27.73,^BVSP
2014-12-01,6.41,8.46,^BVSP
2014-11-01,6.56,13.69,^BVSP
2014-10-01,6.59,12.84,^BVSP
2014-09-01,6.75,15.19,^BVSP
2014-08-01,6.51,6.9,^BVSP
2014-07-01,6.5,3.67,^BVSP
2014-06-01,6.52,-2.69,^BVSP
2014-05-01,6.37,-2.0,^BVSP
2014-04-01,6.28,-3.24,^BVSP
2014-03-01,6.15,-6.68,^BVSP
2014-02-01,5.68,-9.98,^BVSP
2014-01-01,5.59,-9.11,^BVSP
2013-12-01,5.91,1.2,^BVSP
2013-11-01,5.77,4.34,^BVSP
2013-10-01,5.84,7.16,^BVSP
2013-09-01,5.86,10.98,^BVSP
2013-08-01,6.09,16.22,^BVSP
2013-07-01,6.27,20.58,^BVSP
2013-06-01,6.7,36.18,^BVSP
2013-05-01,6.5,30.26,^BVSP
2013-04-01,6.49,27.25,^BVSP
2013-03-01,6.59,25.76,^BVSP
2013-02-01,6.31,7.86,^BVSP
2013-01-01,6.15,-1.13,^BVSP
2012-12-01,5.84,-10.15,^BVSP
2012-11-01,5.53,-16.72,^BVSP
2012-10-01,5.45,-21.81,^BVSP
2012-09-01,5.28,-27.77,^BVSP
2012-08-01,5.24,-27.52,^BVSP
2012-07-01,5.2,-24.31,^BVSP
2012-06-01,4.92,-26.68,^BVSP
2012-05-01,4.99,-23.82,^BVSP
2012-04-01,5.1,-21.66,^BVSP
2012-03-01,5.24,-16.83,^BVSP
2012-02-01,5.85,-2.66,^BVSP
2012-01-01,6.22,3.84,^BVSP
2011-12-01,6.5,9.98,^BVSP
2011-11-01,6.64,17.94,^BVSP
2011-10-01,6.97,34.04,^BVSP
2011-09-01,7.31,55.53,^BVSP
2011-08-01,7.23,61.02,^BVSP
2011-07-01,6.87,49.35,^BVSP
2011-06-01,6.71,38.64,^BVSP
2011-05-01,6.55,25.48,^BVSP
2011-04-01,6.51,23.76,^BVSP
2011-03-01,6.3,21.86,^BVSP
2011-02-01,6.01,24.43,^BVSP
2011-01-01,5.99,30.5,^BVSP
2010-12-01,5.91,37.12,^BVSP
2010-11-01,5.63,33.41,^BVSP
2010-10-01,5.2,24.7,^BVSP
2010-09-01,4.7,8.29,^BVSP
2010-08-01,4.49,2.98,^BVSP
2010-07-01,4.6,2.22,^BVSP
2010-06-01,4.84,0.83,^BVSP
2010-05-01,5.22,0.38,^BVSP
2010-04-01,5.26,-4.88,^BVSP
2010-03-01,5.17,-7.84,^BVSP
2010-02-01,4.83,-18.14,^BVSP
2010-01-01,4.59,-21.4,^BVSP
2009-12-01,4.31,-26.95,^BVSP
2009-11-01,4.22,-33.96,^BVSP
2009-10-01,4.17,-34.95,^BVSP
2009-09-01,4.34,-30.56,^BVSP
2009-08-01,4.36,-29.34,^BVSP
2009-07-01,4.5,-29.36,^BVSP
2009-06-01,4.8,-20.79,^BVSP
2009-05-01,5.2,-6.81,^BVSP
2009-04-01,5.53,9.72,^BVSP
2009-03-01,5.61,18.6,^BVSP
2009-02-01,5.9,27.98,^BVSP
2009-01-01,5.84,28.07,^BVSP
2008-12-01,5.9,32.29,^BVSP
2008-11-01,6.39,52.51,^BVSP
2008-10-01,6.41,55.58,^BVSP
2008-09-01,6.25,50.6,^BVSP
2008-08-01,6.17,47.61,^BVSP
2008-07-01,6.37,70.32,^BVSP
2008-06-01,6.06,64.23,^BVSP
2008-05-01,5.58,75.47,^BVSP
2008-04-01,5.04,68.0,^BVSP
2008-03-01,4.73,59.8,^BVSP
2008-02-01,4.61,52.65,^BVSP
2008-01-01,4.56,52.51,^BVSP
2007-12-01,4.46,42.04,^BVSP
2007-11-01,4.19,38.74,^BVSP
2007-10-01,4.12,26.38,^BVSP
2007-09-01,4.15,12.16,^BVSP
2007-08-01,4.18,8.85,^BVSP
2007-07-01,3.74,-5.79,^BVSP
2007-06-01,3.69,-8.44,^BVSP
2007-05-01,3.18,-24.82,^BVSP
2007-04-01,3.0,-35.21,^BVSP
2007-03-01,2.96,-44.36,^BVSP
2007-02-01,3.02,-45.19,^BVSP
2007-01-01,2.99,-47.54,^BVSP
2006-12-01,3.14,-44.82,^BVSP
2006-11-01,3.02,-51.45,^BVSP
2006-10-01,3.26,-48.74,^BVSP
2006-09-01,3.7,-38.74,^BVSP
2006-08-01,3.84,-36.21,^BVSP
2006-07-01,3.97,-39.57,^BVSP
2006-06-01,4.03,-44.57,^BVSP
2006-05-01,4.23,-47.45,^BVSP
2006-04-01,4.63,-42.63,^BVSP
2006-03-01,5.32,-29.44,^BVSP
2006-02-01,5.51,-25.44,^BVSP
2006-01-01,5.7,-23.08,^BVSP
2005-12-01,5.69,-25.13,^BVSP
2005-11-01,6.22,-14.09,^BVSP
2005-10-01,6.36,-7.29,^BVSP
2005-09-01,6.04,-9.85,^BVSP
2005-08-01,6.02,-16.16,^BVSP
2005-07-01,6.57,-3.52,^BVSP
2005-06-01,7.27,19.97,^BVSP
2005-05-01,8.05,56.31,^BVSP
2005-04-01,8.07,53.42,^BVSP
