Date,Value,YOY (%),index
2023-08-01,6.14,-11.78,^GDAXI
2023-07-01,6.17,-7.5,^GDAXI
2023-06-01,6.38,-4.92,^GDAXI
2023-05-01,6.1,-13.11,^GDAXI
2023-04-01,7.17,14.72,^GDAXI
2023-03-01,7.4,23.33,^GDAXI
2023-02-01,8.68,95.94,^GDAXI
2023-01-01,8.65,100.23,^GDAXI
2022-12-01,8.12,52.92,^GDAXI
2022-11-01,8.8,67.94,^GDAXI
2022-10-01,8.82,94.7,^GDAXI
2022-09-01,8.57,111.08,^GDAXI
2022-08-01,6.96,79.84,^GDAXI
2022-07-01,6.67,76.92,^GDAXI
2022-06-01,6.71,185.53,^GDAXI
2022-05-01,7.02,175.29,^GDAXI
2022-04-01,6.25,215.66,^GDAXI
2022-03-01,6.0,252.94,^GDAXI
2022-02-01,4.43,233.08,^GDAXI
2022-01-01,4.32,311.43,^GDAXI
2021-12-01,5.31,1996.43,^GDAXI
2021-11-01,5.24,1971.43,^GDAXI
2021-10-01,4.53,2484.21,^GDAXI
2021-09-01,4.06,2236.84,^GDAXI
2021-08-01,3.87,4400.0,^GDAXI
2021-07-01,3.77,4288.89,^GDAXI
2021-06-01,2.35,176.47,^GDAXI
2021-05-01,2.55,347.37,^GDAXI
2021-04-01,1.98,130.23,^GDAXI
2021-03-01,1.7,18.06,^GDAXI
2021-02-01,1.33,-23.12,^GDAXI
2021-01-01,1.05,-39.66,^GDAXI
2020-12-01,-0.28,-118.18,^GDAXI
2020-11-01,-0.28,-126.42,^GDAXI
2020-10-01,-0.19,-116.67,^GDAXI
2020-09-01,-0.19,-115.32,^GDAXI
2020-07-01,-0.09,-105.23,^GDAXI
2020-06-01,0.85,-47.85,^GDAXI
2020-05-01,0.57,-60.42,^GDAXI
2020-04-01,0.86,-57.84,^GDAXI
2020-03-01,1.44,14.29,^GDAXI
2020-02-01,1.73,17.69,^GDAXI
2020-01-01,1.74,27.01,^GDAXI
2019-12-01,1.54,-1.28,^GDAXI
2019-11-01,1.06,-48.54,^GDAXI
2019-10-01,1.14,-51.28,^GDAXI
2019-09-01,1.24,-36.41,^GDAXI
2019-08-01,1.44,-22.16,^GDAXI
2019-07-01,1.72,-7.03,^GDAXI
2019-06-01,1.63,-12.37,^GDAXI
2019-05-01,1.44,-30.1,^GDAXI
2019-04-01,2.04,59.38,^GDAXI
2019-03-01,1.26,-14.86,^GDAXI
2019-02-01,1.47,34.86,^GDAXI
2019-01-01,1.37,-1.44,^GDAXI
2018-12-01,1.56,13.04,^GDAXI
2018-11-01,2.06,29.56,^GDAXI
2018-10-01,2.34,82.81,^GDAXI
2018-09-01,1.95,16.07,^GDAXI
2018-08-01,1.85,17.09,^GDAXI
2018-07-01,1.85,34.06,^GDAXI
2018-06-01,1.86,33.81,^GDAXI
2018-05-01,2.06,73.11,^GDAXI
2018-04-01,1.28,-24.71,^GDAXI
2018-03-01,1.48,5.71,^GDAXI
2018-02-01,1.09,-42.93,^GDAXI
2018-01-01,1.39,-14.2,^GDAXI
2017-12-01,1.38,-8.0,^GDAXI
