Date,Value,YOY (%),index
2023-03-01,1.65,-6.78,^HSI
2023-02-01,1.75,4.17,^HSI
2023-01-01,2.44,105.04,^HSI
2022-12-01,1.96,-18.33,^HSI
2022-11-01,1.76,-6.88,^HSI
2022-10-01,1.76,-2.22,^HSI
2022-09-01,4.33,202.8,^HSI
2022-08-01,1.87,16.88,^HSI
2022-07-01,1.87,-50.66,^HSI
2022-06-01,1.88,168.57,^HSI
2022-05-01,1.28,43.82,^HSI
2022-04-01,1.28,62.03,^HSI
2022-03-01,1.77,200.0,^HSI
2022-02-01,1.68,320.0,^HSI
2022-01-01,1.19,-54.92,^HSI
2021-12-01,2.4,369.66,^HSI
2021-11-01,1.89,572.5,^HSI
2021-10-01,1.8,550.0,^HSI
2021-09-01,1.43,157.43,^HSI
2021-08-01,1.6,500.0,^HSI
2021-07-01,3.79,257.92,^HSI
2021-06-01,0.7,-22.22,^HSI
2021-05-01,0.89,-48.26,^HSI
2021-04-01,0.79,-58.85,^HSI
2021-03-01,0.59,-76.77,^HSI
2021-02-01,0.4,-82.83,^HSI
2021-01-01,2.64,266.67,^HSI
2020-12-01,-0.89,-131.12,^HSI
2020-11-01,-0.4,-112.58,^HSI
2020-10-01,-0.4,-112.16,^HSI
2020-09-01,-2.49,-178.06,^HSI
2020-08-01,-0.4,-111.76,^HSI
2020-07-01,-2.4,-172.73,^HSI
2020-06-01,0.9,-71.96,^HSI
2020-05-01,1.72,-36.3,^HSI
2020-04-01,1.92,-34.02,^HSI
2020-03-01,2.54,22.71,^HSI
2020-02-01,2.33,12.56,^HSI
2020-01-01,0.72,-70.12,^HSI
2019-12-01,2.86,13.94,^HSI
2019-11-01,3.18,26.19,^HSI
2019-10-01,3.29,25.1,^HSI
2019-09-01,3.19,16.0,^HSI
2019-08-01,3.4,46.55,^HSI
2019-07-01,3.3,42.24,^HSI
2019-06-01,3.21,31.56,^HSI
2019-05-01,2.7,27.36,^HSI
2019-04-01,2.91,53.16,^HSI
2019-03-01,2.07,-18.82,^HSI
2019-02-01,2.07,-33.01,^HSI
2019-01-01,2.41,41.76,^HSI
2018-12-01,2.51,47.65,^HSI
2018-11-01,2.52,57.5,^HSI
2018-10-01,2.63,63.35,^HSI
2018-09-01,2.75,97.84,^HSI
2018-08-01,2.32,19.59,^HSI
2018-07-01,2.32,19.59,^HSI
2018-06-01,2.44,25.13,^HSI
2018-05-01,2.12,3.41,^HSI
2018-04-01,1.9,-7.32,^HSI
2018-03-01,2.55,381.13,^HSI
2018-02-01,3.09,2909.09,^HSI
2018-01-01,1.7,31.78,^HSI
2017-12-01,1.7,42.86,^HSI
2017-11-01,1.6,23.08,^HSI
2017-10-01,1.61,35.29,^HSI
2017-09-01,1.39,-47.35,^HSI
2017-08-01,1.94,-55.71,^HSI
2017-07-01,1.94,-16.02,^HSI
2017-06-01,1.95,-20.08,^HSI
2017-05-01,2.05,-19.61,^HSI
2017-04-01,2.05,-22.93,^HSI
2017-03-01,0.53,-81.47,^HSI
2017-02-01,-0.11,-103.72,^HSI
2017-01-01,1.29,-49.21,^HSI
2016-12-01,1.19,-48.71,^HSI
2016-11-01,1.3,-41.18,^HSI
2016-10-01,1.19,-46.15,^HSI
2016-09-01,2.64,30.69,^HSI
2016-08-01,4.38,45.51,^HSI
2016-07-01,2.31,-11.15,^HSI
2016-06-01,2.44,-17.57,^HSI
2016-05-01,2.55,-14.14,^HSI
2016-04-01,2.66,-6.67,^HSI
2016-03-01,2.86,-34.4,^HSI
2016-02-01,2.96,-33.78,^HSI
2016-01-01,2.54,-36.97,^HSI
2015-12-01,2.32,-52.26,^HSI
2015-11-01,2.21,-56.75,^HSI
2015-10-01,2.21,-56.84,^HSI
2015-09-01,2.02,-69.3,^HSI
2015-08-01,3.01,-24.18,^HSI
2015-07-01,2.6,-35.0,^HSI
2015-06-01,2.96,-19.13,^HSI
2015-05-01,2.97,-19.07,^HSI
2015-04-01,2.85,-22.13,^HSI
2015-03-01,4.36,10.66,^HSI
2015-02-01,4.47,13.74,^HSI
2015-01-01,4.03,-11.82,^HSI
2014-12-01,4.86,11.98,^HSI
2014-11-01,5.11,17.2,^HSI
