Date,Value,YOY (%),index
2022-04-01,2.42,320.0,^N225
2022-03-01,1.2,400.0,^N225
2022-02-01,0.9,280.0,^N225
2022-01-01,0.5,171.43,^N225
2021-12-01,0.81,168.07,^N225
2021-11-01,0.6,160.0,^N225
2021-10-01,0.1,116.67,^N225
2021-09-01,0.2,200.0,^N225
2021-08-01,-0.4,-500.0,^N225
2021-07-01,-0.3,-250.0,^N225
2021-06-01,-0.4,-500.0,^N225
2021-05-01,-0.7,-800.0,^N225
2021-04-01,-1.1,-650.0,^N225
2021-03-01,-0.4,-166.67,^N225
2021-02-01,-0.5,-183.33,^N225
2021-01-01,-0.7,-187.5,^N225
2020-12-01,-1.19,-248.75,^N225
2020-11-01,-1.0,-300.0,^N225
2020-10-01,-0.6,-400.0,^N225
2020-09-01,-0.2,-200.0,^N225
2020-08-01,0.1,-50.0,^N225
2020-07-01,0.2,-66.67,^N225
2020-06-01,0.1,-83.33,^N225
2020-05-01,0.1,-85.71,^N225
2020-04-01,0.2,-78.02,^N225
2020-03-01,0.6,20.0,^N225
2020-02-01,0.6,200.0,^N225
2020-01-01,0.8,300.0,^N225
2019-12-01,0.8,166.67,^N225
2019-11-01,0.5,-45.05,^N225
2019-10-01,0.2,-85.92,^N225
2019-09-01,0.2,-81.98,^N225
2019-08-01,0.2,-84.85,^N225
2019-07-01,0.6,-34.78,^N225
2019-06-01,0.6,-15.49,^N225
2019-05-01,0.7,-1.41,^N225
2019-04-01,0.91,49.18,^N225
2019-03-01,0.5,-55.36,^N225
2019-02-01,0.2,-86.01,^N225
2019-01-01,0.2,-84.85,^N225
2018-12-01,0.3,-70.59,^N225
2018-11-01,0.91,78.43,^N225
2018-10-01,1.42,610.0,^N225
2018-09-01,1.11,35.37,^N225
2018-08-01,1.32,116.39,^N225
2018-07-01,0.92,124.39,^N225
2018-06-01,0.71,73.17,^N225
2018-05-01,0.71,73.17,^N225
2018-04-01,0.61,48.78,^N225
2018-03-01,1.12,460.0,^N225
2018-02-01,1.43,361.29,^N225
2018-01-01,1.32,158.82,^N225
