Date,Value,YOY (%),index
2023-09-01,1.65,-49.23,^SSMI
2023-08-01,1.55,-55.07,^SSMI
2023-07-01,1.61,-53.06,^SSMI
2023-06-01,1.71,-49.41,^SSMI
2023-05-01,2.16,-26.53,^SSMI
2023-04-01,2.57,0.78,^SSMI
2023-03-01,2.95,23.43,^SSMI
2023-02-01,3.37,56.74,^SSMI
2023-01-01,3.28,98.79,^SSMI
2022-12-01,2.84,85.62,^SSMI
2022-11-01,2.96,93.46,^SSMI
2022-10-01,3.0,141.94,^SSMI
2022-09-01,3.25,245.74,^SSMI
2022-08-01,3.45,292.05,^SSMI
2022-07-01,3.43,404.41,^SSMI
2022-06-01,3.38,463.33,^SSMI
2022-05-01,2.94,434.55,^SSMI
2022-04-01,2.55,672.73,^SSMI
2022-03-01,2.39,1056.0,^SSMI
2022-02-01,2.15,530.0,^SSMI
2022-01-01,1.65,405.56,^SSMI
2021-12-01,1.53,288.89,^SSMI
2021-11-01,1.53,325.0,^SSMI
2021-10-01,1.24,317.54,^SSMI
2021-09-01,0.94,217.5,^SSMI
2021-08-01,0.88,201.15,^SSMI
2021-07-01,0.68,173.91,^SSMI
2021-06-01,0.6,147.24,^SSMI
2021-05-01,0.55,141.67,^SSMI
2021-04-01,0.33,131.13,^SSMI
2021-03-01,-0.25,51.92,^SSMI
2021-02-01,-0.5,-733.33,^SSMI
2021-01-01,-0.54,-370.0,^SSMI
2020-12-01,-0.81,-606.25,^SSMI
2020-11-01,-0.68,-423.08,^SSMI
2020-10-01,-0.57,-128.0,^SSMI
2020-09-01,-0.8,-633.33,^SSMI
2020-08-01,-0.87,-371.87,^SSMI
2020-07-01,-0.92,-396.77,^SSMI
2020-06-01,-1.27,-311.67,^SSMI
2020-05-01,-1.32,-309.52,^SSMI
2020-04-01,-1.06,-249.3,^SSMI
2020-03-01,-0.52,-171.23,^SSMI
2020-02-01,-0.06,-110.34,^SSMI
2020-01-01,0.2,-64.29,^SSMI
2019-12-01,0.16,-76.81,^SSMI
2019-11-01,-0.13,-114.13,^SSMI
2019-10-01,-0.25,-122.52,^SSMI
2019-09-01,0.15,-84.85,^SSMI
2019-08-01,0.32,-72.88,^SSMI
2019-07-01,0.31,-74.8,^SSMI
2019-06-01,0.6,-47.83,^SSMI
2019-05-01,0.63,-37.0,^SSMI
2019-04-01,0.71,-11.25,^SSMI
2019-03-01,0.73,-8.75,^SSMI
2019-02-01,0.58,-7.94,^SSMI
2019-01-01,0.56,-24.32,^SSMI
2018-12-01,0.69,-17.86,^SSMI
2018-11-01,0.92,16.46,^SSMI
2018-10-01,1.11,68.18,^SSMI
2018-09-01,0.99,52.31,^SSMI
2018-08-01,1.18,156.52,^SSMI
2018-07-01,1.23,272.73,^SSMI
2018-06-01,1.15,475.0,^SSMI
2018-05-01,1.0,108.33,^SSMI
2018-04-01,0.8,81.82,^SSMI
2018-03-01,0.8,40.35,^SSMI
2018-02-01,0.63,-3.08,^SSMI
2018-01-01,0.74,111.43,^SSMI
2017-12-01,0.84,8500.0,^SSMI
2017-11-01,0.79,332.35,^SSMI
