Date,Value,YOY (%)
2022-04-01,2.42,320.00
2022-03-01,1.20,400.00
2022-02-01,0.90,280.00
2022-01-01,0.50,171.43
2021-12-01,0.81,168.07
2021-11-01,0.60,160.00
2021-10-01,0.10,116.67
2021-09-01,0.20,200.00
2021-08-01,-0.40,-500.00
2021-07-01,-0.30,-250.00
2021-06-01,-0.40,-500.00
2021-05-01,-0.70,-800.00
2021-04-01,-1.10,-650.00
2021-03-01,-0.40,-166.67
2021-02-01,-0.50,-183.33
2021-01-01,-0.70,-187.50
2020-12-01,-1.19,-248.75
2020-11-01,-1.00,-300.00
2020-10-01,-0.60,-400.00
2020-09-01,-0.20,-200.00
2020-08-01,0.10,-50.00
2020-07-01,0.20,-66.67
2020-06-01,0.10,-83.33
2020-05-01,0.10,-85.71
2020-04-01,0.20,-78.02
2020-03-01,0.60,20.00
2020-02-01,0.60,200.00
2020-01-01,0.80,300.00
2019-12-01,0.80,166.67
2019-11-01,0.50,-45.05
2019-10-01,0.20,-85.92
2019-09-01,0.20,-81.98
2019-08-01,0.20,-84.85
2019-07-01,0.60,-34.78
2019-06-01,0.60,-15.49
2019-05-01,0.70,-1.41
2019-04-01,0.91,49.18
2019-03-01,0.50,-55.36
2019-02-01,0.20,-86.01
2019-01-01,0.20,-84.85
2018-12-01,0.30,-70.59
2018-11-01,0.91,78.43
2018-10-01,1.42,610.00
2018-09-01,1.11,35.37
2018-08-01,1.32,116.39
2018-07-01,0.92,124.39
2018-06-01,0.71,73.17
2018-05-01,0.71,73.17
2018-04-01,0.61,48.78
2018-03-01,1.12,460.00
2018-02-01,1.43,361.29
2018-01-01,1.32,158.82
2017-12-01,1.02,229.03
2017-11-01,0.51,0.00
2017-10-01,0.20,100.00
2017-09-01,0.82,260.78
2017-08-01,0.61,219.61
2017-07-01,0.41,200.00
2017-06-01,0.41,236.67
2017-05-01,0.41,180.39
2017-04-01,0.41,236.67
2017-03-01,0.20,0.00
2017-02-01,0.31,55.00
2017-01-01,0.51,610.00
2016-12-01,0.31,55.00
2016-11-01,0.51,155.00
2016-10-01,0.10,-67.74
2016-09-01,-0.51,-610.00
2016-08-01,-0.51,-610.00
2016-07-01,-0.41,-305.00
2016-06-01,-0.30,-173.17
2016-05-01,-0.51,-183.61
2016-04-01,-0.30,-141.67
2016-02-01,0.20,-90.91
2016-01-01,-0.10,-104.15
2015-12-01,0.20,-91.70
2015-11-01,0.20,-92.03
2015-10-01,0.31,-89.05
2015-08-01,0.10,-97.02
