Date,Value,YOY (%)
2023-01-01,7.16,44.94
2022-01-01,4.94,-8.52
2021-01-01,5.40,-8.32
2020-01-01,5.89,-15.13
2019-01-01,6.94,17.83
2018-01-01,5.89,-11.96
2017-01-01,6.69,-9.10
2016-01-01,7.36,8.24
2015-01-01,6.80,15.25
2014-01-01,5.90,-13.87
2013-01-01,6.85,-2.84
2012-01-01,7.05,22.61
2011-01-01,5.75,6.48
2010-01-01,5.40,-20.59
2009-01-01,6.80,16.44
2008-01-01,5.84,-4.42
2007-01-01,6.11,1.83
2006-01-01,6.00,-3.07
2005-01-01,6.19,0.32
2004-01-01,6.17,-3.44
2003-01-01,6.39,4.58
2002-01-01,6.11,0.00
2001-01-01,6.11,
