Date,Value,YOY (%)
2023-08-01,7.19,-1.24
2023-07-01,7.11,-3.92
2023-06-01,7.05,-6.37
2023-05-01,7.01,-5.14
2023-04-01,7.18,0.98
2023-03-01,7.36,7.92
2023-02-01,7.34,8.74
2023-01-01,7.39,11.13
2022-12-01,7.29,13.20
2022-11-01,7.36,15.91
2022-10-01,7.46,17.30
2022-09-01,7.28,17.61
2022-08-01,7.28,15.92
2022-07-01,7.40,19.16
2022-06-01,7.53,20.10
2022-05-01,7.39,18.62
2022-04-01,7.11,13.22
2022-03-01,6.82,7.40
2022-02-01,6.75,8.87
2022-01-01,6.65,11.95
2021-12-01,6.44,9.34
2021-11-01,6.35,7.81
2021-10-01,6.36,6.89
2021-09-01,6.19,2.65
2021-08-01,6.28,4.49
2021-07-01,6.21,6.88
2021-06-01,6.27,7.00
2021-05-01,6.23,5.24
2021-04-01,6.28,-5.99
2021-03-01,6.35,-0.31
2021-02-01,6.20,-6.91
2021-01-01,5.94,-12.90
2020-12-01,5.89,-14.01
2020-11-01,5.89,-11.30
2020-10-01,5.95,-9.02
2020-09-01,6.03,-11.58
2020-08-01,6.01,-9.21
2020-07-01,5.81,-11.97
2020-06-01,5.86,-15.93
2020-05-01,5.92,-19.24
2020-04-01,6.68,-9.97
2020-03-01,6.37,-13.33
2020-02-01,6.66,-10.36
2020-01-01,6.82,-7.21
2019-12-01,6.85,-7.06
2019-11-01,6.64,-14.65
2019-10-01,6.54,-17.53
2019-09-01,6.82,-14.96
2019-08-01,6.62,-15.45
2019-07-01,6.60,-15.38
2019-06-01,6.97,-12.22
2019-05-01,7.33,-6.62
2019-04-01,7.42,-1.72
2019-03-01,7.35,-3.42
2019-02-01,7.43,-1.85
2019-01-01,7.35,1.80
2018-12-01,7.37,0.27
2018-11-01,7.78,8.51
2018-10-01,7.93,14.10
2018-09-01,8.02,19.35
2018-08-01,7.83,18.64
2018-07-01,7.80,19.08
2018-06-01,7.94,20.67
2018-05-01,7.85,10.25
2018-04-01,7.55,5.30
2018-03-01,7.61,6.88
2018-02-01,7.57,8.45
2018-01-01,7.22,6.33
2017-12-01,7.35,12.56
2017-11-01,7.17,8.47
2017-10-01,6.95,2.51
2017-09-01,6.72,-2.04
2017-08-01,6.60,-7.56
2017-07-01,6.55,-10.88
2017-06-01,6.58,-12.27
2017-05-01,7.12,-2.20
2017-04-01,7.17,-3.63
2017-03-01,7.12,-6.19
2017-02-01,6.98,-9.59
2017-01-01,6.79,-11.47
2016-12-01,6.53,-16.17
2016-11-01,6.61,-14.71
2016-10-01,6.78,-10.79
2016-09-01,6.86,-11.25
2016-08-01,7.14,-8.34
2016-07-01,7.35,-6.01
2016-06-01,7.50,-3.97
2016-05-01,7.28,-7.26
2016-04-01,7.44,-5.10
2016-03-01,7.59,-2.94
2016-02-01,7.72,-0.13
2016-01-01,7.67,-1.54
2015-12-01,7.79,-2.14
2015-11-01,7.75,-5.37
2015-10-01,7.60,-9.52
2015-09-01,7.73,-8.95
2015-08-01,7.79,-9.00
2015-07-01,7.82,-9.70
2015-06-01,7.81,-9.50
2015-05-01,7.85,-10.29
2015-04-01,7.84,-12.79
2015-03-01,7.82,-11.54
2015-02-01,7.73,-12.26
2015-01-01,7.79,-11.07
2014-12-01,7.96,-10.36
2014-11-01,8.19,-7.56
2014-10-01,8.40,-1.98
2014-09-01,8.49,-1.28
2014-08-01,8.56,2.76
2014-07-01,8.66,12.03
2014-06-01,8.63,16.62
2014-05-01,8.75,16.67
2014-04-01,8.99,14.81
2014-03-01,8.84,11.76
2014-02-01,8.81,12.37
2014-01-01,8.76,11.31
2013-12-01,8.88,9.09
2013-11-01,8.86,8.05
2013-10-01,8.57,5.15
2013-09-01,8.60,5.13
2013-08-01,8.33,1.59
2013-07-01,7.73,-4.57
2013-06-01,7.40,-9.76
2013-05-01,7.50,-12.49
2013-04-01,7.83,-8.85
2013-03-01,7.91,-5.50
2013-02-01,7.84,-4.27
2013-01-01,7.87,-4.49
2012-12-01,8.14,-4.91
2012-11-01,8.20,
2012-10-01,8.15,
2012-09-01,8.18,
2012-08-01,8.20,
2012-07-01,8.10,
2012-06-01,8.20,
2012-05-01,8.57,
2012-04-01,8.59,
2012-03-01,8.37,
2012-02-01,8.19,
2012-01-01,8.24,
2011-12-01,8.56,
