Date,Value,YOY (%),index
2023-08-01,2.66,-2.56,000001.SS
2023-07-01,2.64,-6.71,000001.SS
2023-06-01,2.68,-2.9,000001.SS
2023-05-01,2.78,-2.11,000001.SS
2023-04-01,2.85,2.89,000001.SS
2023-03-01,2.9,3.57,000001.SS
2023-02-01,2.91,7.78,000001.SS
2023-01-01,2.84,2.16,000001.SS
2022-12-01,2.86,0.7,000001.SS
2022-11-01,2.66,-9.52,000001.SS
2022-10-01,2.76,-4.17,000001.SS
2022-09-01,2.61,-7.45,000001.SS
2022-08-01,2.73,-3.87,000001.SS
2022-07-01,2.83,-8.41,000001.SS
2022-06-01,2.76,-9.21,000001.SS
2022-05-01,2.84,-10.13,000001.SS
2022-04-01,2.77,-13.44,000001.SS
2022-03-01,2.8,-13.85,000001.SS
2022-02-01,2.7,-14.83,000001.SS
2022-01-01,2.78,-11.46,000001.SS
2021-12-01,2.84,-13.15,000001.SS
2021-11-01,2.94,-7.55,000001.SS
2021-10-01,2.88,-8.57,000001.SS
2021-09-01,2.82,-7.54,000001.SS
2021-08-01,2.84,-4.38,000001.SS
2021-07-01,3.09,8.42,000001.SS
2021-06-01,3.04,11.36,000001.SS
2021-05-01,3.16,24.41,000001.SS
2021-04-01,3.2,25.0,000001.SS
2021-03-01,3.25,18.61,000001.SS
2021-02-01,3.17,6.02,000001.SS
2021-01-01,3.14,0.0,000001.SS
2020-12-01,3.27,3.15,000001.SS
2020-11-01,3.18,-3.05,000001.SS
2020-10-01,3.15,0.32,000001.SS
2020-09-01,3.05,-0.33,000001.SS
2020-08-01,2.97,-5.71,000001.SS
2020-07-01,2.85,-11.76,000001.SS
2020-06-01,2.73,-16.77,000001.SS
2020-05-01,2.54,-25.07,000001.SS
2020-04-01,2.56,-18.21,000001.SS
2020-03-01,2.74,-14.11,000001.SS
2020-02-01,2.99,-3.55,000001.SS
2020-01-01,3.14,-2.79,000001.SS
2019-12-01,3.17,-5.65,000001.SS
2019-11-01,3.28,-6.02,000001.SS
2019-10-01,3.14,-13.02,000001.SS
2019-09-01,3.06,-14.53,000001.SS
2019-08-01,3.15,-8.96,000001.SS
2019-07-01,3.23,-7.18,000001.SS
2019-06-01,3.28,-9.39,000001.SS
2019-05-01,3.39,-6.35,000001.SS
2019-04-01,3.13,-16.31,000001.SS
2019-03-01,3.19,-16.49,000001.SS
2019-02-01,3.1,-20.72,000001.SS
2019-01-01,3.23,-16.75,000001.SS
2018-12-01,3.36,-13.62,000001.SS
2018-11-01,3.49,-9.59,000001.SS
2018-10-01,3.61,0.0,000001.SS
2018-09-01,3.58,-1.65,000001.SS
2018-08-01,3.46,-4.95,000001.SS
2018-07-01,3.48,-2.52,000001.SS
2018-06-01,3.62,0.0,000001.SS
2018-05-01,3.62,4.32,000001.SS
2018-04-01,3.74,14.37,000001.SS
2018-03-01,3.82,14.71,000001.SS
2018-02-01,3.91,16.72,000001.SS
2018-01-01,3.88,28.9,000001.SS
2017-12-01,3.89,30.1,000001.SS
2017-11-01,3.86,40.88,000001.SS
2017-10-01,3.61,32.23,000001.SS
2017-09-01,3.64,32.36,000001.SS
2017-08-01,3.64,30.94,000001.SS
2017-07-01,3.57,27.5,000001.SS
2017-06-01,3.62,20.67,000001.SS
2017-05-01,3.47,20.07,000001.SS
2017-04-01,3.27,15.14,000001.SS
2017-03-01,3.33,16.84,000001.SS
2017-02-01,3.35,17.96,000001.SS
2017-01-01,3.01,6.74,000001.SS
2016-12-01,2.99,-1.97,000001.SS
2016-11-01,2.74,-10.46,000001.SS
2016-10-01,2.73,-15.74,000001.SS
2016-09-01,2.75,-16.67,000001.SS
2016-08-01,2.78,-20.11,000001.SS
2016-07-01,2.8,-22.44,000001.SS
2016-06-01,3.0,-17.58,000001.SS
2016-05-01,2.89,-13.73,000001.SS
2016-04-01,2.84,-21.11,000001.SS
2016-03-01,2.85,-15.18,000001.SS
2016-02-01,2.84,-18.86,000001.SS
2016-01-01,2.82,-22.1,000001.SS
2015-12-01,3.05,-13.11,000001.SS
2015-11-01,3.06,-18.62,000001.SS
2015-10-01,3.24,-18.59,000001.SS
2015-09-01,3.3,-22.17,000001.SS
2015-08-01,3.48,-18.31,000001.SS
2015-07-01,3.61,-11.52,000001.SS
2015-06-01,3.64,-10.57,000001.SS
2015-05-01,3.35,-22.09,000001.SS
2015-04-01,3.6,-20.0,000001.SS
2015-03-01,3.36,-24.15,000001.SS
2015-02-01,3.5,-22.22,000001.SS
2015-01-01,3.62,-20.44,000001.SS
2014-12-01,3.51,-19.5,000001.SS
2014-11-01,3.76,-9.62,000001.SS
2014-10-01,3.98,-0.5,000001.SS
2014-09-01,4.24,4.95,000001.SS
2014-08-01,4.26,14.82,000001.SS
