Date,Value,YOY (%),index
2023-09-01,2.66,47.78,^GDAXI
2023-08-01,2.55,147.57,^GDAXI
2023-07-01,2.46,127.78,^GDAXI
2023-06-01,2.38,64.14,^GDAXI
2023-05-01,2.34,146.32,^GDAXI
2023-04-01,2.36,214.67,^GDAXI
2023-03-01,2.38,750.0,^GDAXI
2023-02-01,2.37,1480.0,^GDAXI
2023-01-01,2.19,2090.91,^GDAXI
2022-12-01,2.09,650.0,^GDAXI
2022-11-01,2.07,767.74,^GDAXI
2022-10-01,2.19,1195.0,^GDAXI
2022-09-01,1.8,600.0,^GDAXI
2022-08-01,1.03,290.74,^GDAXI
2022-07-01,1.08,340.0,^GDAXI
2022-06-01,1.45,600.0,^GDAXI
2022-05-01,0.95,531.82,^GDAXI
2022-04-01,0.75,327.27,^GDAXI
2022-03-01,0.28,177.78,^GDAXI
2022-02-01,0.15,133.33,^GDAXI
2022-01-01,-0.11,81.03,^GDAXI
2021-12-01,-0.38,38.71,^GDAXI
2021-11-01,-0.31,49.18,^GDAXI
2021-10-01,-0.2,67.21,^GDAXI
2021-09-01,-0.36,30.77,^GDAXI
2021-08-01,-0.54,-3.85,^GDAXI
2021-07-01,-0.45,13.46,^GDAXI
2021-06-01,-0.29,32.56,^GDAXI
2021-05-01,-0.22,57.69,^GDAXI
2021-04-01,-0.33,26.67,^GDAXI
2021-03-01,-0.36,33.33,^GDAXI
2021-02-01,-0.45,4.26,^GDAXI
2021-01-01,-0.58,-87.1,^GDAXI
2020-12-01,-0.62,-106.67,^GDAXI
2020-11-01,-0.61,-74.29,^GDAXI
2020-10-01,-0.61,-29.79,^GDAXI
2020-09-01,-0.52,11.86,^GDAXI
2020-08-01,-0.52,20.0,^GDAXI
2020-07-01,-0.52,-33.33,^GDAXI
2020-06-01,-0.43,-38.71,^GDAXI
2020-05-01,-0.52,-300.0,^GDAXI
2020-04-01,-0.45,-1025.0,^GDAXI
2020-03-01,-0.54,-5500.0,^GDAXI
2020-02-01,-0.47,-883.33,^GDAXI
2020-01-01,-0.31,-338.46,^GDAXI
2019-12-01,-0.3,-257.89,^GDAXI
2019-11-01,-0.35,-212.9,^GDAXI
2019-10-01,-0.47,-217.5,^GDAXI
2019-09-01,-0.59,-259.46,^GDAXI
2019-08-01,-0.65,-324.14,^GDAXI
2019-07-01,-0.39,-239.29,^GDAXI
2019-06-01,-0.31,-193.94,^GDAXI
2019-05-01,-0.13,-128.89,^GDAXI
2019-04-01,-0.04,-108.33,^GDAXI
2019-03-01,0.01,-98.11,^GDAXI
2019-02-01,0.06,-90.91,^GDAXI
2019-01-01,0.13,-72.34,^GDAXI
2018-12-01,0.19,-36.67,^GDAXI
2018-11-01,0.31,0.0,^GDAXI
2018-10-01,0.4,8.11,^GDAXI
2018-09-01,0.37,5.71,^GDAXI
2018-08-01,0.29,-17.14,^GDAXI
2018-07-01,0.28,-39.13,^GDAXI
2018-06-01,0.33,32.0,^GDAXI
2018-05-01,0.45,32.35,^GDAXI
2018-04-01,0.48,118.18,^GDAXI
2018-03-01,0.53,51.43,^GDAXI
2018-02-01,0.66,153.85,^GDAXI
2018-01-01,0.47,88.0,^GDAXI
2017-12-01,0.3,20.0,^GDAXI
2017-11-01,0.31,63.16,^GDAXI
2017-10-01,0.37,511.11,^GDAXI
2017-09-01,0.35,488.89,^GDAXI
2017-08-01,0.35,369.23,^GDAXI
2017-07-01,0.46,406.67,^GDAXI
2017-06-01,0.25,1350.0,^GDAXI
2017-05-01,0.34,161.54,^GDAXI
2017-04-01,0.22,69.23,^GDAXI
2017-03-01,0.35,105.88,^GDAXI
2017-02-01,0.26,52.94,^GDAXI
2017-01-01,0.25,-41.86,^GDAXI
2016-12-01,0.25,-54.55,^GDAXI
2016-11-01,0.19,-63.46,^GDAXI
2016-09-01,-0.09,-113.85,^GDAXI
2016-08-01,-0.13,-121.31,^GDAXI
2016-07-01,-0.15,-121.13,^GDAXI
2016-06-01,-0.02,-102.53,^GDAXI
2016-05-01,0.13,-76.79,^GDAXI
2016-04-01,0.13,8.33,^GDAXI
2016-03-01,0.17,-26.09,^GDAXI
2016-02-01,0.17,-43.33,^GDAXI
2016-01-01,0.43,10.26,^GDAXI
2015-12-01,0.55,-6.78,^GDAXI
2015-11-01,0.52,-27.78,^GDAXI
2015-10-01,0.52,-34.18,^GDAXI
2015-09-01,0.65,-29.35,^GDAXI
2015-08-01,0.61,-35.79,^GDAXI
2015-07-01,0.71,-36.04,^GDAXI
2015-06-01,0.79,-37.3,^GDAXI
2015-05-01,0.56,-57.89,^GDAXI
2015-04-01,0.12,-91.78,^GDAXI
2015-03-01,0.23,-84.77,^GDAXI
2015-02-01,0.3,-80.77,^GDAXI
2015-01-01,0.39,-77.84,^GDAXI
2014-12-01,0.59,-67.22,^GDAXI
2014-11-01,0.72,-57.14,^GDAXI
2014-10-01,0.79,-55.11,^GDAXI
2014-09-01,0.92,-51.32,^GDAXI
2014-08-01,0.95,-45.09,^GDAXI
2014-07-01,1.11,-28.85,^GDAXI
2014-06-01,1.26,-17.65,^GDAXI
2014-05-01,1.33,3.1,^GDAXI
2014-04-01,1.46,21.67,^GDAXI
2014-03-01,1.51,11.85,^GDAXI
2014-02-01,1.56,1.3,^GDAXI
2014-01-01,1.76,16.56,^GDAXI
2013-12-01,1.8,38.46,^GDAXI
2013-11-01,1.68,25.37,^GDAXI
2013-10-01,1.76,19.73,^GDAXI
2013-09-01,1.89,26.85,^GDAXI
2013-08-01,1.73,29.1,^GDAXI
2013-07-01,1.56,25.81,^GDAXI
2013-06-01,1.53,17.69,^GDAXI
2013-05-01,1.29,-3.73,^GDAXI
2013-04-01,1.2,-25.93,^GDAXI
2013-03-01,1.35,-26.23,^GDAXI
2013-02-01,1.54,-16.76,^GDAXI
2013-01-01,1.51,-17.03,^GDAXI
2012-12-01,1.3,-32.64,^GDAXI
2012-11-01,1.34,-28.34,^GDAXI
2012-10-01,1.47,-26.5,^GDAXI
2012-09-01,1.49,-18.58,^GDAXI
2012-08-01,1.34,-39.37,^GDAXI
2012-07-01,1.24,-54.74,^GDAXI
2012-06-01,1.3,-55.02,^GDAXI
