Date,Value,YOY (%),index
2022-08-01,2.61,161.0,^HSI
2022-07-01,2.63,179.79,^HSI
2022-06-01,2.62,116.53,^HSI
2022-05-01,2.65,124.58,^HSI
2022-04-01,2.8,122.22,^HSI
2022-03-01,2.16,50.0,^HSI
2022-02-01,1.71,27.61,^HSI
2022-01-01,1.67,103.66,^HSI
2021-12-01,1.36,74.36,^HSI
2021-11-01,1.47,119.4,^HSI
2021-10-01,1.44,148.28,^HSI
2021-09-01,1.23,161.7,^HSI
2021-08-01,1.0,72.41,^HSI
2021-07-01,0.94,123.81,^HSI
2021-06-01,1.21,86.15,^HSI
2021-05-01,1.18,73.53,^HSI
2021-04-01,1.26,110.0,^HSI
2021-03-01,1.44,92.0,^HSI
2021-02-01,1.34,27.62,^HSI
2021-01-01,0.82,-41.43,^HSI
2020-12-01,0.78,-57.14,^HSI
2020-11-01,0.67,-56.21,^HSI
2020-10-01,0.58,-62.34,^HSI
2020-09-01,0.47,-62.1,^HSI
2020-08-01,0.58,-48.67,^HSI
2020-07-01,0.42,-74.39,^HSI
2020-06-01,0.65,-61.31,^HSI
2020-05-01,0.68,-57.23,^HSI
2020-04-01,0.6,-64.07,^HSI
2020-03-01,0.75,-48.98,^HSI
2020-02-01,1.05,-41.34,^HSI
2020-01-01,1.4,-23.08,^HSI
2019-12-01,1.82,-8.08,^HSI
2019-11-01,1.53,-33.19,^HSI
2019-10-01,1.54,-36.63,^HSI
2019-09-01,1.24,-48.33,^HSI
2019-08-01,1.13,-48.64,^HSI
2019-07-01,1.64,-25.45,^HSI
2019-06-01,1.68,-24.32,^HSI
2019-05-01,1.59,-27.06,^HSI
2019-04-01,1.67,-23.74,^HSI
2019-03-01,1.47,-25.38,^HSI
2019-02-01,1.79,-11.39,^HSI
2019-01-01,1.82,-10.34,^HSI
2018-12-01,1.98,9.39,^HSI
2018-11-01,2.29,22.46,^HSI
2018-10-01,2.43,33.52,^HSI
2018-09-01,2.4,40.35,^HSI
2018-08-01,2.2,48.65,^HSI
2018-07-01,2.2,46.67,^HSI
2018-06-01,2.22,47.02,^HSI
2018-05-01,2.18,67.69,^HSI
2018-04-01,2.19,51.03,^HSI
2018-03-01,1.97,21.6,^HSI
2018-02-01,2.02,12.85,^HSI
2018-01-01,2.03,5.18,^HSI
2017-12-01,1.81,-4.74,^HSI
2017-11-01,1.87,33.57,^HSI
2017-10-01,1.82,66.97,^HSI
2017-09-01,1.71,78.13,^HSI
2017-08-01,1.48,52.58,^HSI
2017-07-01,1.5,59.57,^HSI
2017-06-01,1.51,43.81,^HSI
2017-05-01,1.3,-2.26,^HSI
2017-04-01,1.45,9.85,^HSI
2017-03-01,1.62,26.56,^HSI
2017-02-01,1.79,33.58,^HSI
2017-01-01,1.93,16.27,^HSI
2016-12-01,1.9,19.5,^HSI
2016-11-01,1.4,-12.5,^HSI
2016-10-01,1.09,-31.01,^HSI
2016-09-01,0.96,-39.62,^HSI
2016-08-01,0.97,-48.4,^HSI
2016-07-01,0.94,-47.78,^HSI
2016-06-01,1.05,-41.99,^HSI
2016-05-01,1.33,-17.9,^HSI
2016-04-01,1.32,-14.29,^HSI
2016-03-01,1.28,-14.67,^HSI
2016-02-01,1.34,-15.19,^HSI
2016-01-01,1.66,19.42,^HSI
2015-12-01,1.59,-17.19,^HSI
2015-11-01,1.6,-9.6,^HSI
2015-10-01,1.58,-17.28,^HSI
2015-09-01,1.59,-22.44,^HSI
2015-08-01,1.88,-1.05,^HSI
2015-07-01,1.8,-13.46,^HSI
2015-06-01,1.81,-12.56,^HSI
2015-05-01,1.62,-18.18,^HSI
2015-04-01,1.54,-30.63,^HSI
2015-03-01,1.5,-36.71,^HSI
2015-02-01,1.58,-29.46,^HSI
2015-01-01,1.39,-39.57,^HSI
2014-12-01,1.92,-18.3,^HSI
2014-11-01,1.77,-18.06,^HSI
2014-10-01,1.91,1.6,^HSI
2014-09-01,2.05,-3.76,^HSI
2014-08-01,1.9,-20.5,^HSI
2014-07-01,2.08,-11.49,^HSI
2014-06-01,2.07,-0.48,^HSI
2014-05-01,1.98,33.78,^HSI
2014-04-01,2.22,146.67,^HSI
2014-03-01,2.37,104.31,^HSI
2014-02-01,2.24,85.12,^HSI
2014-01-01,2.3,82.54,^HSI
2013-12-01,2.35,261.54,^HSI
2013-11-01,2.16,254.1,^HSI
2013-10-01,1.88,161.11,^HSI
2013-09-01,2.13,173.08,^HSI
2013-08-01,2.39,231.94,^HSI
2013-07-01,2.35,245.59,^HSI
2013-06-01,2.08,105.94,^HSI
2013-05-01,1.48,42.31,^HSI
2013-04-01,0.9,-25.0,^HSI
2013-03-01,1.16,-10.08,^HSI
2013-02-01,1.21,-8.33,^HSI
2013-01-01,1.26,-3.08,^HSI
2012-12-01,0.65,-57.52,^HSI
2012-11-01,0.61,-56.43,^HSI
2012-10-01,0.72,-56.89,^HSI
2012-09-01,0.78,-44.68,^HSI
2012-08-01,0.72,-62.11,^HSI
2012-07-01,0.68,-71.78,^HSI
2012-06-01,1.01,-58.26,^HSI
2012-05-01,1.04,-59.85,^HSI
2012-04-01,1.2,-56.52,^HSI
2012-03-01,1.29,-55.05,^HSI
2012-02-01,1.32,-55.7,^HSI
2012-01-01,1.3,-56.23,^HSI
2011-12-01,1.53,-49.67,^HSI
2011-11-01,1.4,-47.76,^HSI
2011-10-01,1.67,-28.63,^HSI
2011-09-01,1.41,-35.62,^HSI
2011-08-01,1.9,-10.8,^HSI
2011-07-01,2.41,-0.82,^HSI
