Date,Value,YOY (%),index
2023-09-01,1.09,-6.03,^SSMI
2023-08-01,0.95,20.25,^SSMI
2023-07-01,0.98,88.46,^SSMI
2023-06-01,0.97,-15.65,^SSMI
2023-05-01,0.85,8.97,^SSMI
2023-04-01,1.08,31.71,^SSMI
2023-03-01,1.23,80.88,^SSMI
2023-02-01,1.45,457.69,^SSMI
2023-01-01,1.26,2420.0,^SSMI
2022-12-01,1.57,1307.69,^SSMI
2022-11-01,1.06,560.87,^SSMI
2022-10-01,1.12,2340.0,^SSMI
2022-09-01,1.16,782.35,^SSMI
2022-08-01,0.79,325.71,^SSMI
2022-07-01,0.52,240.54,^SSMI
2022-06-01,1.15,675.0,^SSMI
2022-05-01,0.78,700.0,^SSMI
2022-04-01,0.82,490.48,^SSMI
2022-03-01,0.68,351.85,^SSMI
2022-02-01,0.26,213.04,^SSMI
2022-01-01,0.05,111.11,^SSMI
2021-12-01,-0.13,75.47,^SSMI
2021-11-01,-0.23,54.9,^SSMI
2021-10-01,-0.05,90.38,^SSMI
2021-09-01,-0.17,66.0,^SSMI
2021-08-01,-0.35,14.63,^SSMI
2021-07-01,-0.37,30.19,^SSMI
2021-06-01,-0.2,54.55,^SSMI
2021-05-01,-0.13,72.34,^SSMI
2021-04-01,-0.21,57.14,^SSMI
2021-03-01,-0.27,27.03,^SSMI
2021-02-01,-0.23,72.29,^SSMI
2021-01-01,-0.45,35.71,^SSMI
2020-12-01,-0.53,-15.22,^SSMI
2020-11-01,-0.51,12.07,^SSMI
2020-10-01,-0.52,-1.96,^SSMI
2020-09-01,-0.5,28.57,^SSMI
2020-08-01,-0.41,58.16,^SSMI
2020-07-01,-0.53,18.46,^SSMI
2020-06-01,-0.44,8.33,^SSMI
2020-05-01,-0.47,-4.44,^SSMI
2020-04-01,-0.49,-81.48,^SSMI
2020-03-01,-0.37,-5.71,^SSMI
2020-02-01,-0.83,-245.83,^SSMI
2020-01-01,-0.7,-233.33,^SSMI
2019-12-01,-0.46,-206.67,^SSMI
2019-11-01,-0.58,-2800.0,^SSMI
2019-10-01,-0.51,-828.57,^SSMI
2019-09-01,-0.7,-736.36,^SSMI
2019-08-01,-0.98,-3166.67,^SSMI
2019-07-01,-0.65,-1725.0,^SSMI
2019-06-01,-0.48,-4700.0,^SSMI
2019-05-01,-0.45,-4400.0,^SSMI
2019-04-01,-0.27,-325.0,^SSMI
2019-03-01,-0.35,-800.0,^SSMI
2019-02-01,-0.24,-300.0,^SSMI
2019-01-01,-0.21,-310.0,^SSMI
2018-12-01,-0.15,-50.0,^SSMI
2018-11-01,-0.02,60.0,^SSMI
2018-10-01,0.07,333.33,^SSMI
2018-09-01,0.11,450.0,^SSMI
2018-08-01,-0.03,72.73,^SSMI
2018-07-01,0.04,-33.33,^SSMI
2018-06-01,-0.01,66.67,^SSMI
2018-05-01,-0.01,93.33,^SSMI
2018-04-01,0.12,220.0,^SSMI
2018-03-01,0.05,150.0,^SSMI
2018-02-01,0.12,157.14,^SSMI
2018-01-01,0.1,242.86,^SSMI
2017-12-01,-0.1,28.57,^SSMI
2017-11-01,-0.05,61.54,^SSMI
2017-10-01,-0.03,91.67,^SSMI
2017-09-01,0.02,103.85,^SSMI
2017-08-01,-0.11,76.09,^SSMI
2017-07-01,0.06,111.11,^SSMI
2017-06-01,-0.03,94.12,^SSMI
2017-05-01,-0.15,50.0,^SSMI
2017-04-01,-0.1,60.0,^SSMI
2017-03-01,-0.1,74.36,^SSMI
