Date,Value,YOY (%)
2023-09-01,4.42,26.29
2023-08-01,4.53,94.42
2023-07-01,4.44,106.51
2023-06-01,4.37,83.61
2023-05-01,3.96,107.33
2023-04-01,3.65,98.37
2023-03-01,3.56,129.68
2023-02-01,3.56,138.93
2023-01-01,3.51,190.08
2022-12-01,3.50,316.67
2022-11-01,3.42,263.83
2022-10-01,4.11,280.56
2022-09-01,3.50,337.50
2022-08-01,2.33,264.06
2022-07-01,2.15,207.14
2022-06-01,2.38,180.00
2022-05-01,1.91,109.89
2022-04-01,1.84,116.47
2022-03-01,1.55,82.35
2022-02-01,1.49,140.32
2022-01-01,1.21,227.03
2021-12-01,0.84,162.50
2021-11-01,0.94,147.37
2021-10-01,1.08,248.39
2021-09-01,0.80,196.30
2021-08-01,0.64,137.04
2021-07-01,0.70,233.33
2021-06-01,0.85,203.57
2021-05-01,0.91,237.04
2021-04-01,0.85,136.11
2021-03-01,0.85,84.78
2021-02-01,0.62,-1.59
2021-01-01,0.37,-48.61
2020-12-01,0.32,-61.45
2020-11-01,0.38,-50.65
2020-10-01,0.31,-51.56
2020-09-01,0.27,-55.00
2020-08-01,0.27,-53.45
2020-07-01,0.21,-74.70
2020-06-01,0.28,-69.57
2020-05-01,0.27,-76.11
2020-04-01,0.36,-69.75
2020-03-01,0.46,-61.34
2020-02-01,0.63,-49.19
2020-01-01,0.72,-45.45
2019-12-01,0.83,-36.64
2019-11-01,0.77,-46.90
2019-10-01,0.64,-58.71
2019-09-01,0.60,-60.00
2019-08-01,0.58,-58.57
2019-07-01,0.83,-39.42
2019-06-01,0.92,-35.21
2019-05-01,1.13,-24.67
2019-04-01,1.19,-21.19
2019-03-01,1.19,-21.19
2019-02-01,1.24,-22.50
2019-01-01,1.32,-5.04
2018-12-01,1.31,2.34
2018-11-01,1.45,9.02
2018-10-01,1.55,12.32
2018-09-01,1.50,20.97
2018-08-01,1.40,25.00
2018-07-01,1.37,7.87
2018-06-01,1.42,31.48
2018-05-01,1.50,33.93
2018-04-01,1.51,39.81
2018-03-01,1.51,26.89
2018-02-01,1.60,22.14
2018-01-01,1.39,-2.11
2017-12-01,1.28,-10.49
2017-11-01,1.33,-3.62
2017-10-01,1.38,27.78
2017-09-01,1.24,51.22
2017-08-01,1.12,51.35
2017-07-01,1.27,32.29
2017-06-01,1.08,-17.56
2017-05-01,1.12,-27.27
2017-04-01,1.08,-31.21
2017-03-01,1.19,-22.73
2017-02-01,1.31,-12.67
2017-01-01,1.42,-20.22
2016-12-01,1.43,-25.52
2016-11-01,1.38,-30.30
2016-10-01,1.08,-41.62
2016-09-01,0.82,-56.38
2016-08-01,0.74,-62.63
2016-07-01,0.96,-55.14
2016-06-01,1.31,-39.63
2016-05-01,1.54,-23.76
2016-04-01,1.57,-10.80
2016-03-01,1.54,-13.97
2016-02-01,1.50,-13.79
2016-01-01,1.78,11.95
2015-12-01,1.92,-0.52
2015-11-01,1.98,-8.33
2015-10-01,1.85,-17.78
2015-09-01,1.88,-24.50
2015-08-01,1.98,-21.74
2015-07-01,2.14,-21.61
2015-06-01,2.17,-21.94
2015-05-01,2.02,-25.19
2015-04-01,1.76,-35.77
2015-03-01,1.79,-35.61
2015-02-01,1.74,-38.08
2015-01-01,1.59,-45.36
2014-12-01,1.93,-34.58
2014-11-01,2.16,-21.74
2014-10-01,2.25,-16.04
2014-09-01,2.49,-12.32
2014-08-01,2.53,-6.64
2014-07-01,2.73,10.53
2014-06-01,2.78,20.35
2014-05-01,2.70,38.46
2014-04-01,2.74,53.93
2014-03-01,2.78,40.40
2014-02-01,2.81,28.90
2014-01-01,2.91,39.90
2013-12-01,2.95,59.46
2013-11-01,2.76,55.93
2013-10-01,2.68,51.41
2013-09-01,2.84,65.12
2013-08-01,2.71,62.28
2013-07-01,2.47,49.70
2013-06-01,2.31,30.51
2013-05-01,1.95,0.52
2013-04-01,1.78,-19.46
2013-03-01,1.98,-14.66
2013-02-01,2.18,-1.80
2013-01-01,2.08,-1.42
2012-12-01,1.85,-15.14
2012-11-01,1.77,-22.71
2012-10-01,1.77,-30.04
2012-09-01,1.72,-31.20
2012-08-01,1.67,-39.93
2012-07-01,1.65,-50.15
2012-06-01,1.77,-48.09
2012-05-01,1.94,-44.73
2012-04-01,2.21,-41.22
2012-03-01,2.32,-37.97
2012-02-01,2.22,-42.78
2012-01-01,2.11,-43.43
2011-12-01,2.18,-39.61
2011-11-01,2.29,-30.82
2011-10-01,2.53,-17.59
