Date,Value,YOY (%)
2022-01-01,215313498.00,0.46
2021-01-01,214326223.00,0.53
2020-01-01,213196304.00,0.67
2019-01-01,211782878.00,0.77
2018-01-01,210166592.00,0.80
2017-01-01,208504960.00,1.14
2016-01-01,206163056.00,0.83
2015-01-01,204471759.00,0.84
2014-01-01,202763744.00,0.86
2013-01-01,201035904.00,0.88
2012-01-01,199287292.00,0.90
2011-01-01,197514541.00,0.92
2010-01-01,195713637.00,0.94
2009-01-01,193886505.00,0.97
2008-01-01,192030362.00,1.00
2007-01-01,190130445.00,1.04
2006-01-01,188167353.00,1.10
2005-01-01,186127108.00,1.15
2004-01-01,184006479.00,1.21
2003-01-01,181809244.00,1.27
2002-01-01,179537523.00,1.32
2001-01-01,177196051.00,1.38
2000-01-01,174790339.00,1.43
1999-01-01,172318674.00,1.49
1998-01-01,169785253.00,1.54
1997-01-01,167209046.00,1.58
1996-01-01,164614682.00,1.60
1995-01-01,162019889.00,1.62
1994-01-01,159432717.00,1.65
1993-01-01,156849086.00,1.68
1992-01-01,154259382.00,1.72
1991-01-01,151648007.00,1.77
1990-01-01,149003225.00,1.83
1989-01-01,146328305.00,1.88
1988-01-01,143627505.00,1.94
1987-01-01,140891606.00,2.01
1986-01-01,138108915.00,2.10
1985-01-01,135274083.00,2.18
1984-01-01,132383569.00,2.27
1983-01-01,129448815.00,2.33
1982-01-01,126498322.00,2.37
1981-01-01,123570327.00,2.38
1980-01-01,120694012.00,2.39
1979-01-01,117878412.00,2.40
1978-01-01,115121158.00,2.40
1977-01-01,112425392.00,2.40
1976-01-01,109790943.00,2.40
1975-01-01,107216209.00,4.85
1974-01-01,104706193.00,2.39
1973-01-01,102259497.00,2.40
1972-01-01,99859388.00,2.44
1971-01-01,97482928.00,2.49
1970-01-01,95113265.00,2.55
1969-01-01,92746607.00,2.61
1968-01-01,90387079.00,2.67
1967-01-01,88035815.00,2.73
1966-01-01,85696502.00,2.79
1965-01-01,83373533.00,2.85
1964-01-01,81064572.00,2.91
1963-01-01,78772647.00,2.95
1962-01-01,76514329.00,2.96
1961-01-01,74311338.00,2.95
1960-01-01,72179235.00,
