Date,Value,YOY (%)
2022-01-01,1412175000.00,-0.01
2021-01-01,1412360000.00,0.09
2020-01-01,1411100000.00,0.24
2019-01-01,1407745000.00,0.36
2018-01-01,1402760000.00,0.47
2017-01-01,1396215000.00,0.61
2016-01-01,1387790000.00,0.57
2015-01-01,1379860000.00,0.58
2014-01-01,1371860000.00,0.63
2013-01-01,1363240000.00,0.67
2012-01-01,1354190000.00,0.68
2011-01-01,1345035000.00,0.55
2010-01-01,1337705000.00,0.48
2009-01-01,1331260000.00,0.50
2008-01-01,1324655000.00,0.51
2007-01-01,1317885000.00,0.52
2006-01-01,1311020000.00,0.56
2005-01-01,1303720000.00,0.59
2004-01-01,1296075000.00,0.60
2003-01-01,1288400000.00,0.62
2002-01-01,1280400000.00,0.67
2001-01-01,1271850000.00,0.73
2000-01-01,1262645000.00,0.79
1999-01-01,1252735000.00,0.87
1998-01-01,1241935000.00,0.96
1997-01-01,1230075000.00,1.03
1996-01-01,1217550000.00,1.05
1995-01-01,1204855000.00,1.09
1994-01-01,1191835000.00,1.14
1993-01-01,1178440000.00,1.16
1992-01-01,1164970000.00,1.23
1991-01-01,1150780000.00,1.37
1990-01-01,1135185000.00,1.48
1989-01-01,1118650000.00,1.54
1988-01-01,1101630000.00,1.62
1987-01-01,1084035000.00,1.62
1986-01-01,1066790000.00,1.50
1985-01-01,1051040000.00,1.37
1984-01-01,1036825000.00,1.32
1983-01-01,1023310000.00,1.46
1982-01-01,1008630000.00,1.48
1981-01-01,993885000.00,1.29
1980-01-01,981235000.00,1.26
1979-01-01,969005000.00,1.34
1978-01-01,956165000.00,1.35
1977-01-01,943455000.00,1.37
1976-01-01,930685000.00,1.56
1975-01-01,916395000.00,3.91
1974-01-01,900350000.00,2.09
1973-01-01,881940000.00,2.31
1972-01-01,862030000.00,2.49
1971-01-01,841105000.00,2.78
1970-01-01,818315000.00,2.80
1969-01-01,796025000.00,2.78
1968-01-01,774510000.00,2.65
1967-01-01,754550000.00,2.60
1966-01-01,735400000.00,2.83
1965-01-01,715185000.00,2.41
1964-01-01,698355000.00,2.35
1963-01-01,682335000.00,2.49
1962-01-01,665770000.00,0.82
1961-01-01,660330000.00,-1.01
1960-01-01,667070000.00,
