Date,Value,YOY (%)
2022-01-01,84079811.00,1.06
2021-01-01,83196078.00,0.04
2020-01-01,83160871.00,0.08
2019-01-01,83092962.00,0.23
2018-01-01,82905782.00,0.30
2017-01-01,82657002.00,0.37
2016-01-01,82348669.00,0.81
2015-01-01,81686611.00,0.87
2014-01-01,80982500.00,0.42
2013-01-01,80645605.00,0.27
2012-01-01,80425823.00,0.19
2011-01-01,80274983.00,-1.84
2010-01-01,81776930.00,-0.15
2009-01-01,81902307.00,-0.25
2008-01-01,82110097.00,-0.19
2007-01-01,82266372.00,-0.13
2006-01-01,82376451.00,-0.11
2005-01-01,82469422.00,-0.06
2004-01-01,82516260.00,-0.02
2003-01-01,82534176.00,0.06
2002-01-01,82488495.00,0.17
2001-01-01,82349925.00,0.17
2000-01-01,82211508.00,0.14
1999-01-01,82100243.00,0.06
1998-01-01,82047195.00,0.02
1997-01-01,82034771.00,0.15
1996-01-01,81914831.00,0.29
1995-01-01,81678051.00,0.29
1994-01-01,81438348.00,0.35
1993-01-01,81156363.00,0.66
1992-01-01,80624598.00,0.76
1991-01-01,80013896.00,0.73
1990-01-01,79433029.00,0.87
1989-01-01,78751283.00,0.78
1988-01-01,78144619.00,0.39
1987-01-01,77839920.00,0.15
1986-01-01,77720436.00,0.05
1985-01-01,77684873.00,-0.22
1984-01-01,77858685.00,-0.35
1983-01-01,78128282.00,-0.26
1982-01-01,78333366.00,-0.10
1981-01-01,78407907.00,0.15
1980-01-01,78288576.00,0.21
1979-01-01,78126350.00,0.04
1978-01-01,78091820.00,-0.09
1977-01-01,78159814.00,-0.23
1976-01-01,78336950.00,-0.43
1975-01-01,78673554.00,-0.33
1974-01-01,78967433.00,0.04
1973-01-01,78936666.00,0.32
1972-01-01,78688452.00,0.48
1971-01-01,78312842.00,0.18
1970-01-01,78169289.00,0.33
1969-01-01,77909682.00,0.80
1968-01-01,77294314.00,0.45
1967-01-01,76951336.00,0.46
1966-01-01,76600311.00,0.84
1965-01-01,75963695.00,0.86
1964-01-01,75318337.00,0.81
1963-01-01,74714353.00,0.93
1962-01-01,74025784.00,0.88
1961-01-01,73377632.00,0.77
1960-01-01,72814900.00,
