Date,Value,YOY (%)
2022-01-01,1417173173.00,0.68
2021-01-01,1407563842.00,0.80
2020-01-01,1396387127.00,0.96
2019-01-01,1383112050.00,1.03
2018-01-01,1369003306.00,1.09
2017-01-01,1354195680.00,2.24
2016-01-01,1324517250.00,1.10
2015-01-01,1310152392.00,1.12
2014-01-01,1295600768.00,1.15
2013-01-01,1280842119.00,1.19
2012-01-01,1265780243.00,1.24
2011-01-01,1250287939.00,1.30
2010-01-01,1234281163.00,1.36
2009-01-01,1217726217.00,1.42
2008-01-01,1200669762.00,1.48
2007-01-01,1183209471.00,1.52
2006-01-01,1165486291.00,1.56
2005-01-01,1147609924.00,1.59
2004-01-01,1129623466.00,1.63
2003-01-01,1111523146.00,1.67
2002-01-01,1093317187.00,1.70
2001-01-01,1075000094.00,1.74
2000-01-01,1056575548.00,1.78
1999-01-01,1038058154.00,1.82
1998-01-01,1019483586.00,1.86
1997-01-01,1000900028.00,1.89
1996-01-01,982365248.00,1.91
1995-01-01,963922586.00,1.94
1994-01-01,945601828.00,1.96
1993-01-01,927403866.00,1.99
1992-01-01,909307018.00,2.02
1991-01-01,891273202.00,2.06
1990-01-01,873277799.00,2.10
1989-01-01,855334675.00,2.13
1988-01-01,837468938.00,2.17
1987-01-01,819682095.00,2.21
1986-01-01,801975250.00,2.25
1985-01-01,784360012.00,2.29
1984-01-01,766833411.00,2.32
1983-01-01,749428958.00,2.35
1982-01-01,732239498.00,2.36
1981-01-01,715384997.00,2.35
1980-01-01,698952837.00,2.34
1979-01-01,682995348.00,2.32
1978-01-01,667499815.00,2.31
1977-01-01,652408766.00,2.32
1976-01-01,637630085.00,2.33
1975-01-01,623102900.00,4.76
1974-01-01,608802595.00,2.36
1973-01-01,594770136.00,2.35
1972-01-01,581087255.00,2.33
1971-01-01,567868021.00,2.28
1970-01-01,555189797.00,2.23
1969-01-01,543084333.00,2.18
1968-01-01,531513834.00,2.14
1967-01-01,520400577.00,2.11
1966-01-01,509631509.00,2.11
1965-01-01,499123328.00,2.10
1964-01-01,488848139.00,2.09
1963-01-01,478825602.00,2.08
1962-01-01,469077191.00,2.05
1961-01-01,459642166.00,2.02
1960-01-01,450547675.00,
