Date,Value,YOY (%),index
2022-01-01,215313498.0,0.46,^BVSP
2021-01-01,214326223.0,0.53,^BVSP
2020-01-01,213196304.0,0.67,^BVSP
2019-01-01,211782878.0,0.77,^BVSP
2018-01-01,210166592.0,0.8,^BVSP
2017-01-01,208504960.0,1.14,^BVSP
2016-01-01,206163056.0,0.83,^BVSP
2015-01-01,204471759.0,0.84,^BVSP
2014-01-01,202763744.0,0.86,^BVSP
2013-01-01,201035904.0,0.88,^BVSP
2012-01-01,199287292.0,0.9,^BVSP
2011-01-01,197514541.0,0.92,^BVSP
2010-01-01,195713637.0,0.94,^BVSP
2009-01-01,193886505.0,0.97,^BVSP
2008-01-01,192030362.0,1.0,^BVSP
2007-01-01,190130445.0,1.04,^BVSP
2006-01-01,188167353.0,1.1,^BVSP
2005-01-01,186127108.0,1.15,^BVSP
2004-01-01,184006479.0,1.21,^BVSP
2003-01-01,181809244.0,1.27,^BVSP
2002-01-01,179537523.0,1.32,^BVSP
2001-01-01,177196051.0,1.38,^BVSP
2000-01-01,174790339.0,1.43,^BVSP
1999-01-01,172318674.0,1.49,^BVSP
1998-01-01,169785253.0,1.54,^BVSP
1997-01-01,167209046.0,1.58,^BVSP
1996-01-01,164614682.0,1.6,^BVSP
1995-01-01,162019889.0,1.62,^BVSP
1994-01-01,159432717.0,1.65,^BVSP
1993-01-01,156849086.0,1.68,^BVSP
1992-01-01,154259382.0,1.72,^BVSP
1991-01-01,151648007.0,1.77,^BVSP
1990-01-01,149003225.0,1.83,^BVSP
1989-01-01,146328305.0,1.88,^BVSP
1988-01-01,143627505.0,1.94,^BVSP
1987-01-01,140891606.0,2.01,^BVSP
1986-01-01,138108915.0,2.1,^BVSP
1985-01-01,135274083.0,2.18,^BVSP
1984-01-01,132383569.0,2.27,^BVSP
1983-01-01,129448815.0,2.33,^BVSP
1982-01-01,126498322.0,2.37,^BVSP
1981-01-01,123570327.0,2.38,^BVSP
1980-01-01,120694012.0,2.39,^BVSP
1979-01-01,117878412.0,2.4,^BVSP
1978-01-01,115121158.0,2.4,^BVSP
1977-01-01,112425392.0,2.4,^BVSP
1976-01-01,109790943.0,2.4,^BVSP
1975-01-01,107216209.0,4.85,^BVSP
1974-01-01,104706193.0,2.39,^BVSP
1973-01-01,102259497.0,2.4,^BVSP
1972-01-01,99859388.0,2.44,^BVSP
1971-01-01,97482928.0,2.49,^BVSP
1970-01-01,95113265.0,2.55,^BVSP
1969-01-01,92746607.0,2.61,^BVSP
1968-01-01,90387079.0,2.67,^BVSP
1967-01-01,88035815.0,2.73,^BVSP
1966-01-01,85696502.0,2.79,^BVSP
1965-01-01,83373533.0,2.85,^BVSP
1964-01-01,81064572.0,2.91,^BVSP
1963-01-01,78772647.0,2.95,^BVSP
1962-01-01,76514329.0,2.96,^BVSP
1961-01-01,74311338.0,2.95,^BVSP
1960-01-01,72179235.0,,^BVSP
