Date,Value,YOY (%),index
2022-01-01,1412175000.0,-0.01,000001.SS
2021-01-01,1412360000.0,0.09,000001.SS
2020-01-01,1411100000.0,0.24,000001.SS
2019-01-01,1407745000.0,0.36,000001.SS
2018-01-01,1402760000.0,0.47,000001.SS
2017-01-01,1396215000.0,0.61,000001.SS
2016-01-01,1387790000.0,0.57,000001.SS
2015-01-01,1379860000.0,0.58,000001.SS
2014-01-01,1371860000.0,0.63,000001.SS
2013-01-01,1363240000.0,0.67,000001.SS
2012-01-01,1354190000.0,0.68,000001.SS
2011-01-01,1345035000.0,0.55,000001.SS
2010-01-01,1337705000.0,0.48,000001.SS
2009-01-01,1331260000.0,0.5,000001.SS
2008-01-01,1324655000.0,0.51,000001.SS
2007-01-01,1317885000.0,0.52,000001.SS
2006-01-01,1311020000.0,0.56,000001.SS
2005-01-01,1303720000.0,0.59,000001.SS
2004-01-01,1296075000.0,0.6,000001.SS
2003-01-01,1288400000.0,0.62,000001.SS
2002-01-01,1280400000.0,0.67,000001.SS
2001-01-01,1271850000.0,0.73,000001.SS
2000-01-01,1262645000.0,0.79,000001.SS
1999-01-01,1252735000.0,0.87,000001.SS
1998-01-01,1241935000.0,0.96,000001.SS
1997-01-01,1230075000.0,1.03,000001.SS
1996-01-01,1217550000.0,1.05,000001.SS
1995-01-01,1204855000.0,1.09,000001.SS
1994-01-01,1191835000.0,1.14,000001.SS
1993-01-01,1178440000.0,1.16,000001.SS
1992-01-01,1164970000.0,1.23,000001.SS
1991-01-01,1150780000.0,1.37,000001.SS
1990-01-01,1135185000.0,1.48,000001.SS
1989-01-01,1118650000.0,1.54,000001.SS
1988-01-01,1101630000.0,1.62,000001.SS
1987-01-01,1084035000.0,1.62,000001.SS
1986-01-01,1066790000.0,1.5,000001.SS
1985-01-01,1051040000.0,1.37,000001.SS
1984-01-01,1036825000.0,1.32,000001.SS
1983-01-01,1023310000.0,1.46,000001.SS
1982-01-01,1008630000.0,1.48,000001.SS
1981-01-01,993885000.0,1.29,000001.SS
1980-01-01,981235000.0,1.26,000001.SS
1979-01-01,969005000.0,1.34,000001.SS
1978-01-01,956165000.0,1.35,000001.SS
1977-01-01,943455000.0,1.37,000001.SS
1976-01-01,930685000.0,1.56,000001.SS
1975-01-01,916395000.0,3.91,000001.SS
1974-01-01,900350000.0,2.09,000001.SS
1973-01-01,881940000.0,2.31,000001.SS
1972-01-01,862030000.0,2.49,000001.SS
1971-01-01,841105000.0,2.78,000001.SS
1970-01-01,818315000.0,2.8,000001.SS
1969-01-01,796025000.0,2.78,000001.SS
1968-01-01,774510000.0,2.65,000001.SS
1967-01-01,754550000.0,2.6,000001.SS
1966-01-01,735400000.0,2.83,000001.SS
1965-01-01,715185000.0,2.41,000001.SS
1964-01-01,698355000.0,2.35,000001.SS
1963-01-01,682335000.0,2.49,000001.SS
1962-01-01,665770000.0,0.82,000001.SS
1961-01-01,660330000.0,-1.01,000001.SS
1960-01-01,667070000.0,,000001.SS
