Date,Value,YOY (%)
2022-01-01,67935660.00,0.27
2021-01-01,67749632.00,0.26
2020-01-01,67571107.00,0.27
2019-01-01,67388001.00,0.34
2018-01-01,67158348.00,0.36
2017-01-01,66918020.00,0.29
2016-01-01,66724104.00,0.26
2015-01-01,66548272.00,0.36
2014-01-01,66312067.00,0.47
2013-01-01,65998685.00,0.52
2012-01-01,65659814.00,0.49
2011-01-01,65342789.00,0.48
2010-01-01,65027505.00,0.50
2009-01-01,64707035.00,0.52
2008-01-01,64374979.00,0.56
2007-01-01,64016227.00,0.62
2006-01-01,63621376.00,0.70
2005-01-01,63179356.00,0.76
2004-01-01,62704901.00,0.74
2003-01-01,62244880.00,0.71
2002-01-01,61805266.00,0.73
2001-01-01,61357432.00,0.73
2000-01-01,60912500.00,0.69
1999-01-01,60496708.00,0.52
1998-01-01,60186284.00,0.37
1997-01-01,59964841.00,0.35
1996-01-01,59753095.00,0.35
1995-01-01,59541904.00,0.36
1994-01-01,59327200.00,0.37
1993-01-01,59106758.00,0.43
1992-01-01,58851216.00,0.50
1991-01-01,58559309.00,0.56
1990-01-01,58235716.00,0.51
1989-01-01,57940199.00,0.54
1988-01-01,57627106.00,0.57
1987-01-01,57302642.00,0.57
1986-01-01,56976126.00,0.57
1985-01-01,56654703.00,0.56
1984-01-01,56337675.00,0.56
1983-01-01,56023775.00,0.55
1982-01-01,55718940.00,0.52
1981-01-01,55430278.00,0.49
1980-01-01,55161510.00,0.45
1979-01-01,54917110.00,0.41
1978-01-01,54691866.00,0.41
1977-01-01,54467709.00,0.46
1976-01-01,54220033.00,0.54
1975-01-01,53931390.00,1.36
1974-01-01,53592235.00,0.72
1973-01-01,53207744.00,0.79
1972-01-01,52793151.00,0.81
1971-01-01,52371320.00,0.80
1970-01-01,51957747.00,0.77
1969-01-01,51561833.00,0.75
1968-01-01,51175507.00,0.79
1967-01-01,50775788.00,0.89
1966-01-01,50330268.00,1.03
1965-01-01,49818019.00,1.19
1964-01-01,49230585.00,1.33
1963-01-01,48582624.00,1.41
1962-01-01,47904879.00,1.41
1961-01-01,47240526.00,1.33
1960-01-01,46621688.00,
