Date,Value,YOY (%),index
2022-01-01,84079811.0,1.06,^GDAXI
2021-01-01,83196078.0,0.04,^GDAXI
2020-01-01,83160871.0,0.08,^GDAXI
2019-01-01,83092962.0,0.23,^GDAXI
2018-01-01,82905782.0,0.3,^GDAXI
2017-01-01,82657002.0,0.37,^GDAXI
2016-01-01,82348669.0,0.81,^GDAXI
2015-01-01,81686611.0,0.87,^GDAXI
2014-01-01,80982500.0,0.42,^GDAXI
2013-01-01,80645605.0,0.27,^GDAXI
2012-01-01,80425823.0,0.19,^GDAXI
2011-01-01,80274983.0,-1.84,^GDAXI
2010-01-01,81776930.0,-0.15,^GDAXI
2009-01-01,81902307.0,-0.25,^GDAXI
2008-01-01,82110097.0,-0.19,^GDAXI
2007-01-01,82266372.0,-0.13,^GDAXI
2006-01-01,82376451.0,-0.11,^GDAXI
2005-01-01,82469422.0,-0.06,^GDAXI
2004-01-01,82516260.0,-0.02,^GDAXI
2003-01-01,82534176.0,0.06,^GDAXI
2002-01-01,82488495.0,0.17,^GDAXI
2001-01-01,82349925.0,0.17,^GDAXI
2000-01-01,82211508.0,0.14,^GDAXI
1999-01-01,82100243.0,0.06,^GDAXI
1998-01-01,82047195.0,0.02,^GDAXI
1997-01-01,82034771.0,0.15,^GDAXI
1996-01-01,81914831.0,0.29,^GDAXI
1995-01-01,81678051.0,0.29,^GDAXI
1994-01-01,81438348.0,0.35,^GDAXI
1993-01-01,81156363.0,0.66,^GDAXI
1992-01-01,80624598.0,0.76,^GDAXI
1991-01-01,80013896.0,0.73,^GDAXI
1990-01-01,79433029.0,0.87,^GDAXI
1989-01-01,78751283.0,0.78,^GDAXI
1988-01-01,78144619.0,0.39,^GDAXI
1987-01-01,77839920.0,0.15,^GDAXI
1986-01-01,77720436.0,0.05,^GDAXI
1985-01-01,77684873.0,-0.22,^GDAXI
1984-01-01,77858685.0,-0.35,^GDAXI
1983-01-01,78128282.0,-0.26,^GDAXI
1982-01-01,78333366.0,-0.1,^GDAXI
1981-01-01,78407907.0,0.15,^GDAXI
1980-01-01,78288576.0,0.21,^GDAXI
1979-01-01,78126350.0,0.04,^GDAXI
1978-01-01,78091820.0,-0.09,^GDAXI
1977-01-01,78159814.0,-0.23,^GDAXI
1976-01-01,78336950.0,-0.43,^GDAXI
1975-01-01,78673554.0,-0.33,^GDAXI
1974-01-01,78967433.0,0.04,^GDAXI
1973-01-01,78936666.0,0.32,^GDAXI
1972-01-01,78688452.0,0.48,^GDAXI
1971-01-01,78312842.0,0.18,^GDAXI
1970-01-01,78169289.0,0.33,^GDAXI
1969-01-01,77909682.0,0.8,^GDAXI
1968-01-01,77294314.0,0.45,^GDAXI
1967-01-01,76951336.0,0.46,^GDAXI
1966-01-01,76600311.0,0.84,^GDAXI
1965-01-01,75963695.0,0.86,^GDAXI
1964-01-01,75318337.0,0.81,^GDAXI
1963-01-01,74714353.0,0.93,^GDAXI
1962-01-01,74025784.0,0.88,^GDAXI
1961-01-01,73377632.0,0.77,^GDAXI
1960-01-01,72814900.0,,^GDAXI
