Date,Value,YOY (%)
2022-01-01,125124989.00,-0.44
2021-01-01,125681593.00,-0.46
2020-01-01,126261000.00,-0.29
2019-01-01,126633000.00,-0.14
2018-01-01,126811000.00,-0.13
2017-01-01,126972000.00,-0.02
2016-01-01,126994511.00,-0.12
2015-01-01,127141000.00,-0.11
2014-01-01,127276000.00,-0.13
2013-01-01,127445000.00,-0.14
2012-01-01,127629000.00,-0.16
2011-01-01,127833000.00,-0.19
2010-01-01,128070000.00,0.02
2009-01-01,128047000.00,-0.01
2008-01-01,128063000.00,0.05
2007-01-01,128001000.00,0.11
2006-01-01,127854000.00,0.06
2005-01-01,127773000.00,0.01
2004-01-01,127761000.00,0.03
2003-01-01,127718000.00,0.21
2002-01-01,127445000.00,0.23
2001-01-01,127149000.00,0.24
2000-01-01,126843000.00,0.17
1999-01-01,126631000.00,0.18
1998-01-01,126400000.00,0.27
1997-01-01,126057000.00,0.24
1996-01-01,125757000.00,0.23
1995-01-01,125472000.00,0.23
1994-01-01,125178000.00,0.28
1993-01-01,124829000.00,0.32
1992-01-01,124425000.00,0.37
1991-01-01,123964000.00,0.39
1990-01-01,123478000.00,0.33
1989-01-01,123069000.00,0.40
1988-01-01,122578000.00,0.42
1987-01-01,122069000.00,0.48
1986-01-01,121482000.00,0.53
1985-01-01,120837000.00,0.63
1984-01-01,120083000.00,0.65
1983-01-01,119307000.00,0.70
1982-01-01,118480000.00,0.70
1981-01-01,117661000.00,0.73
1980-01-01,116807000.00,0.79
1979-01-01,115890000.00,0.85
1978-01-01,114913000.00,0.91
1977-01-01,113872000.00,0.97
1976-01-01,112775000.00,1.08
1975-01-01,111573000.00,2.64
1974-01-01,110162000.00,1.34
1973-01-01,108707000.00,1.42
1972-01-01,107188000.00,1.41
1971-01-01,105697000.00,2.22
1970-01-01,103403000.00,1.16
1969-01-01,102219000.00,1.20
1968-01-01,101011000.00,1.13
1967-01-01,99879000.00,1.04
1966-01-01,98851000.00,0.92
1965-01-01,97952000.00,1.08
1964-01-01,96903000.00,1.05
1963-01-01,95900000.00,1.02
1962-01-01,94933000.00,0.93
1961-01-01,94055000.00,0.90
1960-01-01,93216000.00,
