Date,Value,YOY (%),index
2022-01-01,8769741.0,0.76,^SSMI
2021-01-01,8703405.0,0.76,^SSMI
2020-01-01,8638167.0,0.73,^SSMI
2019-01-01,8575280.0,0.72,^SSMI
2018-01-01,8514329.0,0.74,^SSMI
2017-01-01,8451840.0,0.94,^SSMI
2016-01-01,8373338.0,1.1,^SSMI
2015-01-01,8282396.0,1.14,^SSMI
2014-01-01,8188649.0,1.23,^SSMI
2013-01-01,8089346.0,1.16,^SSMI
2012-01-01,7996861.0,1.07,^SSMI
2011-01-01,7912398.0,1.12,^SSMI
2010-01-01,7824909.0,1.05,^SSMI
2009-01-01,7743831.0,1.26,^SSMI
2008-01-01,7647675.0,1.28,^SSMI
2007-01-01,7551117.0,0.9,^SSMI
2006-01-01,7483934.0,0.63,^SSMI
2005-01-01,7437115.0,0.64,^SSMI
2004-01-01,7389625.0,0.69,^SSMI
2003-01-01,7339001.0,0.74,^SSMI
2002-01-01,7284753.0,0.76,^SSMI
2001-01-01,7229854.0,0.63,^SSMI
2000-01-01,7184250.0,0.56,^SSMI
1999-01-01,7143991.0,0.48,^SSMI
1998-01-01,7110001.0,0.3,^SSMI
1997-01-01,7088906.0,0.24,^SSMI
1996-01-01,7071850.0,0.44,^SSMI
1995-01-01,7040687.0,0.67,^SSMI
1994-01-01,6993795.0,0.8,^SSMI
1993-01-01,6938265.0,0.91,^SSMI
1992-01-01,6875364.0,1.11,^SSMI
1991-01-01,6799978.0,1.26,^SSMI
1990-01-01,6715519.0,1.03,^SSMI
1989-01-01,6646912.0,0.81,^SSMI
1988-01-01,6593386.0,0.74,^SSMI
1987-01-01,6545106.0,0.63,^SSMI
1986-01-01,6504124.0,0.52,^SSMI
1985-01-01,6470365.0,0.44,^SSMI
1984-01-01,6441865.0,0.36,^SSMI
1983-01-01,6418773.0,0.43,^SSMI
1982-01-01,6391309.0,0.59,^SSMI
1981-01-01,6354074.0,0.55,^SSMI
1980-01-01,6319408.0,0.4,^SSMI
1979-01-01,6294365.0,0.2,^SSMI
1978-01-01,6281738.0,0.01,^SSMI
1977-01-01,6281174.0,-0.34,^SSMI
1976-01-01,6302504.0,-0.57,^SSMI
1975-01-01,6338632.0,0.5,^SSMI
1974-01-01,6341405.0,0.54,^SSMI
1973-01-01,6307347.0,0.74,^SSMI
1972-01-01,6260956.0,0.77,^SSMI
1971-01-01,6213399.0,0.53,^SSMI
1970-01-01,6180877.0,0.73,^SSMI
1969-01-01,6136387.0,1.13,^SSMI
1968-01-01,6067714.0,1.27,^SSMI
1967-01-01,5991785.0,1.25,^SSMI
1966-01-01,5918002.0,1.05,^SSMI
1965-01-01,5856472.0,1.16,^SSMI
1964-01-01,5789228.0,1.67,^SSMI
1963-01-01,5694247.0,2.16,^SSMI
1962-01-01,5573815.0,2.57,^SSMI
1961-01-01,5434294.0,2.0,^SSMI
1960-01-01,5327827.0,,^SSMI
