Date,Value
1/2/1947,1
1/3/1947,1
1/4/1947,1
1/5/1947,1
1/6/1947,1
1/7/1947,1
1/8/1947,1
1/9/1947,1
1/10/1947,1
1/11/1947,1
1/12/1947,1
1/1/1948,1
1/2/1948,1
1/3/1948,1
1/4/1948,1
1/5/1948,1
1/6/1948,1
1/7/1948,1
1/8/1948,1
1/9/1948,1
1/10/1948,1
1/11/1948,1
1/12/1948,1
1/1/1949,1
1/2/1949,1
1/3/1949,1
1/4/1949,1
1/5/1949,1
1/6/1949,1
1/7/1949,1
1/8/1949,1
1/9/1949,1
1/10/1949,1
1/11/1949,0
1/12/1949,0
1/1/1950,0
1/2/1950,0
1/3/1950,0
1/4/1950,0
1/5/1950,0
1/6/1950,0
1/7/1950,0
1/8/1950,0
1/9/1950,0
1/10/1950,0
1/11/1950,0
1/12/1950,0
1/1/1951,0
1/2/1951,0
1/3/1951,0
1/4/1951,0
1/5/1951,0
1/6/1951,0
1/7/1951,0
1/8/1951,1
1/9/1951,1
1/10/1951,1
1/11/1951,1
1/12/1951,1
1/1/1952,1
1/2/1952,1
1/3/1952,1
1/4/1952,1
1/5/1952,1
1/6/1952,1
1/7/1952,1
1/8/1952,1
1/9/1952,1
1/10/1952,1
1/11/1952,1
1/12/1952,1
1/1/1953,1
1/2/1953,1
1/3/1953,1
1/4/1953,1
1/5/1953,1
1/6/1953,1
1/7/1953,1
1/8/1953,1
1/9/1953,1
1/10/1953,1
1/11/1953,1
1/12/1953,1
1/1/1954,1
1/2/1954,1
1/3/1954,1
1/4/1954,1
1/5/1954,1
1/6/1954,1
1/7/1954,0
1/8/1954,0
1/9/1954,0
1/10/1954,0
1/11/1954,0
1/12/1954,0
1/1/1955,0
1/2/1955,0
1/3/1955,0
1/4/1955,0
1/5/1955,0
1/6/1955,0
1/7/1955,0
1/8/1955,0
1/9/1955,1
1/10/1955,1
1/11/1955,1
1/12/1955,1
1/1/1956,1
1/2/1956,1
1/3/1956,1
1/4/1956,1
1/5/1956,1
1/6/1956,1
1/7/1956,1
1/8/1956,1
1/9/1956,1
1/10/1956,1
1/11/1956,1
1/12/1956,1
1/1/1957,1
1/2/1957,1
1/3/1957,1
1/4/1957,1
1/5/1957,1
1/6/1957,1
1/7/1957,1
1/8/1957,1
1/9/1957,1
1/10/1957,1
1/11/1957,1
1/12/1957,1
1/1/1958,1
1/2/1958,1
1/3/1958,1
1/4/1958,1
1/5/1958,0
1/6/1958,0
1/7/1958,0
1/8/1958,0
1/9/1958,0
1/10/1958,0
1/11/1958,0
1/12/1958,0
1/1/1959,0
1/2/1959,0
1/3/1959,0
1/4/1959,0
1/5/1959,0
1/6/1959,1
1/7/1959,1
1/8/1959,1
1/9/1959,1
1/10/1959,1
1/11/1959,1
1/12/1959,1
1/1/1960,1
1/2/1960,1
1/3/1960,1
1/4/1960,1
1/5/1960,1
1/6/1960,1
1/7/1960,1
1/8/1960,1
1/9/1960,1
1/10/1960,1
1/11/1960,1
1/12/1960,1
1/1/1961,1
1/2/1961,1
1/3/1961,0
1/4/1961,0
1/5/1961,0
1/6/1961,0
1/7/1961,0
1/8/1961,0
1/9/1961,0
1/10/1961,0
1/11/1961,0
1/12/1961,0
1/1/1962,0
1/2/1962,0
1/3/1962,1
