"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2023","153.10","166.17","168.15","149.24","","-7.87%"
"09/01/2023","166.17","151.96","173.93","151.74","","9.35%"
"08/01/2023","151.96","147.61","153.01","141.02","","2.95%"
"07/01/2023","147.61","127.27","147.68","125.57","","15.98%"
"06/01/2023","127.27","122.93","133.32","120.72","","3.52%"
"05/01/2023","122.93","138.52","138.52","120.33","","-11.25%"
"04/01/2023","138.52","136.39","150.45","133.41","","1.56%"
"03/01/2023","136.39","139.10","146.10","116.02","","-1.95%"
"02/01/2023","139.10","142.77","145.83","130.79","","-2.57%"
"01/01/2023","142.77","145.79","149.62","131.69","","-2.07%"
"12/01/2022","145.79","146.62","151.64","127.64","","-0.56%"
"11/01/2022","146.62","155.93","168.89","133.97","","-5.97%"
"10/01/2022","155.93","141.23","166.32","141.23","","10.41%"
"09/01/2022","141.23","158.32","159.25","135.92","","-10.80%"
"08/01/2022","158.32","172.78","172.78","150.97","","-8.37%"
"07/01/2022","172.78","180.04","189.69","154.47","","-4.03%"
"06/01/2022","180.04","191.24","205.73","172.96","","-5.86%"
"05/01/2022","191.24","172.11","200.05","161.71","","11.12%"
"04/01/2022","172.11","164.08","179.47","152.20","","4.89%"
"03/01/2022","164.08","151.83","205.12","150.91","","8.06%"
"02/01/2022","151.83","137.63","159.40","135.22","","10.32%"
"01/01/2022","137.63","116.65","138.64","115.24","","17.98%"
"12/01/2021","116.65","102.37","120.11","96.68","","13.95%"
"11/01/2021","102.37","127.26","129.24","99.71","","-19.56%"
"10/01/2021","127.26","113.44","130.07","112.24","","12.19%"
"09/01/2021","113.44","103.20","115.90","101.14","","9.92%"
"08/01/2021","103.20","111.09","111.09","93.44","","-7.10%"
"07/01/2021","111.09","109.42","114.64","97.78","","1.53%"
"06/01/2021","109.42","98.47","110.86","98.47","","11.11%"
"05/01/2021","98.47","94.42","100.23","91.41","","4.29%"
"04/01/2021","94.42","87.93","97.20","85.67","","7.39%"
"03/01/2021","87.93","91.31","100.91","85.22","","-3.70%"
"02/01/2021","91.31","77.33","94.73","76.88","","18.06%"
"01/01/2021","77.33","71.93","79.94","70.06","","7.52%"
"12/01/2020","71.93","67.49","73.26","65.38","","6.57%"
"11/01/2020","67.49","53.69","68.82","50.80","","25.70%"
"10/01/2020","53.69","60.78","62.85","52.40","","-11.66%"
"09/01/2020","60.78","65.00","66.25","55.13","","-6.50%"
"08/01/2020","65.00","61.82","66.78","60.77","","5.15%"
"07/01/2020","61.82","60.59","65.24","59.51","","2.02%"
"06/01/2020","60.59","55.30","64.20","53.47","","9.57%"
"05/01/2020","55.30","35.69","55.67","34.04","","54.97%"
"04/01/2020","35.69","60.17","83.88","15.19","","-40.69%"
"03/01/2020","60.17","132.95","144.51","56.68","","-54.74%"
"02/01/2020","132.95","153.85","162.24","130.28","","-13.58%"
"01/01/2020","153.85","182.73","195.61","152.15","","-15.48%"
"12/01/2019","182.02","164.16","185.80","164.16","","10.88%"
"11/01/2019","164.16","161.33","174.79","161.00","","1.76%"
"10/01/2019","161.33","161.03","169.49","151.89","","0.18%"
"09/01/2019","161.03","163.87","187.96","157.18","","-1.73%"
"08/01/2019","163.87","173.99","173.99","150.08","","-5.82%"
"07/01/2019","173.99","173.94","181.20","163.00","","0.03%"
"06/01/2019","173.94","159.84","178.19","151.26","","8.82%"
"05/01/2019","159.84","191.33","191.36","159.69","","-16.46%"
"04/01/2019","191.33","180.11","199.35","180.11","","6.23%"
"03/01/2019","180.11","172.40","181.87","164.32","","4.47%"
"02/01/2019","172.40","163.21","174.17","155.54","","5.63%"
"01/01/2019","163.21","138.64","168.01","135.53","","17.72%"
"12/01/2018","138.64","156.12","167.22","129.51","","-11.20%"
"11/01/2018","156.12","200.75","200.96","151.55","","-22.23%"
"10/01/2018","200.75","224.75","235.89","200.75","","-10.68%"
"09/01/2018","224.75","213.58","226.17","204.58","","5.23%"
"08/01/2018","213.58","208.21","215.69","195.59","","2.58%"
"07/01/2018","208.21","220.19","223.49","200.79","","-5.44%"
"06/01/2018","220.19","198.84","220.97","188.33","","10.74%"
"05/01/2018","198.84","203.17","216.13","195.55","","-2.13%"
"04/01/2018","203.17","192.29","206.04","183.02","","5.66%"
"03/01/2018","192.29","182.34","197.03","177.76","","5.46%"
"02/01/2018","182.34","190.82","195.42","171.33","","-4.45%"
"01/01/2018","190.82","177.87","196.43","176.99","","7.28%"
"12/01/2017","177.87","169.10","178.02","164.45","","5.18%"
"11/01/2017","169.10","161.41","173.82","159.40","","5.13%"
"10/01/2017","160.85","153.69","161.41","146.19","","4.56%"
