Date,Value,YOY (%)
2023-01-01,5.94,40.09
2022-01-01,4.24,-10.17
2021-01-01,4.72,-9.23
2020-01-01,5.20,-12.75
2019-01-01,5.96,17.32
2018-01-01,5.08,-10.72
2017-01-01,5.69,-8.96
2016-01-01,6.25,8.70
2015-01-01,5.75,15.00
2014-01-01,5.00,-13.79
2013-01-01,5.80,-3.33
2012-01-01,6.00,20.00
2011-01-01,5.00,11.11
2010-01-01,4.50,-10.00
2009-01-01,5.00,4.38
2008-01-01,4.79,-2.44
2007-01-01,4.91,2.29
2006-01-01,4.80,-0.83
2005-01-01,4.84,0.41
2004-01-01,4.82,6.87
2003-01-01,4.51,-18.15
2002-01-01,5.51,0.00
2001-01-01,5.51,
