Date,Value,YOY (%)
2023-01-01,11.13,54.37
2022-01-01,7.21,-5.50
2021-01-01,7.63,-6.50
2020-01-01,8.16,-19.45
2019-01-01,10.13,18.62
2018-01-01,8.54,-14.26
2017-01-01,9.96,-9.21
2016-01-01,10.97,27.56
2015-01-01,8.60,9.55
2014-01-01,7.85,-6.88
2013-01-01,8.43,-2.32
2012-01-01,8.63,7.88
2011-01-01,8.00,6.67
2010-01-01,7.50,-21.05
2009-01-01,9.50,21.95
2008-01-01,7.79,-10.05
2007-01-01,8.66,-15.10
2006-01-01,10.20,-5.90
2005-01-01,10.84,-17.06
2004-01-01,13.07,-17.07
2003-01-01,15.76,57.44
2002-01-01,10.01,0.00
2001-01-01,10.01,
