Date,Value,YOY (%),index
2023-01-01,7.16,44.94,000001.SS
2022-01-01,4.94,-8.52,000001.SS
2021-01-01,5.4,-8.32,000001.SS
2020-01-01,5.89,-15.13,000001.SS
2019-01-01,6.94,17.83,000001.SS
2018-01-01,5.89,-10.08,000001.SS
2017-01-01,6.55,-9.03,000001.SS
2016-01-01,7.2,8.27,000001.SS
2015-01-01,6.65,12.71,000001.SS
2014-01-01,5.9,-13.87,000001.SS
2013-01-01,6.85,-2.84,000001.SS
2012-01-01,7.05,16.53,000001.SS
2011-01-01,6.05,3.42,000001.SS
2010-01-01,5.85,-17.61,000001.SS
2009-01-01,7.1,21.58,000001.SS
2008-01-01,5.84,-4.42,000001.SS
2007-01-01,6.11,1.83,000001.SS
2006-01-01,6.0,-3.07,000001.SS
2005-01-01,6.19,0.32,000001.SS
2004-01-01,6.17,-5.66,000001.SS
2003-01-01,6.54,1.24,000001.SS
2002-01-01,6.46,0.0,000001.SS
2001-01-01,6.46,,000001.SS
