Date,Value,YOY (%),index
2023-01-01,6.79,43.55,^FCHI
2022-01-01,4.73,-9.04,^FCHI
2021-01-01,5.2,-8.61,^FCHI
2020-01-01,5.69,-14.44,^FCHI
2019-01-01,6.65,17.7,^FCHI
2018-01-01,5.65,-11.72,^FCHI
2017-01-01,6.4,-8.96,^FCHI
2016-01-01,7.03,10.71,^FCHI
2015-01-01,6.35,13.39,^FCHI
2014-01-01,5.6,-9.39,^FCHI
2013-01-01,6.18,3.0,^FCHI
2012-01-01,6.0,20.0,^FCHI
2011-01-01,5.0,11.11,^FCHI
2010-01-01,4.5,-10.0,^FCHI
2009-01-01,5.0,4.38,^FCHI
2008-01-01,4.79,-2.44,^FCHI
2007-01-01,4.91,2.29,^FCHI
2006-01-01,4.8,-0.83,^FCHI
2005-01-01,4.84,0.41,^FCHI
2004-01-01,4.82,6.87,^FCHI
2003-01-01,4.51,-18.15,^FCHI
2002-01-01,5.51,0.0,^FCHI
2001-01-01,5.51,,^FCHI
