Date,Value,YOY (%)
2023-01-01,6.97,44.01
2022-01-01,4.84,-8.85
2021-01-01,5.31,-6.68
2020-01-01,5.69,-14.44
2019-01-01,6.65,17.70
2018-01-01,5.65,-9.60
2017-01-01,6.25,-9.16
2016-01-01,6.88,8.35
2015-01-01,6.35,13.39
2014-01-01,5.60,-9.39
2013-01-01,6.18,-3.13
2012-01-01,6.38,18.59
2011-01-01,5.38,-0.37
2010-01-01,5.40,-16.92
2009-01-01,6.50,17.33
2008-01-01,5.54,-4.65
2007-01-01,5.81,1.93
2006-01-01,5.70,-3.23
2005-01-01,5.89,-2.16
2004-01-01,6.02,2.73
2003-01-01,5.86,-9.29
2002-01-01,6.46,0.00
2001-01-01,6.46,
