Date,Value,YOY (%)
2023-01-01,9.73,51.56
2022-01-01,6.42,-6.28
2021-01-01,6.85,-3.25
2020-01-01,7.08,-17.67
2019-01-01,8.60,18.29
2018-01-01,7.27,-17.57
2017-01-01,8.82,-9.17
2016-01-01,9.71,7.29
2015-01-01,9.05,9.04
2014-01-01,8.30,-5.68
2013-01-01,8.80,-2.22
2012-01-01,9.00,4.65
2011-01-01,8.60,-4.44
2010-01-01,9.00,-18.18
2009-01-01,11.00,28.81
2008-01-01,8.54,-1.39
2007-01-01,8.66,-2.15
2006-01-01,8.85,-5.25
2005-01-01,9.34,33.43
2004-01-01,7.00,-33.40
2003-01-01,10.51,23.50
2002-01-01,8.51,0.00
2001-01-01,8.51,
