Date,Value,YOY (%),index
2023-01-01,7.16,44.94,^N225
2022-01-01,4.94,-8.52,^N225
2021-01-01,5.4,-8.32,^N225
2020-01-01,5.89,-15.13,^N225
2019-01-01,6.94,17.83,^N225
2018-01-01,5.89,-11.96,^N225
2017-01-01,6.69,-9.1,^N225
2016-01-01,7.36,8.24,^N225
2015-01-01,6.8,15.25,^N225
2014-01-01,5.9,-13.87,^N225
2013-01-01,6.85,-2.84,^N225
2012-01-01,7.05,22.61,^N225
2011-01-01,5.75,6.48,^N225
2010-01-01,5.4,-20.59,^N225
2009-01-01,6.8,16.44,^N225
2008-01-01,5.84,-4.42,^N225
2007-01-01,6.11,1.83,^N225
2006-01-01,6.0,-3.07,^N225
2005-01-01,6.19,0.32,^N225
2004-01-01,6.17,-3.44,^N225
2003-01-01,6.39,4.58,^N225
2002-01-01,6.11,0.0,^N225
2001-01-01,6.11,,^N225
