Date,Value,YOY (%)
2023-09-01,0.81,-7.95
2023-08-01,0.79,-5.95
2023-07-01,0.78,-6.02
2023-06-01,0.79,-2.47
2023-05-01,0.80,0.00
2023-04-01,0.80,3.90
2023-03-01,0.82,7.89
2023-02-01,0.83,12.16
2023-01-01,0.82,10.81
2022-12-01,0.82,9.33
2022-11-01,0.85,14.86
2022-10-01,0.88,20.55
2022-09-01,0.88,20.55
2022-08-01,0.84,15.07
2022-07-01,0.83,15.28
2022-06-01,0.81,14.08
2022-05-01,0.80,12.68
2022-04-01,0.77,6.94
2022-03-01,0.76,5.56
2022-02-01,0.74,2.78
2022-01-01,0.74,1.37
2021-12-01,0.75,1.35
2021-11-01,0.74,-2.63
2021-10-01,0.73,-5.19
2021-09-01,0.73,-5.19
2021-08-01,0.73,-3.95
2021-07-01,0.72,-8.86
2021-06-01,0.71,-11.25
2021-05-01,0.71,-12.35
2021-04-01,0.72,-11.11
2021-03-01,0.72,-11.11
2021-02-01,0.72,-6.49
2021-01-01,0.73,-5.19
2020-12-01,0.74,-2.63
2020-11-01,0.76,-2.56
2020-10-01,0.77,-2.53
2020-09-01,0.77,-4.94
2020-08-01,0.76,-7.32
2020-07-01,0.79,-1.25
2020-06-01,0.80,1.27
2020-05-01,0.81,3.85
2020-04-01,0.81,5.19
2020-03-01,0.81,6.58
2020-02-01,0.77,0.00
2020-01-01,0.77,-1.28
2019-12-01,0.76,-3.80
2019-11-01,0.78,0.00
2019-10-01,0.79,2.60
2019-09-01,0.81,5.19
2019-08-01,0.82,5.13
2019-07-01,0.80,5.26
2019-06-01,0.79,5.33
2019-05-01,0.78,5.41
2019-04-01,0.77,8.45
2019-03-01,0.76,5.56
2019-02-01,0.77,6.94
2019-01-01,0.78,8.33
2018-12-01,0.79,5.33
2018-11-01,0.78,2.63
2018-10-01,0.77,1.32
2018-09-01,0.77,2.67
2018-08-01,0.78,1.30
2018-07-01,0.76,-1.30
2018-06-01,0.75,-3.85
2018-05-01,0.74,-3.90
2018-04-01,0.71,-10.13
2018-03-01,0.72,-11.11
2018-02-01,0.72,-10.00
2018-01-01,0.72,-11.11
2017-12-01,0.75,-6.25
2017-11-01,0.76,-5.00
2017-10-01,0.76,-6.17
2017-09-01,0.75,-1.32
2017-08-01,0.77,1.32
2017-07-01,0.77,1.32
2017-06-01,0.78,11.43
2017-05-01,0.77,11.59
2017-04-01,0.79,12.86
2017-03-01,0.81,15.71
2017-02-01,0.80,14.29
2017-01-01,0.81,15.71
2016-12-01,0.80,19.40
2016-11-01,0.80,21.21
2016-10-01,0.81,24.62
2016-09-01,0.76,16.92
2016-08-01,0.76,18.75
2016-07-01,0.76,18.75
2016-06-01,0.70,9.37
2016-05-01,0.69,6.15
2016-04-01,0.70,4.48
2016-03-01,0.70,4.48
2016-02-01,0.70,7.69
2016-01-01,0.70,6.06
2015-12-01,0.67,4.69
2015-11-01,0.66,4.76
2015-10-01,0.65,4.84
2015-09-01,0.65,6.56
2015-08-01,0.64,6.67
2015-07-01,0.64,8.47
2015-06-01,0.64,8.47
2015-05-01,0.65,10.17
2015-04-01,0.67,11.67
2015-03-01,0.67,11.67
2015-02-01,0.65,8.33
2015-01-01,0.66,8.20
2014-12-01,0.64,4.92
2014-11-01,0.63,1.61
2014-10-01,0.62,0.00
2014-09-01,0.61,-3.17
2014-08-01,0.60,-7.69
2014-07-01,0.59,-10.61
2014-06-01,0.59,-9.23
2014-05-01,0.59,-9.23
2014-04-01,0.60,-7.69
2014-03-01,0.60,-9.09
2014-02-01,0.60,-7.69
2014-01-01,0.61,-3.17
2013-12-01,0.61,-1.61
2013-11-01,0.62,-1.59
2013-10-01,0.62,0.00
2013-09-01,0.63,1.61
2013-08-01,0.65,1.56
2013-07-01,0.66,3.13
2013-06-01,0.65,1.56
2013-05-01,0.65,3.17
2013-04-01,0.65,3.17
2013-03-01,0.66,4.76
2013-02-01,0.65,3.17
2013-01-01,0.63,-1.56
2012-12-01,0.62,-3.13
2012-11-01,0.63,0.00
2012-10-01,0.62,-1.59
2012-09-01,0.62,-1.59
2012-08-01,0.64,4.92
2012-07-01,0.64,3.23
2012-06-01,0.64,3.23
2012-05-01,0.63,3.28
2012-04-01,0.63,3.28
2012-03-01,0.63,1.61
2012-02-01,0.63,1.61
2012-01-01,0.64,1.59
2011-12-01,0.64,0.00
2011-11-01,0.63,0.00
2011-10-01,0.63,0.00
2011-09-01,0.63,-1.56
2011-08-01,0.61,-4.69
2011-07-01,0.62,-4.62
2011-06-01,0.62,-8.82
2011-05-01,0.61,-10.29
2011-04-01,0.61,-6.15
2011-03-01,0.62,-6.06
2011-02-01,0.62,-3.13
2011-01-01,0.63,1.61
2010-12-01,0.64,3.23
2010-11-01,0.63,5.00
2010-10-01,0.63,1.61
2010-09-01,0.64,4.92
2010-08-01,0.64,4.92
2010-07-01,0.65,6.56
2010-06-01,0.68,11.48
2010-05-01,0.68,4.62
2010-04-01,0.65,-4.41
2010-03-01,0.66,-7.04
2010-02-01,0.64,-7.25
2010-01-01,0.62,-10.14
2009-12-01,0.62,-7.46
2009-11-01,0.60,-7.69
2009-10-01,0.62,5.08
2009-09-01,0.61,8.93
2009-08-01,0.61,15.09
2009-07-01,0.61,22.00
2009-06-01,0.61,19.61
2009-05-01,0.65,27.45
2009-04-01,0.68,33.33
2009-03-01,0.71,42.00
2009-02-01,0.69,35.29
2009-01-01,0.69,35.29
2008-12-01,0.67,34.00
2008-11-01,0.65,35.42
2008-10-01,0.59,20.41
2008-09-01,0.56,12.00
2008-08-01,0.53,6.00
2008-07-01,0.50,2.04
2008-06-01,0.51,2.00
2008-05-01,0.51,2.00
2008-04-01,0.51,2.00
2008-03-01,0.50,-1.96
2008-02-01,0.51,0.00
2008-01-01,0.51,0.00
2007-12-01,0.50,-1.96
2007-11-01,0.48,-7.69
2007-10-01,0.49,-7.55
2007-09-01,0.50,-5.66
2007-08-01,0.50,-5.66
2007-07-01,0.49,-9.26
2007-06-01,0.50,-7.41
2007-05-01,0.50,-7.41
2007-04-01,0.50,-12.28
2007-03-01,0.51,-10.53
2007-02-01,0.51,-10.53
2007-01-01,0.51,-10.53
2006-12-01,0.51,-10.53
2006-11-01,0.52,-10.34
2006-10-01,0.53,-7.02
2006-09-01,0.53,-3.64
2006-08-01,0.53,-5.36
2006-07-01,0.54,-5.26
2006-06-01,0.54,-1.82
2006-05-01,0.54,0.00
2006-04-01,0.57,7.55
2006-03-01,0.57,7.55
2006-02-01,0.57,7.55
2006-01-01,0.57,7.55
2005-12-01,0.57,9.62
2005-11-01,0.58,7.41
2005-10-01,0.57,3.64
2005-09-01,0.55,-1.79
2005-08-01,0.56,1.82
2005-07-01,0.57,5.56
2005-06-01,0.55,0.00
2005-05-01,0.54,-3.57
2005-04-01,0.53,-5.36
2005-03-01,0.53,-3.64
2005-02-01,0.53,-1.85
2005-01-01,0.53,-3.64
2004-12-01,0.52,-8.77
2004-11-01,0.54,-8.47
2004-10-01,0.55,-8.33
2004-09-01,0.56,-9.68
2004-08-01,0.55,-12.70
2004-07-01,0.54,-12.90
2004-06-01,0.55,-8.33
2004-05-01,0.56,-9.68
2004-04-01,0.56,-12.50
2004-03-01,0.55,-12.70
2004-02-01,0.54,-12.90
2004-01-01,0.55,-11.29
2003-12-01,0.57,-9.52
2003-11-01,0.59,-7.81
2003-10-01,0.60,-6.25
2003-09-01,0.62,-3.13
