Date,Value,YOY (%)
2028-01-01,8.10,0.00
2027-01-01,8.10,0.00
2026-01-01,8.10,0.00
2025-01-01,8.10,0.00
2024-01-01,8.10,-1.22
2023-01-01,8.20,3.80
2022-01-01,7.90,-28.83
2021-01-01,11.10,-21.83
2020-01-01,14.20,27.93
2019-01-01,11.10,-5.13
2018-01-01,11.70,-1.68
2017-01-01,11.90,-2.46
2016-01-01,12.20,34.07
2015-01-01,9.10,37.88
2014-01-01,6.60,4.76
2013-01-01,6.30,-8.70
2012-01-01,6.90,-11.54
2011-01-01,7.80,-8.24
2010-01-01,8.50,-12.37
2009-01-01,9.70,3.19
2008-01-01,9.40,-13.76
2007-01-01,10.90,-5.22
2006-01-01,11.50,0.88
2005-01-01,11.40,-11.63
2004-01-01,12.90,-5.84
2003-01-01,13.70,5.38
2002-01-01,13.00,4.00
2001-01-01,12.50,-10.07
2000-01-01,13.90,-5.44
1999-01-01,14.70,0.00
1998-01-01,14.70,26.72
1997-01-01,11.60,3.57
1996-01-01,11.20,13.13
1995-01-01,9.90,-5.71
1994-01-01,10.50,-4.55
1993-01-01,11.00,-5.17
1992-01-01,11.60,14.85
1991-01-01,10.10,
