Date,Value,YOY (%)
2022-01-01,4.89,7.47
2021-01-01,4.55,-9.00
2020-01-01,5.00,8.70
2019-01-01,4.60,6.98
2018-01-01,4.30,-2.27
2017-01-01,4.40,-2.22
2016-01-01,4.50,-2.17
2015-01-01,4.60,0.00
2014-01-01,4.60,0.00
2013-01-01,4.60,0.00
2012-01-01,4.60,2.22
2011-01-01,4.50,0.00
2010-01-01,4.50,-4.26
2009-01-01,4.70,2.17
2008-01-01,4.60,6.98
2007-01-01,4.30,-2.27
2006-01-01,4.40,-2.22
2005-01-01,4.50,0.00
2004-01-01,4.50,-2.17
2003-01-01,4.60,9.52
2002-01-01,4.20,10.53
2001-01-01,3.80,15.15
2000-01-01,3.30,0.00
1999-01-01,3.30,3.12
1998-01-01,3.20,0.00
1997-01-01,3.20,3.23
1996-01-01,3.10,3.33
1995-01-01,3.00,3.45
1994-01-01,2.90,7.41
1993-01-01,2.70,12.50
1992-01-01,2.40,0.00
1991-01-01,2.40,
