Date,Value,YOY (%)
2022-01-01,3.61,-32.52
2021-01-01,5.35,-33.54
2020-01-01,8.05,119.35
2019-01-01,3.67,-5.90
2018-01-01,3.90,-10.55
2017-01-01,4.36,-10.47
2016-01-01,4.87,-7.77
2015-01-01,5.28,-14.42
2014-01-01,6.17,-16.40
2013-01-01,7.38,-8.55
2012-01-01,8.07,-9.83
2011-01-01,8.95,-7.06
2010-01-01,9.63,4.11
2009-01-01,9.25,60.03
2008-01-01,5.78,25.11
2007-01-01,4.62,0.00
2006-01-01,4.62,-9.06
2005-01-01,5.08,-8.14
2004-01-01,5.53,-7.68
2003-01-01,5.99,3.63
2002-01-01,5.78,22.20
2001-01-01,4.73,18.55
2000-01-01,3.99,-5.45
1999-01-01,4.22,-6.43
1998-01-01,4.51,-9.80
1997-01-01,5.00,-8.26
1996-01-01,5.45,-3.54
1995-01-01,5.65,-7.68
1994-01-01,6.12,-11.30
1993-01-01,6.90,-8.00
1992-01-01,7.50,10.29
1991-01-01,6.80,
