Date,Value,YOY (%),index
2028-01-01,8.1,0.0,^BVSP
2027-01-01,8.1,0.0,^BVSP
2026-01-01,8.1,0.0,^BVSP
2025-01-01,8.1,0.0,^BVSP
2024-01-01,8.1,-1.22,^BVSP
2023-01-01,8.2,3.8,^BVSP
2022-01-01,7.9,-28.83,^BVSP
2021-01-01,11.1,-21.83,^BVSP
2020-01-01,14.2,27.93,^BVSP
2019-01-01,11.1,-5.13,^BVSP
2018-01-01,11.7,-1.68,^BVSP
2017-01-01,11.9,-2.46,^BVSP
2016-01-01,12.2,34.07,^BVSP
2015-01-01,9.1,37.88,^BVSP
2014-01-01,6.6,4.76,^BVSP
2013-01-01,6.3,-8.7,^BVSP
2012-01-01,6.9,-11.54,^BVSP
2011-01-01,7.8,-8.24,^BVSP
2010-01-01,8.5,-12.37,^BVSP
2009-01-01,9.7,3.19,^BVSP
2008-01-01,9.4,-13.76,^BVSP
2007-01-01,10.9,-5.22,^BVSP
2006-01-01,11.5,0.88,^BVSP
2005-01-01,11.4,-11.63,^BVSP
2004-01-01,12.9,-5.84,^BVSP
2003-01-01,13.7,5.38,^BVSP
2002-01-01,13.0,4.0,^BVSP
2001-01-01,12.5,-10.07,^BVSP
2000-01-01,13.9,-5.44,^BVSP
1999-01-01,14.7,0.0,^BVSP
1998-01-01,14.7,26.72,^BVSP
1997-01-01,11.6,3.57,^BVSP
1996-01-01,11.2,13.13,^BVSP
1995-01-01,9.9,-5.71,^BVSP
1994-01-01,10.5,-4.55,^BVSP
1993-01-01,11.0,-5.17,^BVSP
1992-01-01,11.6,14.85,^BVSP
1991-01-01,10.1,,^BVSP
