Date,Value,YOY (%),index
2022-01-01,7.45,-5.22,^FCHI
2021-01-01,7.86,-1.87,^FCHI
2020-01-01,8.01,-5.09,^FCHI
2019-01-01,8.44,-6.43,^FCHI
2018-01-01,9.02,-4.14,^FCHI
2017-01-01,9.41,-6.27,^FCHI
2016-01-01,10.04,-3.0,^FCHI
2015-01-01,10.35,0.58,^FCHI
2014-01-01,10.29,3.73,^FCHI
2013-01-01,9.92,5.53,^FCHI
2012-01-01,9.4,6.7,^FCHI
2011-01-01,8.81,-0.68,^FCHI
2010-01-01,8.87,1.49,^FCHI
2009-01-01,8.74,23.8,^FCHI
2008-01-01,7.06,-7.83,^FCHI
2007-01-01,7.66,-9.35,^FCHI
2006-01-01,8.45,-0.47,^FCHI
2005-01-01,8.49,-4.71,^FCHI
2004-01-01,8.91,7.22,^FCHI
2003-01-01,8.31,-4.48,^FCHI
2002-01-01,8.7,1.05,^FCHI
2001-01-01,8.61,-15.75,^FCHI
2000-01-01,10.22,-14.69,^FCHI
1999-01-01,11.98,-0.83,^FCHI
1998-01-01,12.08,-3.9,^FCHI
1997-01-01,12.57,1.62,^FCHI
1996-01-01,12.37,4.48,^FCHI
1995-01-01,11.84,-5.96,^FCHI
1994-01-01,12.59,11.22,^FCHI
1993-01-01,11.32,10.87,^FCHI
1992-01-01,10.21,11.83,^FCHI
1991-01-01,9.13,,^FCHI
