Date,Value,YOY (%),index
2022-01-01,2.99,-16.25,^GDAXI
2021-01-01,3.57,-6.3,^GDAXI
2020-01-01,3.81,21.34,^GDAXI
2019-01-01,3.14,-7.1,^GDAXI
2018-01-01,3.38,-9.87,^GDAXI
2017-01-01,3.75,-8.98,^GDAXI
2016-01-01,4.12,-10.82,^GDAXI
2015-01-01,4.62,-7.23,^GDAXI
2014-01-01,4.98,-4.78,^GDAXI
2013-01-01,5.23,-2.79,^GDAXI
2012-01-01,5.38,-7.56,^GDAXI
2011-01-01,5.82,-16.5,^GDAXI
2010-01-01,6.97,-9.95,^GDAXI
2009-01-01,7.74,2.79,^GDAXI
2008-01-01,7.53,-13.05,^GDAXI
2007-01-01,8.66,-15.51,^GDAXI
2006-01-01,10.25,-8.24,^GDAXI
2005-01-01,11.17,4.1,^GDAXI
2004-01-01,10.73,9.71,^GDAXI
2003-01-01,9.78,15.33,^GDAXI
2002-01-01,8.48,9.14,^GDAXI
2001-01-01,7.77,-1.89,^GDAXI
2000-01-01,7.92,-10.61,^GDAXI
1999-01-01,8.86,-9.5,^GDAXI
1998-01-01,9.79,-0.71,^GDAXI
1997-01-01,9.86,11.66,^GDAXI
1996-01-01,8.83,8.21,^GDAXI
1995-01-01,8.16,-6.53,^GDAXI
1994-01-01,8.73,13.67,^GDAXI
1993-01-01,7.68,21.52,^GDAXI
1992-01-01,6.32,18.8,^GDAXI
1991-01-01,5.32,,^GDAXI
