Date,Value,YOY (%),index
2022-01-01,5.06,-2.13,^HSI
2021-01-01,5.17,-11.32,^HSI
2020-01-01,5.83,96.96,^HSI
2019-01-01,2.96,-2.63,^HSI
2018-01-01,3.04,-1.62,^HSI
2017-01-01,3.09,-8.85,^HSI
2016-01-01,3.39,2.11,^HSI
2015-01-01,3.32,0.61,^HSI
2014-01-01,3.3,-2.94,^HSI
2013-01-01,3.4,3.34,^HSI
2012-01-01,3.29,-3.8,^HSI
2011-01-01,3.42,-20.65,^HSI
2010-01-01,4.31,-18.06,^HSI
2009-01-01,5.26,47.75,^HSI
2008-01-01,3.56,-11.22,^HSI
2007-01-01,4.01,-15.93,^HSI
2006-01-01,4.77,-14.52,^HSI
2005-01-01,5.58,-17.21,^HSI
2004-01-01,6.74,-14.25,^HSI
2003-01-01,7.86,7.97,^HSI
2002-01-01,7.28,43.03,^HSI
2001-01-01,5.09,3.46,^HSI
2000-01-01,4.92,-21.28,^HSI
1999-01-01,6.25,36.46,^HSI
1998-01-01,4.58,106.31,^HSI
1997-01-01,2.22,-21.55,^HSI
1996-01-01,2.83,-12.11,^HSI
1995-01-01,3.22,69.47,^HSI
1994-01-01,1.9,-3.06,^HSI
1993-01-01,1.96,0.0,^HSI
1992-01-01,1.96,8.89,^HSI
1991-01-01,1.8,,^HSI
