Date,Value,YOY (%)
2022-01-01,7.33,-4.93
2021-01-01,7.71,-3.63
2020-01-01,8.00,51.80
2019-01-01,5.27,-1.13
2018-01-01,5.33,-1.48
2017-01-01,5.41,-1.81
2016-01-01,5.51,-0.90
2015-01-01,5.56,-0.71
2014-01-01,5.60,-1.23
2013-01-01,5.67,0.18
2012-01-01,5.66,0.18
2011-01-01,5.65,0.00
2010-01-01,5.65,0.71
2009-01-01,5.61,4.66
2008-01-01,5.36,-0.92
2007-01-01,5.41,-1.99
2006-01-01,5.52,-2.30
2005-01-01,5.65,-1.22
2004-01-01,5.72,-0.87
2003-01-01,5.77,0.00
2002-01-01,5.77,0.70
2001-01-01,5.73,-0.35
2000-01-01,5.75,-0.52
1999-01-01,5.78,0.70
1998-01-01,5.74,0.00
1997-01-01,5.74,-0.17
1996-01-01,5.75,0.00
1995-01-01,5.75,0.00
1994-01-01,5.75,0.52
1993-01-01,5.72,1.96
1992-01-01,5.61,1.08
1991-01-01,5.55,
