Date,Value,YOY (%),index
2022-01-01,2.64,-5.71,^N225
2021-01-01,2.8,0.0,^N225
2020-01-01,2.8,16.67,^N225
2019-01-01,2.4,0.0,^N225
2018-01-01,2.4,-14.29,^N225
2017-01-01,2.8,-9.68,^N225
2016-01-01,3.1,-8.82,^N225
2015-01-01,3.4,-5.56,^N225
2014-01-01,3.6,-10.0,^N225
2013-01-01,4.0,-6.98,^N225
2012-01-01,4.3,-4.87,^N225
2011-01-01,4.52,-11.37,^N225
2010-01-01,5.1,0.0,^N225
2009-01-01,5.1,27.5,^N225
2008-01-01,4.0,2.56,^N225
2007-01-01,3.9,-4.88,^N225
2006-01-01,4.1,-6.82,^N225
2005-01-01,4.4,-6.38,^N225
2004-01-01,4.7,-11.32,^N225
2003-01-01,5.3,-1.85,^N225
2002-01-01,5.4,8.0,^N225
2001-01-01,5.0,6.38,^N225
2000-01-01,4.7,0.0,^N225
1999-01-01,4.7,14.63,^N225
1998-01-01,4.1,20.59,^N225
1997-01-01,3.4,0.0,^N225
1996-01-01,3.4,6.25,^N225
1995-01-01,3.2,10.34,^N225
1994-01-01,2.9,16.0,^N225
1993-01-01,2.5,13.64,^N225
1992-01-01,2.2,4.76,^N225
1991-01-01,2.1,,^N225
