Date,Value,YOY (%)
2022-01-01,4.20,-17.65
2021-01-01,5.10,5.81
2020-01-01,4.82,9.79
2019-01-01,4.39,-6.79
2018-01-01,4.71,-1.87
2017-01-01,4.80,-2.44
2016-01-01,4.92,2.50
2015-01-01,4.80,-0.62
2014-01-01,4.83,1.68
2013-01-01,4.75,5.79
2012-01-01,4.49,2.05
2011-01-01,4.40,-8.33
2010-01-01,4.80,16.50
2009-01-01,4.12,22.99
2008-01-01,3.35,-8.22
2007-01-01,3.65,-8.75
2006-01-01,4.00,-9.91
2005-01-01,4.44,2.78
2004-01-01,4.32,4.85
2003-01-01,4.12,41.10
2002-01-01,2.92,17.27
2001-01-01,2.49,-6.74
2000-01-01,2.67,-15.24
1999-01-01,3.15,-12.50
1998-01-01,3.60,-14.29
1997-01-01,4.20,13.21
1996-01-01,3.71,11.41
1995-01-01,3.33,-14.18
1994-01-01,3.88,4.30
1993-01-01,3.72,32.38
1992-01-01,2.81,57.87
1991-01-01,1.78,
