Date,Value,YOY (%)
2020-01-01,20.50,11.84
2019-01-01,18.33,24.44
2018-01-01,14.73,-12.63
2017-01-01,16.86,-21.44
2016-01-01,21.46,32.22
2015-01-01,16.23,6.64
2014-01-01,15.22,-15.30
2013-01-01,17.97,-24.84
2012-01-01,23.91,21.74
2011-01-01,19.64,-36.58
2010-01-01,30.97,-34.23
2009-01-01,47.09,37.85
2008-01-01,34.16,96.66
2007-01-01,17.37,35.39
2006-01-01,12.83,-13.25
2005-01-01,14.79,-16.20
2004-01-01,17.65,-10.59
2003-01-01,19.74,-23.61
2002-01-01,25.84,-11.60
2001-01-01,29.23,-3.56
2000-01-01,30.31,-24.85
1999-01-01,40.33,-7.46
1998-01-01,43.58,111.25
1997-01-01,20.63,9.10
1996-01-01,18.91,-29.55
1995-01-01,26.84,-6.61
1994-01-01,28.74,27.28
1993-01-01,22.58,23.05
1992-01-01,18.35,-5.66
1991-01-01,19.45,-36.29
1990-01-01,30.53,-7.43
1989-01-01,32.98,-25.45
1988-01-01,44.24,90.20
1987-01-01,23.26,15.55
1986-01-01,20.13,-28.87
1985-01-01,28.30,-14.78
1984-01-01,33.21,-10.22
1983-01-01,36.99,8.89
1982-01-01,33.97,6.16
1981-01-01,32.00,23.31
1980-01-01,25.95,2.69
1979-01-01,25.27,66.14
1978-01-01,15.21,-18.88
1977-01-01,18.75,-40.36
1976-01-01,31.44,-34.55
1975-01-01,48.04,-3.80
1974-01-01,57.00,14.14
1973-01-01,49.94,77.41
1972-01-01,28.15,53.83
1971-01-01,18.30,
