Date,Value,YOY (%)
2020-01-01,21.52,83.93
2019-01-01,11.70,21.62
2018-01-01,9.62,-28.10
2017-01-01,13.38,-23.15
2016-01-01,17.41,38.17
2015-01-01,12.60,12.10
2014-01-01,11.24,-20.11
2013-01-01,14.07,-27.73
2012-01-01,19.47,10.00
2011-01-01,17.70,-22.30
2010-01-01,22.78,-32.24
2009-01-01,33.62,51.24
2008-01-01,22.23,65.40
2007-01-01,13.44,28.12
2006-01-01,10.49,13.77
2005-01-01,9.22,-38.70
2004-01-01,15.04,-39.57
2003-01-01,24.89,19.26
2002-01-01,20.87,20.36
2001-01-01,17.34,1.70
2000-01-01,17.05,-7.79
1999-01-01,18.49,31.13
1998-01-01,14.10,53.26
1997-01-01,9.20,10.44
1996-01-01,8.33,-20.89
1995-01-01,10.53,1.64
1994-01-01,10.36,-21.52
1993-01-01,13.20,2.25
1992-01-01,12.91,-4.65
1991-01-01,13.54,7.38
1990-01-01,12.61,-16.77
1989-01-01,15.15,-40.28
1988-01-01,25.37,65.71
1987-01-01,15.31,21.80
1986-01-01,12.57,
