Date,Value,YOY (%),index
2020-01-01,34.58,61.29,^BVSP
2019-01-01,21.44,5.0,^BVSP
2018-01-01,20.42,-17.16,^BVSP
2017-01-01,24.65,-7.37,^BVSP
2016-01-01,26.61,7.3,^BVSP
2015-01-01,24.8,16.43,^BVSP
2014-01-01,21.3,-3.53,^BVSP
2013-01-01,22.08,-9.73,^BVSP
2012-01-01,24.46,14.19,^BVSP
2011-01-01,21.42,-32.34,^BVSP
2010-01-01,31.66,-34.64,^BVSP
2009-01-01,48.44,47.91,^BVSP
2008-01-01,32.75,30.37,^BVSP
2007-01-01,25.12,1.05,^BVSP
2006-01-01,24.86,-6.68,^BVSP
2005-01-01,26.64,-4.82,^BVSP
2004-01-01,27.99,-12.78,^BVSP
2003-01-01,32.09,-4.66,^BVSP
2002-01-01,33.66,3.63,^BVSP
2001-01-01,32.48,-20.31,^BVSP
2000-01-01,40.76,-33.68,^BVSP
1999-01-01,61.46,29.06,^BVSP
1998-01-01,47.62,65.18,^BVSP
1997-01-01,28.83,-32.64,^BVSP
1996-01-01,42.8,-32.5,^BVSP
1995-01-01,63.41,3.8,^BVSP
1994-01-01,61.09,-37.48,^BVSP
1993-01-01,97.71,16.13,^BVSP
1992-01-01,84.14,5.81,^BVSP
1991-01-01,79.52,-13.58,^BVSP
1990-01-01,92.02,-20.49,^BVSP
1989-01-01,115.74,34.63,^BVSP
1988-01-01,85.97,-1.87,^BVSP
1987-01-01,87.61,-12.99,^BVSP
1986-01-01,100.69,-22.76,^BVSP
1985-01-01,130.36,,^BVSP
