Date,Value,YOY (%)
2020-01-01,24.51,64.06
2019-01-01,14.94,19.81
2018-01-01,12.47,-26.26
2017-01-01,16.91,-27.83
2016-01-01,23.43,27.75
2015-01-01,18.34,27.01
2014-01-01,14.44,-22.16
2013-01-01,18.55,-30.26
2012-01-01,26.60,30.14
2011-01-01,20.44,-23.53
2010-01-01,26.73,-26.00
2009-01-01,36.12,64.56
2008-01-01,21.95,41.80
2007-01-01,15.48,13.49
2006-01-01,13.64,-3.47
2005-01-01,14.13,-44.02
2004-01-01,25.24,-33.72
2003-01-01,38.08,31.81
2002-01-01,28.89,25.88
2001-01-01,22.95,1.59
2000-01-01,22.59,-15.46
1999-01-01,26.72,14.78
1998-01-01,23.28,57.09
1997-01-01,14.82,26.34
1996-01-01,11.73,-14.44
1995-01-01,13.71,-1.93
1994-01-01,13.98,5.99
1993-01-01,13.19,-22.09
1992-01-01,16.93,-29.52
1991-01-01,24.02,9.58
1990-01-01,21.92,40.42
1989-01-01,15.61,
