Date,Value,YOY (%),index
2020-01-01,20.5,11.84,^HSI
2019-01-01,18.33,24.44,^HSI
2018-01-01,14.73,-12.63,^HSI
2017-01-01,16.86,-21.44,^HSI
2016-01-01,21.46,32.22,^HSI
2015-01-01,16.23,6.64,^HSI
2014-01-01,15.22,-15.3,^HSI
2013-01-01,17.97,-24.84,^HSI
2012-01-01,23.91,21.74,^HSI
2011-01-01,19.64,-36.58,^HSI
2010-01-01,30.97,-34.23,^HSI
2009-01-01,47.09,37.85,^HSI
2008-01-01,34.16,96.66,^HSI
2007-01-01,17.37,35.39,^HSI
2006-01-01,12.83,-13.25,^HSI
2005-01-01,14.79,-16.2,^HSI
2004-01-01,17.65,-10.59,^HSI
2003-01-01,19.74,-23.61,^HSI
2002-01-01,25.84,-11.6,^HSI
2001-01-01,29.23,-3.56,^HSI
2000-01-01,30.31,-24.85,^HSI
1999-01-01,40.33,-7.46,^HSI
1998-01-01,43.58,111.25,^HSI
1997-01-01,20.63,9.1,^HSI
1996-01-01,18.91,-29.55,^HSI
1995-01-01,26.84,-6.61,^HSI
1994-01-01,28.74,27.28,^HSI
1993-01-01,22.58,23.05,^HSI
1992-01-01,18.35,-5.66,^HSI
1991-01-01,19.45,-36.29,^HSI
1990-01-01,30.53,-7.43,^HSI
1989-01-01,32.98,-25.45,^HSI
1988-01-01,44.24,90.2,^HSI
1987-01-01,23.26,15.55,^HSI
1986-01-01,20.13,-28.87,^HSI
1985-01-01,28.3,-14.78,^HSI
1984-01-01,33.21,-10.22,^HSI
1983-01-01,36.99,8.89,^HSI
1982-01-01,33.97,6.16,^HSI
1981-01-01,32.0,23.31,^HSI
1980-01-01,25.95,2.69,^HSI
1979-01-01,25.27,66.14,^HSI
1978-01-01,15.21,-18.88,^HSI
1977-01-01,18.75,-40.36,^HSI
1976-01-01,31.44,-34.55,^HSI
1975-01-01,48.04,-3.8,^HSI
1974-01-01,57.0,14.14,^HSI
1973-01-01,49.94,77.41,^HSI
1972-01-01,28.15,53.83,^HSI
1971-01-01,18.3,,^HSI
