DATE,QDEN628BIS,index
1970-01-01,37.6187,^GDAXI
1970-04-01,39.315,^GDAXI
1970-07-01,39.7142,^GDAXI
1970-10-01,40.2131,^GDAXI
1971-01-01,41.5103,^GDAXI
1971-04-01,43.506,^GDAXI
1971-07-01,44.1047,^GDAXI
1971-10-01,44.2045,^GDAXI
1972-01-01,45.1025,^GDAXI
1972-04-01,46.2002,^GDAXI
1972-07-01,46.6991,^GDAXI
1972-10-01,46.9984,^GDAXI
1973-01-01,47.6969,^GDAXI
1973-04-01,49.8922,^GDAXI
1973-07-01,50.3911,^GDAXI
1973-10-01,50.3911,^GDAXI
1974-01-01,51.4887,^GDAXI
1974-04-01,53.5842,^GDAXI
1974-07-01,54.0831,^GDAXI
1974-10-01,53.7838,^GDAXI
1975-01-01,53.988,^GDAXI
1975-04-01,54.6445,^GDAXI
1975-07-01,54.6865,^GDAXI
1975-10-01,54.6143,^GDAXI
1976-01-01,54.7118,^GDAXI
1976-04-01,55.4874,^GDAXI
1976-07-01,55.8761,^GDAXI
1976-10-01,56.6529,^GDAXI
1977-01-01,57.2547,^GDAXI
1977-04-01,58.4467,^GDAXI
1977-07-01,59.3291,^GDAXI
1977-10-01,60.0702,^GDAXI
1978-01-01,61.144,^GDAXI
1978-04-01,62.5534,^GDAXI
1978-07-01,63.8175,^GDAXI
1978-10-01,64.7703,^GDAXI
1979-01-01,66.0535,^GDAXI
1979-04-01,68.4337,^GDAXI
1979-07-01,69.821,^GDAXI
1979-10-01,70.3591,^GDAXI
1980-01-01,71.6589,^GDAXI
1980-04-01,73.3817,^GDAXI
1980-07-01,74.3549,^GDAXI
1980-10-01,75.6989,^GDAXI
1981-01-01,77.0321,^GDAXI
1981-04-01,79.2917,^GDAXI
1981-07-01,79.8995,^GDAXI
1981-10-01,79.6541,^GDAXI
1982-01-01,79.6662,^GDAXI
1982-04-01,79.7649,^GDAXI
1982-07-01,79.7468,^GDAXI
1982-10-01,79.5383,^GDAXI
1983-01-01,79.5845,^GDAXI
1983-04-01,80.1391,^GDAXI
1983-07-01,80.2682,^GDAXI
1983-10-01,79.5199,^GDAXI
1984-01-01,78.7766,^GDAXI
1984-04-01,78.377,^GDAXI
1984-07-01,77.9141,^GDAXI
1984-10-01,77.6581,^GDAXI
1985-01-01,77.4886,^GDAXI
1985-04-01,77.2354,^GDAXI
1985-07-01,77.3997,^GDAXI
1985-10-01,77.395,^GDAXI
1986-01-01,77.475,^GDAXI
1986-04-01,77.8939,^GDAXI
1986-07-01,77.7089,^GDAXI
1986-10-01,77.2412,^GDAXI
1987-01-01,76.8641,^GDAXI
1987-04-01,76.8289,^GDAXI
1987-07-01,76.7918,^GDAXI
1987-10-01,77.0329,^GDAXI
1988-01-01,77.2732,^GDAXI
1988-04-01,78.0209,^GDAXI
1988-07-01,78.5717,^GDAXI
1988-10-01,78.8397,^GDAXI
1989-01-01,79.3607,^GDAXI
1989-04-01,80.0506,^GDAXI
1989-07-01,81.1912,^GDAXI
1989-10-01,82.4731,^GDAXI
1990-01-01,84.6756,^GDAXI
1990-04-01,86.9573,^GDAXI
1990-07-01,88.1299,^GDAXI
1990-10-01,88.4914,^GDAXI
1991-01-01,89.3617,^GDAXI
1991-04-01,91.0794,^GDAXI
1991-07-01,91.8875,^GDAXI
1991-10-01,92.731,^GDAXI
1992-01-01,94.1656,^GDAXI
1992-04-01,95.6831,^GDAXI
1992-07-01,96.7919,^GDAXI
1992-10-01,97.2348,^GDAXI
1993-01-01,98.5226,^GDAXI
1993-04-01,99.7247,^GDAXI
1993-07-01,100.6184,^GDAXI
1993-10-01,101.3908,^GDAXI
1994-01-01,102.4937,^GDAXI
1994-04-01,103.9313,^GDAXI
1994-07-01,104.5507,^GDAXI
1994-10-01,104.4847,^GDAXI
1995-01-01,104.76,^GDAXI
1995-04-01,105.2059,^GDAXI
1995-07-01,104.9265,^GDAXI
1995-10-01,104.5976,^GDAXI
1996-01-01,104.101,^GDAXI
1996-04-01,103.691,^GDAXI
1996-07-01,103.3547,^GDAXI
1996-10-01,102.7528,^GDAXI
1997-01-01,102.3242,^GDAXI
1997-04-01,101.8127,^GDAXI
1997-07-01,101.5257,^GDAXI
1997-10-01,101.0453,^GDAXI
1998-01-01,100.6521,^GDAXI
1998-04-01,100.7683,^GDAXI
1998-07-01,100.6227,^GDAXI
1998-10-01,100.6508,^GDAXI
1999-01-01,100.593,^GDAXI
1999-04-01,100.7041,^GDAXI
1999-07-01,100.8276,^GDAXI
1999-10-01,100.9638,^GDAXI
2000-01-01,101.1839,^GDAXI
2000-04-01,101.4033,^GDAXI
2000-07-01,101.4621,^GDAXI
2000-10-01,101.4416,^GDAXI
2001-01-01,101.4213,^GDAXI
