Date,YOY (%),index
1/1/2001,0,^BVSP
1/4/2001,0.00219965,^BVSP
1/7/2001,0.002096964,^BVSP
1/10/2001,0.002089088,^BVSP
1/1/2002,0.003379425,^BVSP
1/4/2002,0.006635495,^BVSP
1/7/2002,0.011215977,^BVSP
1/10/2002,0.017705629,^BVSP
1/1/2003,0.025905539,^BVSP
1/4/2003,0.033730528,^BVSP
1/7/2003,0.037946668,^BVSP
1/10/2003,0.037170763,^BVSP
1/1/2004,0.033325219,^BVSP
1/4/2004,0.028521071,^BVSP
1/7/2004,0.024501566,^BVSP
1/10/2004,0.021609959,^BVSP
1/1/2005,0.019947955,^BVSP
1/4/2005,0.019630195,^BVSP
1/7/2005,0.020844372,^BVSP
1/10/2005,0.023326852,^BVSP
1/1/2006,0.026813926,^BVSP
1/4/2006,0.030769703,^BVSP
1/7/2006,0.034629583,^BVSP
1/10/2006,0.037898381,^BVSP
1/1/2007,0.040844782,^BVSP
1/4/2007,0.043808453,^BVSP
1/7/2007,0.046908718,^BVSP
1/10/2007,0.050005069,^BVSP
1/1/2008,0.052779879,^BVSP
1/4/2008,0.054496607,^BVSP
1/7/2008,0.055313447,^BVSP
1/10/2008,0.056073739,^BVSP
1/1/2009,0.057469105,^BVSP
1/4/2009,0.059183322,^BVSP
1/7/2009,0.060555745,^BVSP
1/10/2009,0.060673373,^BVSP
1/1/2010,0.058906983,^BVSP
1/4/2010,0.055876934,^BVSP
1/7/2010,0.052362933,^BVSP
1/10/2010,0.048756428,^BVSP
1/1/2011,0.045268492,^BVSP
1/4/2011,0.041480756,^BVSP
1/7/2011,0.036367502,^BVSP
1/10/2011,0.030622215,^BVSP
1/1/2012,0.026312045,^BVSP
1/4/2012,0.024280752,^BVSP
1/7/2012,0.023510519,^BVSP
1/10/2012,0.023076706,^BVSP
1/1/2013,0.022576516,^BVSP
1/4/2013,0.021773432,^BVSP
1/7/2013,0.020595708,^BVSP
1/10/2013,0.019460997,^BVSP
1/1/2014,0.020252407,^BVSP
1/4/2014,0.014710369,^BVSP
1/7/2014,0.009560002,^BVSP
1/10/2014,0.004853289,^BVSP
1/1/2015,0.000381605,^BVSP
1/4/2015,-0.003375917,^BVSP
1/7/2015,-0.005828032,^BVSP
1/10/2015,-0.006997934,^BVSP
1/1/2016,-0.007471791,^BVSP
1/4/2016,-0.007490929,^BVSP
1/7/2016,-0.007210304,^BVSP
1/10/2016,-0.00641364,^BVSP
1/1/2017,-0.005239442,^BVSP
1/4/2017,-0.003722157,^BVSP
1/7/2017,-0.002030411,^BVSP
1/10/2017,-0.000211119,^BVSP
1/1/2018,0.001497647,^BVSP
1/4/2018,0.002875319,^BVSP
1/7/2018,0.00424437,^BVSP
1/10/2018,0.005957941,^BVSP
1/1/2019,0.008136359,^BVSP
1/4/2019,0.010886494,^BVSP
1/7/2019,0.013796014,^BVSP
1/10/2019,0.016538675,^BVSP
1/1/2020,0.019421789,^BVSP
1/4/2020,0.021968716,^BVSP
1/7/2020,0.023727403,^BVSP
1/10/2020,0.02365023,^BVSP
1/1/2021,0.021403836,^BVSP
1/4/2021,0.017885782,^BVSP
1/7/2021,0.013650786,^BVSP
1/10/2021,0.009066457,^BVSP
1/1/2022,0.004500651,^BVSP
1/4/2022,0.001235921,^BVSP
1/7/2022,-0.000463169,^BVSP
1/10/2022,-0.001188467,^BVSP
1/1/2023,-0.001592102,^BVSP
1/4/2023,-0.002012143,^BVSP
